ID	hB2	hB1	hB4	hB5	hB3	cB2	cB3	cB5	cB4	cB1	rB3	rB2	rB1	rB4	rB5
ENSG00000000003	77	97	77	59	49	23	37	30	47	38	10	14	24	48	53
ENSG00000000005	8	20	30	10	10	5	24	9	5	10	33	121	13	25	16
ENSG00000000419	215	262	174	228	216	98	193	156	149	202	110	111	125	129	176
ENSG00000000457	52	52	58	45	43	28	72	53	78	57	52	49	45	49	64
ENSG00000000971	41	123	32	35	20	3	20	25	18	15	77	57	134	180	183
ENSG00000001036	235	95	252	122	102	20	46	54	83	49	18	19	26	32	57
ENSG00000001084	462	220	710	304	172	175	306	231	324	312	431	287	459	375	487
ENSG00000001167	37	17	31	30	20	52	83	50	88	92	56	45	57	68	55
ENSG00000001460	54	49	61	47	38	11	10	17	15	25	6	4	3	11	NA
ENSG00000001461	632	235	698	270	259	252	555	344	431	459	378	349	424	316	343
ENSG00000001497	113	121	134	201	170	86	120	126	112	159	264	268	142	128	126
ENSG00000001561	571	330	613	495	381	221	332	237	330	190	432	178	301	239	197
ENSG00000001626	14	13	23	6	NA	9	4	NA	12	17	14	9	16	3	21
ENSG00000001629	523	169	294	205	124	84	170	114	151	222	210	130	285	288	271
ENSG00000002016	98	67	51	28	33	3	25	9	21	48	21	18	27	21	20
ENSG00000002079	21	9	3	5	9	3	9	NA	3	21	28	45	68	64	60
ENSG00000002330	24	9	5	22	16	11	14	6	4	50	100	130	128	168	221
ENSG00000002586	412	256	283	165	155	130	260	135	203	142	312	175	329	227	230
ENSG00000002587	12	23	11	33	15	19	15	24	46	66	86	54	82	100	150
ENSG00000002726	NA	NA	NA	3	NA	NA	3	NA	NA	5	8	18	10	21	11
ENSG00000002745	12	7	5	15	10	9	10	7	11	9	30	11	22	20	18
ENSG00000002919	51	53	42	30	47	34	49	51	51	100	99	95	114	134	157
ENSG00000002933	33	53	84	76	47	16	112	12	104	19	71	65	45	61	41
ENSG00000003056	245	175	146	228	188	118	181	111	209	330	211	163	423	411	530
ENSG00000003137	616	200	228	323	298	29	39	45	53	143	52	84	103	100	160
ENSG00000003147	77	80	53	119	106	44	54	50	73	86	53	83	128	123	114
ENSG00000003393	263	314	244	257	292	131	198	253	146	300	481	385	544	465	430
ENSG00000003400	9	6	3	3	NA	3	4	13	9	9	9	57	51	36	49
ENSG00000003402	98	48	114	61	69	19	59	45	61	37	14	26	10	30	16
ENSG00000003509	102	87	68	89	85	39	64	56	47	63	83	55	52	64	92
ENSG00000003756	477	496	676	773	608	213	409	321	554	365	588	378	432	384	420
ENSG00000003987	83	42	38	85	65	31	80	73	94	120	255	269	349	231	347
ENSG00000004139	27	24	17	17	14	10	15	17	22	28	11	18	23	19	30
ENSG00000004142	297	273	226	255	279	144	192	196	236	236	200	263	311	326	328
ENSG00000004455	248	199	461	255	160	107	307	197	337	221	317	206	230	156	187
ENSG00000004468	15	15	24	13	10	10	31	23	20	30	136	83	90	126	121
ENSG00000004534	936	441	1016	557	523	161	261	244	445	796	220	196	222	186	149
ENSG00000004700	635	339	570	323	212	175	418	274	292	382	141	86	133	39	132
ENSG00000004766	314	317	206	362	339	192	449	328	333	320	321	245	356	370	548
ENSG00000004776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004779	371	421	137	543	487	224	355	235	303	463	311	281	504	538	457
ENSG00000004799	218	209	395	91	176	97	356	27	93	41	33	12	47	43	64
ENSG00000004809	16	20	26	12	15	NA	4	7	3	4	7	20	9	16	5
ENSG00000004838	5	4	12	NA	4	4	NA	6	4	3	6	9	9	6	10
ENSG00000004846	14	15	26	4	14	69	70	91	72	266	16	35	36	44	39
ENSG00000004864	168	59	361	128	88	48	125	119	169	95	295	150	118	103	83
ENSG00000004866	275	150	125	168	111	76	171	146	107	233	192	179	226	203	169
ENSG00000004939	6	4	6	4	NA	NA	NA	7	5	8	NA	3	NA	7	3
ENSG00000004948	10	12	13	12	11	NA	11	558	4	3	5	11	12	6	9
ENSG00000004961	59	34	27	109	78	27	60	77	75	46	70	58	120	118	118
ENSG00000005020	221	188	243	231	245	84	259	181	224	200	258	169	317	282	298
ENSG00000005022	722	962	594	1794	1687	643	1410	946	1453	1033	2093	1604	1317	1504	1388
