Fstat_Species	Anova_Species	AnovaAdj_Species
AAAS	4.5483733871137	0.0161489319116906	1
AACS	2.2342087461119	0.119362964634988	1
AADAT	6.63861958741501	0.00307196980213443	1
AAK1	0.270919085257765	0.763970288727865	1
AAMP	0.444576739102205	0.644008947001125	1
AAR2	17.0055334831898	3.61975582024396e-06	0.0303045957270824
AARS	8.98528292814694	0.000548892053733793	1
AARS2	7.63165472302853	0.00145739098497513	1
AASDH	4.10144149501324	0.0234283594513992	1
AASDHPPT	6.96415812969633	0.0023989019891228	1
AATF	31.3073617619664	4.06907566287521e-09	3.40663014495913e-05
AATK	61.4042232250233	2.50051126909978e-13	2.09342803449033e-09
ABAT	9.87140593999434	0.00029644645770354	1
ABCA1	17.4521682599525	2.82485838633808e-06	0.0236497144104224
ABCA10	44.7648162463339	3.08917442860893e-11	2.5862568316314e-07
ABCA2	83.5068082959645	1.55328638915943e-15	1.30041136500427e-11
ABCA3	109.301872709952	1.38110503171234e-17	1.15626113254957e-13
ABCA5	55.3238499088223	1.28606061883399e-12	1.07668995008782e-08
ABCA6	26.4393867194405	3.25490786584905e-08	0.000272500886528882
ABCA7	28.3931430923362	1.37894935479068e-08	0.000115445639983076
ABCA9	102.145177124012	4.63038919418346e-17	3.87656183337039e-13
ABCB6	13.6780975805377	2.52680297238321e-05	0.211543944847922
ABCB9	5.02599775400067	0.0109265919568847	1
ABCC1	0.664170738836692	0.519900119179135	1
ABCC10	64.0782779406314	1.26360318442878e-13	1.05788858600377e-09
ABCC3	54.8331878333858	1.47600827527119e-12	1.23571412805704e-08
ABCC4	26.4803768329347	3.19564343458297e-08	0.000267539268343286
ABCC5	12.4533989832059	5.41298552928776e-05	0.453175148511971
ABCC8	32.5682373880847	2.45001832202464e-09	2.05115533919903e-05
ABCD2	0.582778469833879	0.562693632054877	1
ABCD3	4.52670671719669	0.016440449822445	1
ABCD4	15.9570129134173	6.55336508319074e-06	0.0548647724764729
ABCE1	13.3317147396013	3.12584548263128e-05	0.26169578380589
ABCF1	2.48072367946523	0.0955845638363892	1
ABCF2	16.8625454714028	3.92118596595248e-06	0.0328281689069542
ABCF3	11.5343048851942	9.76507705519877e-05	0.817532251061241
ABCG4	49.79732427986	6.4025416285228e-12	5.36020785139929e-08
ABHD10	49.3226448514216	7.39138543187221e-12	6.18806788356342e-08
ABHD11	1.40562432577984	0.256254213981132	1
ABHD12	17.0543840278551	3.5224177132605e-06	0.0294896810954169
ABHD12B	31.1514984254146	4.33606792310401e-09	3.63015606522268e-05
ABHD13	21.382382625426	3.57627062476761e-07	0.00299405376705544
ABHD16A	15.380296498844	9.1484433741076e-06	0.0765907679280288
ABHD17A	46.9619721171665	1.53202084587113e-11	1.28260785216331e-07
