Gene	Class
ABCC8	NeuN
ABHD12B	NeuN
ABLIM1	NeuN
ACBD6	NeuN
AGFG2	NeuN
AGTPBP1	NeuN
AHI1	NeuN
AIMP1	NeuN
AK1	NeuN
AK5	NeuN
AK9	NeuN
ALDH7A1	NeuN
ALS2CR12	NeuN
ANAPC16	NeuN
ANKRD26	NeuN
ANKS1B	NeuN
AP1S3	NeuN
ARHGAP29	NeuN
ARL1	NeuN
ARRB2	NeuN
ASAH1	NeuN
ASGR1	NeuN
ATF2	NeuN
ATG4B	NeuN
ATP6V1C1	NeuN
BIN1	NeuN
BTBD8	NeuN
BZW2	NeuN
C9orf72	NeuN
CALD1	NeuN
CAPN2	NeuN
CAPS2	NeuN
CASC4	NeuN
CBFA2T2	NeuN
CCDC159	NeuN
CCDC171	NeuN
CCDC24	NeuN
CCDC82	NeuN
CCDC93	NeuN
CCNYL1	NeuN
CCT3	NeuN
CD2AP	NeuN
CDC42SE1	NeuN
CDK17	NeuN
CDK5RAP1	NeuN
CDKAL1	NeuN
CELF2	NeuN
CENPT	NeuN
CEP152	NeuN
CEP63	NeuN
CEP78	NeuN
CEP89	NeuN
CERS5	NeuN
CLASRP	NeuN
CLUAP1	NeuN
CLUL1	NeuN
CMIP	NeuN
COBLL1	NeuN
COL11A1	NeuN
COLGALT1	NeuN
CRIPT	NeuN
CSAD	NeuN
CTNND2	NeuN
CUL4A	NeuN
CWC25	NeuN
CWC27	NeuN
DBF4B	NeuN
DCAF6	NeuN
DCUN1D4	NeuN
DDX55	NeuN
DFFA	NeuN
DHDDS	NeuN
DIP2B	NeuN
DLG1	NeuN
DLG4	NeuN
DNM3	NeuN
DNMT1	NeuN
DOCK3	NeuN
DUSP11	NeuN
DYNC1I1	NeuN
EFHC1	NeuN
ELL2	NeuN
EPB41L1	NeuN
EPB41L4B	NeuN
EPS15	NeuN
ERC2	NeuN
ERICH1	NeuN
ESYT2	NeuN
EVL	NeuN
EXOSC9	NeuN
FAF1	NeuN
FAM133B	NeuN
FAM184A	NeuN
FAM71F2	NeuN
FARP1	NeuN
FBXO30	NeuN
FCHSD2	NeuN
FHAD1	NeuN
FRK	NeuN
FYTTD1	NeuN
GAS8	NeuN
GCFC2	NeuN
GCLM	NeuN
GFPT2	NeuN
GGA2	NeuN
GLB1L3	NeuN
GLCCI1	NeuN
GOLGA3	NeuN
GOLGA4	NeuN
GOLIM4	NeuN
GOSR1	NeuN
GRIN1	NeuN
GSTM3	NeuN
GSTO2	NeuN
GULP1	NeuN
H2AFY2	NeuN
HMGN3	NeuN
HP1BP3	NeuN
HSD17B4	NeuN
HSPH1	NeuN
HYDIN	NeuN
IDH3A	NeuN
IFT80	NeuN
INTS3	NeuN
INVS	NeuN
IPO5	NeuN
IQCB1	NeuN
ITCH	NeuN
JAKMIP1	NeuN
JAKMIP3	NeuN
KCNH1	NeuN
KIF5B	NeuN
KIN	NeuN
KNOP1	NeuN
KNTC1	NeuN
KRR1	NeuN
LAMA2	NeuN
LAMB1	NeuN
LENG8	NeuN
LMBRD2	NeuN
LMO7	NeuN
LONP1	NeuN
LONP2	NeuN
LZTS3	NeuN
MADD	NeuN
MAGI2	NeuN
MAP3K7	NeuN
MAP4K5	NeuN
MAP7	NeuN
MAX	NeuN
MCCC2	NeuN
ME3	NeuN
MET	NeuN
METTL5	NeuN
MINK1	NeuN
MNAT1	NeuN
MOB1B	NeuN
MORN1	NeuN
MPHOSPH8	NeuN
MRPL19	NeuN
MRPS16	NeuN
MSRA	NeuN
MYH10	NeuN
MYT1L	NeuN
N6AMT1	NeuN
NARF	NeuN
NCBP1	NeuN
NEK11	NeuN
NICN1	NeuN
NIT2	NeuN
NKTR	NeuN
NLE1	NeuN
NMT2	NeuN
NOC2L	NeuN
NR2C1	NeuN
NSUN2	NeuN
NSUN6	NeuN
NUDT5	NeuN
NUMB	NeuN
NUP85	NeuN
ORMDL3	NeuN
PARN	NeuN
PARP3	NeuN
PCM1	NeuN
PDCD10	NeuN
PDCD7	NeuN
PDE4D	NeuN
PDE4DIP	NeuN
PFKFB2	NeuN
PGPEP1	NeuN
PHF2	NeuN
PHLPP2	NeuN
PIBF1	NeuN
PIP5K1B	NeuN
PITHD1	NeuN
PKD2L1	NeuN
PKN2	NeuN
PLD6	NeuN
PLEKHA5	NeuN
PLXDC2	NeuN
PLXNA1	NeuN
PNISR	NeuN
POC5	NeuN
POLR3C	NeuN
PPFIA2	NeuN
PPFIBP1	NeuN
PPM1K	NeuN
PPP3CA	NeuN
PRC1	NeuN
PRKACB	NeuN
PRKCI	NeuN
PRKD1	NeuN
PRKRA	NeuN
PRPSAP2	NeuN
PTPN4	NeuN
PTPRF	NeuN
PTPRS	NeuN
PUS7L	NeuN
PYCR2	NeuN
RANGAP1	NeuN
RASA3	NeuN
RBBP8	NeuN
RBL2	NeuN
RBM39	NeuN
RCBTB1	NeuN
RFTN1	NeuN
RGS7	NeuN
RNF138	NeuN
RNH1	NeuN
RNPC3	NeuN
ROCK2	NeuN
RPGRIP1L	NeuN
RPL38	NeuN
RUFY3	NeuN
S100PBP	NeuN
SAP30	NeuN
SCAPER	NeuN
SCN3A	NeuN
SEPT2	NeuN
SERPINB9	NeuN
SGK3	NeuN
SHPRH	NeuN
SIL1	NeuN
SLC12A1	NeuN
SLC25A37	NeuN
SLC2A11	NeuN
SLC4A1AP	NeuN
SNAP91	NeuN
SORCS3	NeuN
SPCS3	NeuN
SPG7	NeuN
SRPK2	NeuN
SRRM4	NeuN
STARD4	NeuN
STK32A	NeuN
STX16	NeuN
STX18	NeuN
STYXL1	NeuN
SYCE1	NeuN
TACC3	NeuN
TAF1C	NeuN
TARSL2	NeuN
TBC1D15	NeuN
TCOF1	NeuN
THOC1	NeuN
TMEM138	NeuN
TMEM168	NeuN
TMEM223	NeuN
TMX3	NeuN
TNFAIP8L1	NeuN
TNIP1	NeuN
TOR1AIP2	NeuN
TPGS2	NeuN
TPMT	NeuN
TRIM14	NeuN
TRIM17	NeuN
TRIM33	NeuN
TRIP4	NeuN
TTC1	NeuN
TVP23B	NeuN
TXLNA	NeuN
UBE2E2	NeuN
UBE2N	NeuN
UBE2W	NeuN
UBXN7	NeuN
UCHL5	NeuN
UNC119	NeuN
USP4	NeuN
USP49	NeuN
UTRN	NeuN
VAV2	NeuN
VPS13A	NeuN
VPS37A	NeuN
VPS41	NeuN
VWA3A	NeuN
VWA7	NeuN
WDR17	NeuN
WDR60	NeuN
WDR78	NeuN
WWOX	NeuN
ZADH2	NeuN
ZBTB37	NeuN
ZC3H13	NeuN
ZC3H15	NeuN
ZDHHC14	NeuN
ZDHHC2	NeuN
ZMAT3	NeuN
ZNF24	NeuN
ZNF514	NeuN
ZNF649	NeuN
ZNF667	NeuN
ZNHIT3	NeuN
ZNRF2	NeuN
ACHE	NeuN
ADCY9	NeuN
AIDA	NeuN
AKAP6	NeuN
AMPD2	NeuN
ANAPC1	NeuN
ANK3	NeuN
ANKRD34A	NeuN
APC	NeuN
APH1A	NeuN
AQR	NeuN
ARC	NeuN
