Gene	Class
ABCC10	NeuN
ABCG4	NeuN
ABHD17A	NeuN
ACAN	NeuN
ACBD3	NeuN
ACIN1	NeuN
ACSF3	NeuN
ACTR5	NeuN
ADAM15	NeuN
ADAMTS12	NeuN
ADCY10	NeuN
ADD2	NeuN
ADNP	NeuN
ADRA1A	NeuN
AFTPH	NeuN
AHCTF1	NeuN
AHCYL1	NeuN
ALDH6A1	NeuN
ALDOC	NeuN
ALK	NeuN
ALKBH2	NeuN
ALOXE3	NeuN
ALS2	NeuN
AMT	NeuN
ANKRD40	NeuN
ANP32B	NeuN
APBB1IP	NeuN
ARAP3	NeuN
ARFGAP2	NeuN
ARHGAP1	NeuN
ARHGAP21	NeuN
ARHGAP23	NeuN
ARID5B	NeuN
ARRB1	NeuN
ASNSD1	NeuN
ATP13A2	NeuN
ATP6V0E1	NeuN
ATP6V1F	NeuN
BAG6	NeuN
BAHD1	NeuN
BCDIN3D	NeuN
BCL7B	NeuN
BLOC1S2	NeuN
BMP1	NeuN
BRAT1	NeuN
BRPF1	NeuN
BTAF1	NeuN
BTBD9	NeuN
BTN3A1	NeuN
BTN3A3	NeuN
C16orf96	NeuN
C19orf44	NeuN
C1QL2	NeuN
C1QTNF2	NeuN
C20orf96	NeuN
C6orf89	NeuN
CACNA1H	NeuN
CACNB3	NeuN
CAPN12	NeuN
CASC1	NeuN
CASKIN1	NeuN
CCDC122	NeuN
CCDC157	NeuN
CCDC173	NeuN
CCDC174	NeuN
CCDC77	NeuN
CCDC97	NeuN
CCL27	NeuN
CCND1	NeuN
CCND2	NeuN
CCNJL	NeuN
CD163	NeuN
CDH24	NeuN
CDH8	NeuN
CDIP1	NeuN
CDK11B	NeuN
CDON	NeuN
CENPK	NeuN
CEP104	NeuN
CEP57L1	NeuN
CEP70	NeuN
CFLAR	NeuN
CHRM4	NeuN
CLP1	NeuN
CNGA3	NeuN
CNOT10	NeuN
COG2	NeuN
COMMD9	NeuN
COQ6	NeuN
CORO2A	NeuN
CPD	NeuN
CSPG5	NeuN
CSPP1	NeuN
CTDP1	NeuN
CTSK	NeuN
CUL7	NeuN
DCHS1	NeuN
DCP1A	NeuN
DCUN1D2	NeuN
DCXR	NeuN
DGKG	NeuN
DHODH	NeuN
DHX57	NeuN
DISP2	NeuN
DMXL1	NeuN
DNAJA3	NeuN
DNAJC25	NeuN
DQX1	NeuN
DTX2	NeuN
ECE2	NeuN
ECI1	NeuN
EFEMP1	NeuN
EFEMP2	NeuN
EFNA1	NeuN
EI24	NeuN
EIF2A	NeuN
ELOVL1	NeuN
ERLEC1	NeuN
ESAM	NeuN
EXT2	NeuN
EZH2	NeuN
F7	NeuN
FAH	NeuN
FAIM	NeuN
FAM107A	NeuN
FANCE	NeuN
FANCM	NeuN
FBF1	NeuN
FBN2	NeuN
FBXL18	NeuN
FBXO21	NeuN
FBXW7	NeuN
FHOD1	NeuN
FLRT1	NeuN
FOXJ2	NeuN
FYCO1	NeuN
GALNT12	NeuN
GALNT18	NeuN
GCK	NeuN
GHDC	NeuN
GLE1	NeuN
GNB3	NeuN
GORASP1	NeuN
GPR137	NeuN
GPR61	NeuN
GPR89A	NeuN
GPS1	NeuN
GRIN3A	NeuN
GRINA	NeuN
GRM3	NeuN
GRM8	NeuN
GZF1	NeuN
HAS3	NeuN
HCFC1R1	NeuN
HEATR5B	NeuN
HEATR6	NeuN
HECTD2	NeuN
HS3ST1	NeuN
HSPA5	NeuN
HSPBP1	NeuN
IARS2	NeuN
IDH3B	NeuN
IFNAR1	NeuN
IFNGR1	NeuN
IFRD2	NeuN
IGSF3	NeuN
ILK	NeuN
ILVBL	NeuN
INA	NeuN
INPPL1	NeuN
ITFG2	NeuN
ITGA10	NeuN
KDM2A	NeuN
KHK	NeuN
KIAA0355	NeuN
KIAA1328	NeuN
KIAA1522	NeuN
KIAA1549	NeuN
KIF21A	NeuN
KIFC3	NeuN
KLF3	NeuN
KLHDC8B	NeuN
KLHL1	NeuN
KLHL29	NeuN
KLHL32	NeuN
KPNA1	NeuN
LAPTM4B	NeuN
LIMD1	NeuN
LRCH1	NeuN
LRFN4	NeuN
LRRC29	NeuN
LRRCC1	NeuN
LYSMD1	NeuN
LYST	NeuN
MANBA	NeuN
MANSC1	NeuN
MAP1S	NeuN
MAP2K6	NeuN
MAP3K3	NeuN
MAP3K4	NeuN
MAP3K6	NeuN
MAPK13	NeuN
MAPKAPK3	NeuN
MARCH4	NeuN
MARK1	NeuN
MBD5	NeuN
MED27	NeuN
MED28	NeuN
MED8	NeuN
MEF2A	NeuN
MEGF8	NeuN
METTL9	NeuN
MGAT3	NeuN
MMD2	NeuN
MON1A	NeuN
MOSPD3	NeuN
MPP3	NeuN
MRPL39	NeuN
MST1R	NeuN
MTHFSD	NeuN
MTPAP	NeuN
MYLK	NeuN
NAA15	NeuN
NADK	NeuN
NANOG	NeuN
NCAPD3	NeuN
NCK2	NeuN
NDST3	NeuN
NDUFAF1	NeuN
NEK3	NeuN
NEU1	NeuN
NFKBIZ	NeuN
NKD2	NeuN
NMT1	NeuN
NOC4L	NeuN
NPFFR1	NeuN
NR1I2	NeuN
NRG1	NeuN
NSD1	NeuN
OLFML2B	NeuN
OPRD1	NeuN
P2RX5	NeuN
PABPC4	NeuN
PACSIN3	NeuN
PAK4	NeuN
PAPLN	NeuN
PASK	NeuN
PCGF5	NeuN
PDE4A	NeuN
PDZD7	NeuN
PER3	NeuN
PEX16	NeuN
PHC2	NeuN
PHF11	NeuN
PHF20	NeuN
PHIP	NeuN
PHLDB1	NeuN
PIAS2	NeuN
PID1	NeuN
PIGT	NeuN
PIK3C2B	NeuN
PLAG1	NeuN
PLCD4	NeuN
PLEKHO1	NeuN
PML	NeuN
PMM1	NeuN
POFUT1	NeuN
PPARGC1B	NeuN
PPIB	NeuN
PPM1F	NeuN
PPP1R11	NeuN
PPP1R16B	NeuN
PPP1R26	NeuN
PPP2R5C	NeuN
PRICKLE1	NeuN
PRKDC	NeuN
PRPF38B	NeuN
PRPF40B	NeuN
PRRC2B	NeuN
PSD2	NeuN
PSMD2	NeuN
PSME3	NeuN
PSMF1	NeuN
PTGS1	NeuN
PTPN6	NeuN
RAD9A	NeuN
RASSF1	NeuN
RBKS	NeuN
RBM44	NeuN
RCVRN	NeuN
RDX	NeuN
RFX7	NeuN
RFXANK	NeuN
RGS2	NeuN
RHOF	NeuN
RIMKLA	NeuN
RING1	NeuN
RIPK2	NeuN
RMND1	NeuN
RNF207	NeuN
RNF26	NeuN
RNF40	NeuN
RNMT	NeuN
RPN1	NeuN
RRNAD1	NeuN
RTTN	NeuN
RUNX2	NeuN
SCN2B	NeuN
SCRN2	NeuN
SDHA	NeuN
SEMA5A	NeuN
SERPINI1	NeuN
SETX	NeuN
SH3BP5L	NeuN
SLAIN1	NeuN
SLC12A3	NeuN
SLC19A2	NeuN
SLC25A1	NeuN
SLC25A28	NeuN
SLC26A6	NeuN
SLC31A2	NeuN
SLC35C1	NeuN
SLC43A1	NeuN
SLC43A2	NeuN
SLC45A4	NeuN
SLC47A1	NeuN
SLC7A8	NeuN
SMC3	NeuN
SMN1	NeuN
SNCAIP	NeuN
SNN	NeuN
SNTA1	NeuN
SNTG2	NeuN
SNX31	NeuN
SOCS2	NeuN
SOS2	NeuN
SPAG4	NeuN
SPATA5	NeuN
SPDL1	NeuN
SPRED2	NeuN
SRCIN1	NeuN
SREK1	NeuN
SREK1IP1	NeuN
SSH1	NeuN
ST7L	NeuN
STARD9	NeuN
SUPT20H	NeuN
SWT1	NeuN
TAB2	NeuN
TAF1B	NeuN
TBC1D2B	NeuN
TBC1D9	NeuN
TBRG4	NeuN
TCEANC2	NeuN
TCF3	NeuN
