Gene	Class
AIMP1	Hsap_Common_UpReg
ANAPC16	Hsap_Common_UpReg
CALD1	Hsap_Common_UpReg
CCDC93	Hsap_Common_UpReg
CDKAL1	Hsap_Common_UpReg
CENPT	Hsap_Common_UpReg
CEP63	Hsap_Common_UpReg
CEP78	Hsap_Common_UpReg
CLUAP1	Hsap_Common_UpReg
CMIP	Hsap_Common_UpReg
CWC25	Hsap_Common_UpReg
DBF4B	Hsap_Common_UpReg
DCUN1D4	Hsap_Common_UpReg
DDX55	Hsap_Common_UpReg
DFFA	Hsap_Common_UpReg
DNM3	Hsap_Common_UpReg
EPS15	Hsap_Common_UpReg
EVL	Hsap_Common_UpReg
FAM133B	Hsap_Common_UpReg
FAM184A	Hsap_Common_UpReg
GFPT2	Hsap_Common_UpReg
GGA2	Hsap_Common_UpReg
GOLGA3	Hsap_Common_UpReg
HMGN3	Hsap_Common_UpReg
HP1BP3	Hsap_Common_UpReg
INTS3	Hsap_Common_UpReg
IQCB1	Hsap_Common_UpReg
KCNH1	Hsap_Common_UpReg
KIF5B	Hsap_Common_UpReg
KNOP1	Hsap_Common_UpReg
LONP1	Hsap_Common_UpReg
MAP7	Hsap_Common_UpReg
MAX	Hsap_Common_UpReg
MNAT1	Hsap_Common_UpReg
MPHOSPH8	Hsap_Common_UpReg
MYT1L	Hsap_Common_UpReg
N6AMT1	Hsap_Common_UpReg
NARF	Hsap_Common_UpReg
NCBP1	Hsap_Common_UpReg
NICN1	Hsap_Common_UpReg
NOC2L	Hsap_Common_UpReg
NSUN6	Hsap_Common_UpReg
PCM1	Hsap_Common_UpReg
PDCD7	Hsap_Common_UpReg
PGPEP1	Hsap_Common_UpReg
PIBF1	Hsap_Common_UpReg
PNISR	Hsap_Common_UpReg
PPP3CA	Hsap_Common_UpReg
PRC1	Hsap_Common_UpReg
PRPSAP2	Hsap_Common_UpReg
RANGAP1	Hsap_Common_UpReg
RBM39	Hsap_Common_UpReg
SHPRH	Hsap_Common_UpReg
SIL1	Hsap_Common_UpReg
SLC4A1AP	Hsap_Common_UpReg
SPG7	Hsap_Common_UpReg
SRPK2	Hsap_Common_UpReg
TBC1D15	Hsap_Common_UpReg
TCOF1	Hsap_Common_UpReg
THOC1	Hsap_Common_UpReg
TPMT	Hsap_Common_UpReg
TRIP4	Hsap_Common_UpReg
TTC1	Hsap_Common_UpReg
TXLNA	Hsap_Common_UpReg
UBE2E2	Hsap_Common_UpReg
WWOX	Hsap_Common_UpReg
ZC3H15	Hsap_Common_UpReg
ZNF24	Hsap_Common_UpReg
ZNF649	Hsap_Common_UpReg
ANK3	Hsap_Common_DownReg
ATAT1	Hsap_Common_DownReg
BOP1	Hsap_Common_DownReg
CD46	Hsap_Common_DownReg
DDX24	Hsap_Common_DownReg
FAM208A	Hsap_Common_DownReg
FBXL14	Hsap_Common_DownReg
GTF2H2C	Hsap_Common_DownReg
HECTD3	Hsap_Common_DownReg
KIAA2026	Hsap_Common_DownReg
MLX	Hsap_Common_DownReg
PER1	Hsap_Common_DownReg
PLCL2	Hsap_Common_DownReg
PPOX	Hsap_Common_DownReg
PRDM4	Hsap_Common_DownReg
RALGAPA1	Hsap_Common_DownReg
RPUSD4	Hsap_Common_DownReg
SH3BP4	Hsap_Common_DownReg
SLC24A2	Hsap_Common_DownReg
SLC35B2	Hsap_Common_DownReg
SLC37A4	Hsap_Common_DownReg
TCF20	Hsap_Common_DownReg
TRADD	Hsap_Common_DownReg
ZFPL1	Hsap_Common_DownReg
