Gene	Class
ACAD9	Primate_Accel
ACOT11	Primate_Accel
ACTN2	Primate_Accel
ADCY3	Primate_Accel
ADHFE1	Primate_Accel
ADI1	Primate_Accel
AHI1	Primate_Accel
AK9	Primate_Accel
AKT2	Primate_Accel
ALDH7A1	Primate_Accel
ALS2CR12	Primate_Accel
ANGPTL4	Primate_Accel
AP3D1	Primate_Accel
APBA2	Primate_Accel
ARFGAP1	Primate_Accel
ARIH2	Primate_Accel
ART3	Primate_Accel
ASPHD1	Primate_Accel
ASTN2	Primate_Accel
ATG4B	Primate_Accel
BAZ2B	Primate_Accel
BPTF	Primate_Accel
BRICD5	Primate_Accel
C1orf52	Primate_Accel
C1QTNF6	Primate_Accel
CACNA2D1	Primate_Accel
CACNA2D3	Primate_Accel
CALCOCO1	Primate_Accel
CANX	Primate_Accel
CAPN2	Primate_Accel
CASC4	Primate_Accel
CAST	Primate_Accel
CC2D1A	Primate_Accel
CCAR1	Primate_Accel
CCDC146	Primate_Accel
CCDC180	Primate_Accel
CCDC84	Primate_Accel
CCNB1IP1	Primate_Accel
CCNL1	Primate_Accel
CDC42BPB	Primate_Accel
CDK14	Primate_Accel
CEBPZ	Primate_Accel
CEP128	Primate_Accel
CEP85L	Primate_Accel
CERCAM	Primate_Accel
CHAF1A	Primate_Accel
CHD2	Primate_Accel
CHL1	Primate_Accel
CLASP1	Primate_Accel
CLIP1	Primate_Accel
CNTNAP4	Primate_Accel
COL16A1	Primate_Accel
COL5A3	Primate_Accel
CRELD2	Primate_Accel
CSNK1E	Primate_Accel
CTIF	Primate_Accel
CTNNA1	Primate_Accel
CUL4A	Primate_Accel
CXADR	Primate_Accel
CYLD	Primate_Accel
CYTH1	Primate_Accel
CYTH2	Primate_Accel
DAXX	Primate_Accel
DDIT3	Primate_Accel
DDRGK1	Primate_Accel
DDX27	Primate_Accel
DDX46	Primate_Accel
DEK	Primate_Accel
DHX16	Primate_Accel
DHX33	Primate_Accel
DHX37	Primate_Accel
DMAP1	Primate_Accel
DNAH1	Primate_Accel
DNAH17	Primate_Accel
DNAJA4	Primate_Accel
DNAJC1	Primate_Accel
DNAJC7	Primate_Accel
DNMT1	Primate_Accel
DPP6	Primate_Accel
DPYD	Primate_Accel
DYNC1I1	Primate_Accel
DYNC1LI2	Primate_Accel
DYSF	Primate_Accel
ECE1	Primate_Accel
ECHDC2	Primate_Accel
EEA1	Primate_Accel
EIF2B5	Primate_Accel
EIF4ENIF1	Primate_Accel
EMC2	Primate_Accel
ENGASE	Primate_Accel
ENOSF1	Primate_Accel
EXOSC10	Primate_Accel
EXOSC9	Primate_Accel
FAM192A	Primate_Accel
FAM221A	Primate_Accel
FCF1	Primate_Accel
FCHSD2	Primate_Accel
FDFT1	Primate_Accel
FHIT	Primate_Accel
FMNL2	Primate_Accel
FN3K	Primate_Accel
FOLH1	Primate_Accel
FRK	Primate_Accel
GALNT2	Primate_Accel
GGA1	Primate_Accel
GLYR1	Primate_Accel
GOLGA1	Primate_Accel
GOLGA8R	Primate_Accel
GOLIM4	Primate_Accel
GOLM1	Primate_Accel
GPIHBP1	Primate_Accel
GPM6A	Primate_Accel
GPT2	Primate_Accel
GREB1L	Primate_Accel
GSDMB	Primate_Accel
GTF2IRD2	Primate_Accel
GTF3C5	Primate_Accel
HABP4	Primate_Accel
HDHD2	Primate_Accel
HIP1R	Primate_Accel
HMGCS1	Primate_Accel
HOOK2	Primate_Accel
IFI16	Primate_Accel
IQCA1	Primate_Accel
ITGA7	Primate_Accel
JAKMIP2	Primate_Accel
KATNAL2	Primate_Accel
KEL	Primate_Accel
KIAA0895L	Primate_Accel
KIF13A	Primate_Accel
KIF19	Primate_Accel
KIF3A	Primate_Accel
KIF5C	Primate_Accel
KIN	Primate_Accel
LAMA2	Primate_Accel
LARP7	Primate_Accel
LAYN	Primate_Accel
LDLR	Primate_Accel
LIG1	Primate_Accel
LRRC23	Primate_Accel
LRRC27	Primate_Accel
LRRFIP2	Primate_Accel
LSS	Primate_Accel
LTBP3	Primate_Accel
MAP4K4	Primate_Accel
MCF2L	Primate_Accel
MCM3AP	Primate_Accel
MCM5	Primate_Accel
MDN1	Primate_Accel
METTL2B	Primate_Accel
MFSD12	Primate_Accel
MICALL2	Primate_Accel
MLH1	Primate_Accel
MPP5	Primate_Accel
MRPS14	Primate_Accel
MRPS25	Primate_Accel
MRVI1	Primate_Accel
MTA3	Primate_Accel
MTAP	Primate_Accel
MTCH1	Primate_Accel
MYH15	Primate_Accel
MYH3	Primate_Accel
MYH9	Primate_Accel
MYO15B	Primate_Accel
MYO18A	Primate_Accel
MYO9B	Primate_Accel
NADSYN1	Primate_Accel
