Gene	Class
ABCA7	RheMac_UpReg
ABCA8	RheMac_UpReg
ABCD3	RheMac_UpReg
ACSM5	RheMac_UpReg
ADCY10	RheMac_UpReg
ADORA1	RheMac_UpReg
AHCTF1	RheMac_UpReg
AIG1	RheMac_UpReg
ALDH3B1	RheMac_UpReg
ALPK3	RheMac_UpReg
AMER2	RheMac_UpReg
AMOTL1	RheMac_UpReg
APBB1	RheMac_UpReg
ARFGAP2	RheMac_UpReg
ARHGAP23	RheMac_UpReg
ARID5B	RheMac_UpReg
ARL14EP	RheMac_UpReg
ASNSD1	RheMac_UpReg
ATG13	RheMac_UpReg
ATG16L2	RheMac_UpReg
ATP6V0D1	RheMac_UpReg
B4GALT4	RheMac_UpReg
B9D1	RheMac_UpReg
BAG5	RheMac_UpReg
BAG6	RheMac_UpReg
BAHD1	RheMac_UpReg
BLM	RheMac_UpReg
BMP1	RheMac_UpReg
BSN	RheMac_UpReg
BTBD16	RheMac_UpReg
C2CD3	RheMac_UpReg
C4A	RheMac_UpReg
CAD	RheMac_UpReg
CAMSAP1	RheMac_UpReg
CAPN5	RheMac_UpReg
CASKIN2	RheMac_UpReg
CATSPER2	RheMac_UpReg
CBR1	RheMac_UpReg
CBX7	RheMac_UpReg
CCDC107	RheMac_UpReg
CCDC88C	RheMac_UpReg
CCDC97	RheMac_UpReg
CD58	RheMac_UpReg
CDIPT	RheMac_UpReg
CDK2	RheMac_UpReg
CDON	RheMac_UpReg
CLIP4	RheMac_UpReg
COL12A1	RheMac_UpReg
COL4A2	RheMac_UpReg
COL5A2	RheMac_UpReg
CPD	RheMac_UpReg
CTDP1	RheMac_UpReg
CYP27A1	RheMac_UpReg
DCAF8	RheMac_UpReg
DCHS1	RheMac_UpReg
DCP1B	RheMac_UpReg
DDX17	RheMac_UpReg
DENND4B	RheMac_UpReg
DGKH	RheMac_UpReg
DGKZ	RheMac_UpReg
DHX36	RheMac_UpReg
DOCK10	RheMac_UpReg
DPYSL5	RheMac_UpReg
DSC3	RheMac_UpReg
DUSP7	RheMac_UpReg
E4F1	RheMac_UpReg
EDARADD	RheMac_UpReg
EFNA1	RheMac_UpReg
EHD2	RheMac_UpReg
ELOVL1	RheMac_UpReg
ENDOG	RheMac_UpReg
ENDOU	RheMac_UpReg
ENPP2	RheMac_UpReg
EPN1	RheMac_UpReg
ERCC6	RheMac_UpReg
ERLEC1	RheMac_UpReg
ERMAP	RheMac_UpReg
EXO5	RheMac_UpReg
EXTL2	RheMac_UpReg
EYA1	RheMac_UpReg
FADS1	RheMac_UpReg
FAIM	RheMac_UpReg
FAIM2	RheMac_UpReg
FAM171A1	RheMac_UpReg
FAM53C	RheMac_UpReg
FANCE	RheMac_UpReg
FANCG	RheMac_UpReg
FANCM	RheMac_UpReg
FARP2	RheMac_UpReg
FAT4	RheMac_UpReg
FLNB	RheMac_UpReg
FLRT1	RheMac_UpReg
FOXJ2	RheMac_UpReg
FRMD5	RheMac_UpReg
FRS3	RheMac_UpReg
FUS	RheMac_UpReg
FYCO1	RheMac_UpReg
GAPVD1	RheMac_UpReg
GATM	RheMac_UpReg
GNAZ	RheMac_UpReg
GORASP1	RheMac_UpReg
GPR89A	RheMac_UpReg
GRB10	RheMac_UpReg
GRIP1	RheMac_UpReg
GZF1	RheMac_UpReg
HDAC5	RheMac_UpReg
HEXB	RheMac_UpReg
HSPA14	RheMac_UpReg
IGSF10	RheMac_UpReg
IGSF8	RheMac_UpReg
ILK	RheMac_UpReg
INPP5F	RheMac_UpReg
INTS10	RheMac_UpReg
INTS6	RheMac_UpReg
IQCC	RheMac_UpReg
IQSEC1	RheMac_UpReg
ISOC1	RheMac_UpReg
ITFG2	RheMac_UpReg
JMJD8	RheMac_UpReg
KAT6A	RheMac_UpReg
KDM2A	RheMac_UpReg
KIAA1522	RheMac_UpReg
KIF21B	RheMac_UpReg
KIFC3	RheMac_UpReg
KLF11	RheMac_UpReg
KLHDC1	RheMac_UpReg
KLK6	RheMac_UpReg
KLKB1	RheMac_UpReg
LAMB2	RheMac_UpReg
LAMC3	RheMac_UpReg
LANCL1	RheMac_UpReg
LETM2	RheMac_UpReg
LETMD1	RheMac_UpReg
LIPE	RheMac_UpReg
LMCD1	RheMac_UpReg
LOXL3	RheMac_UpReg
MAB21L3	RheMac_UpReg
MAP3K4	RheMac_UpReg
MAP3K6	RheMac_UpReg
MAPRE2	RheMac_UpReg
MARCH8	RheMac_UpReg
MAST3	RheMac_UpReg
MBTD1	RheMac_UpReg
MED23	RheMac_UpReg
MED27	RheMac_UpReg
MED28	RheMac_UpReg
MED8	RheMac_UpReg
MEGF8	RheMac_UpReg
MEIS2	RheMac_UpReg
MEPCE	RheMac_UpReg
METTL16	RheMac_UpReg
METTL4	RheMac_UpReg
MGAT3	RheMac_UpReg
MLPH	RheMac_UpReg
MON1A	RheMac_UpReg
MRPL39	RheMac_UpReg
MTIF2	RheMac_UpReg
MTMR6	RheMac_UpReg
MUSK	RheMac_UpReg
MYH7B	RheMac_UpReg
N4BP1	RheMac_UpReg
NACAD	RheMac_UpReg
NAPEPLD	RheMac_UpReg
NEK8	RheMac_UpReg
NEK9	RheMac_UpReg
NEU1	RheMac_UpReg
NEU4	RheMac_UpReg
NEURL4	RheMac_UpReg
NFKBIZ	RheMac_UpReg
NOC4L	RheMac_UpReg
NRXN2	RheMac_UpReg
PAK4	RheMac_UpReg
PASK	RheMac_UpReg
PC	RheMac_UpReg
PCDH1	RheMac_UpReg
PCDH17	RheMac_UpReg
PDE4B	RheMac_UpReg
PEA15	RheMac_UpReg
PEX16	RheMac_UpReg
PGAM2	RheMac_UpReg
PGBD1	RheMac_UpReg
PIGP	RheMac_UpReg
PIGT	RheMac_UpReg
PIK3C2B	RheMac_UpReg
PLEKHG3	RheMac_UpReg
PLEKHM2	RheMac_UpReg
PLIN3	RheMac_UpReg
PLLP	RheMac_UpReg
PLXNB1	RheMac_UpReg
PMM1	RheMac_UpReg
POMK	RheMac_UpReg
POU6F1	RheMac_UpReg
PPIB	RheMac_UpReg
PPM1K	RheMac_UpReg
PPP1R16B	RheMac_UpReg
PRIMA1	RheMac_UpReg
PRKAG1	RheMac_UpReg
PRKCQ	RheMac_UpReg
PRSS55	RheMac_UpReg
PSMB4	RheMac_UpReg
PSMC5	RheMac_UpReg
PTPN23	RheMac_UpReg
PTPRK	RheMac_UpReg
PUS10	RheMac_UpReg
PUS7L	RheMac_UpReg
RAD9A	RheMac_UpReg
RALGPS1	RheMac_UpReg
RALY	RheMac_UpReg
RALYL	RheMac_UpReg
RBM26	RheMac_UpReg
RBM38	RheMac_UpReg
RCCD1	RheMac_UpReg
RCVRN	RheMac_UpReg
RELL2	RheMac_UpReg
RETSAT	RheMac_UpReg
RFXANK	RheMac_UpReg
RGMA	RheMac_UpReg
RHPN2	RheMac_UpReg
RNPEPL1	RheMac_UpReg
ROGDI	RheMac_UpReg
RPS6KC1	RheMac_UpReg
RTEL1	RheMac_UpReg
RTTN	RheMac_UpReg
SAMD8	RheMac_UpReg
SCARB2	RheMac_UpReg
SCRN2	RheMac_UpReg
SDK2	RheMac_UpReg
SEC14L1	RheMac_UpReg
SETD2	RheMac_UpReg
SH3RF3	RheMac_UpReg
SH3TC1	RheMac_UpReg
SH3TC2	RheMac_UpReg
SIK3	RheMac_UpReg
SKIV2L	RheMac_UpReg
SLAIN1	RheMac_UpReg
SLAMF9	RheMac_UpReg
SLC12A4	RheMac_UpReg
SLC22A23	RheMac_UpReg
SLC25A1	RheMac_UpReg
SLC25A13	RheMac_UpReg
SLC25A38	RheMac_UpReg
SLC2A10	RheMac_UpReg
SLC35F6	RheMac_UpReg
SLC8A2	RheMac_UpReg
SLC9A9	RheMac_UpReg
SLFN13	RheMac_UpReg
SMG7	RheMac_UpReg
SNX33	RheMac_UpReg
SPAST	RheMac_UpReg
SPOCK3	RheMac_UpReg
ST3GAL6	RheMac_UpReg
ST5	RheMac_UpReg
ST7L	RheMac_UpReg
STEAP2	RheMac_UpReg
STIM1	RheMac_UpReg
STK38L	RheMac_UpReg
SUCO	RheMac_UpReg
SURF2	RheMac_UpReg
SWT1	RheMac_UpReg
SYNE1	RheMac_UpReg
TANGO6	RheMac_UpReg
TBC1D23	RheMac_UpReg
TBL1XR1	RheMac_UpReg
TCF3	RheMac_UpReg
TECPR2	RheMac_UpReg
TECR	RheMac_UpReg
THSD7A	RheMac_UpReg
THSD7B	RheMac_UpReg
TMBIM1	RheMac_UpReg
TMC6	RheMac_UpReg
TMC7	RheMac_UpReg
TMEM106C	RheMac_UpReg
TMEM125	RheMac_UpReg
TMEM134	RheMac_UpReg
TMEM143	RheMac_UpReg
TMEM246	RheMac_UpReg
TMTC1	RheMac_UpReg
TNS3	RheMac_UpReg
TOMM22	RheMac_UpReg
TOX2	RheMac_UpReg
TPP1	RheMac_UpReg
TPRA1	RheMac_UpReg
TRAPPC9	RheMac_UpReg
TRPM1	RheMac_UpReg
TRPM6	RheMac_UpReg
TRUB2	RheMac_UpReg
