Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro
AAAS	-0.956566024964088	0.000217755025454514	0.00125295194027848
AACS	0.708609996555894	2.54878407635051e-05	0.000196667468084852
AADAT	-0.652224772610468	0.0276300840667028	0.0725487523221358
AAK1	0.0295679074696814	0.779338339953103	0.861174825205395
AAMP	0.448841028568274	0.17785903354907	0.3019744126694
AAR2	-0.662127195038505	0.0111181515030327	0.0347188229703059
AARS	0.302807896442755	0.0752003101105234	0.157828276822588
AARS2	0.0340773157583594	0.906487724813128	0.942731391163024
AASDH	-0.392866859395651	0.0727288790320026	0.15364547799106
AASDHPPT	-0.809727780916508	0.000161351058420411	0.000971820907263082
AATF	0.939028981019128	0.000374967906094259	0.00198685525938047
AATK	-0.102818809769727	0.621058391189825	0.741712782320326
ABAT	-0.175916918533395	0.294958643402587	0.441910122148614
ABCA1	-1.32929055134933	0.0002647029288807	0.00147346603762581
ABCA10	-1.00858989848562	1.58865104404882e-07	2.31710566912486e-06
ABCA2	-0.132381093162763	0.481531923308081	0.62002234111585
ABCA3	-0.0866922610143719	0.563403147793411	0.692879538058482
ABCA5	-0.0882235747434991	0.577887284719838	0.705155567362555
ABCA6	-0.636134567085763	0.00058662437922008	0.00292857442029249
ABCA7	0.468276349591221	0.100867461635705	0.198414503667148
ABCA9	0.281981832578203	0.0549724285249509	0.123558331054094
ABCB6	-0.0189315494520477	0.954332961989039	0.97397742356061
ABCB9	0.490628622323782	0.00832992730565763	0.0271058955465224
ABCC1	0.748230080733853	0.00113026682665263	0.00520208569144353
ABCC10	-0.468674272800562	0.0883093405403006	0.178509374297227
ABCC3	-2.42017329505173	1.01048855949415e-08	1.8865826577369e-07
ABCC4	-0.733487435992179	0.0120605552943986	0.0370944044543371
ABCC5	0.199859444662934	0.0931212432743087	0.186153545533074
ABCC8	0.412364172622128	0.0156702924249339	0.0459241193173047
ABCD2	0.153784840165426	0.590853555784736	0.715761245699582
ABCD3	-0.0870214105440787	0.710858211746238	0.810142247310033
ABCD4	-0.0337614021893099	0.856987009653801	0.912850136981272
ABCE1	-1.08737462933498	3.88486136593258e-07	5.17075665430645e-06
ABCF1	-0.535995219655513	0.000195617333256681	0.00114046539973881
ABCF2	0.111898942446087	0.531046951880332	0.6656572961734
ABCF3	-0.598417901454677	0.0328337862333055	0.0830215821036646
ABCG4	0.1175210592906	0.632880826797038	0.750598991634057
ABHD10	0.209108879872437	0.344700233553489	0.492037721358878
ABHD11	-0.0120633239883131	0.979282157109204	0.988592933989313
ABHD12	0.635920183862486	0.0606574232504669	0.133602722297529
ABHD12B	1.1515891307595	0.00028819885148712	0.00157905810513755
ABHD13	0.349423058975907	0.113398932246078	0.215424520255086
ABHD16A	-0.471923359128941	0.233619165096502	0.371412770639558
ABHD17A	0.363053497873775	0.105948262252489	0.205181321206994
ABHD17B	0.228582938874799	0.54666871199468	0.679945098324092
ABHD17C	-0.402573880959961	0.29211533653278	0.43843485074443
ABHD2	-0.0324288263290515	0.824358586959117	0.889945853000868
ABHD4	-1.26297593329212	0.00069856802210988	0.00340816519877851
ABHD6	-0.182003522964059	0.571752182932238	0.700015980624261
ABI1	0.366666486103385	0.0251608921752138	0.0672993576009232
ABI2	0.443875842131219	5.69862276300626e-06	5.39693096967063e-05
ABL1	-0.189901193622572	0.286939777465286	0.432761631586989
ABL2	0.519387176778254	0.000122832513450799	0.000769150188937988
ABLIM1	0.606981725900103	7.24551030795162e-06	6.68055201521707e-05
ABLIM2	0.522064464716024	0.00300787063597951	0.0118113944486025
ABLIM3	0.181404590958345	0.175974117843782	0.299320462126807
ABR	0.639095696273899	6.88539403270738e-09	1.3369972129829e-07
ABTB1	-1.15725923977206	1.71296608209026e-06	1.85523312280203e-05
ACAA1	-0.113783133876083	0.51848730111983	0.653042829092105
ACACA	0.235406803984418	0.139743246734036	0.251851738710721
ACACB	1.16755107470505	0.00220037950942165	0.00908809928607697
ACAD8	-0.123892412403282	0.563964228654414	0.693218106341911
ACAD9	1.7868866753931	2.81743517405175e-11	8.45432518894669e-10
ACADM	0.171228181100588	0.67815878151419	0.785462674010254
ACADSB	-0.579424156435111	0.00672788051682516	0.0226845814284576
ACADVL	1.53394968547906	5.92859095149834e-14	2.78843614864854e-12
ACAN	-0.223377377644097	0.526097088965407	0.661311297076047
ACAP2	0.271776285447412	0.0588849177323647	0.130444220764982
ACAP3	0.61104799775921	0.00254810193874522	0.0102070380053469
ACAT1	-0.415845157058391	0.00860250532264262	0.0278500288326234
ACBD3	0.280940980547176	0.114307497974114	0.216707964909258
ACBD4	0.23036749202644	0.4002237107837	0.545978964751692
ACBD5	0.194848683317896	0.367310608345876	0.51463748290113
ACBD6	1.54196511251033	1.12243087202479e-06	1.30513767508216e-05
ACD	0.259056699653079	0.458588009949473	0.59951574317567
ACE	0.456126484906567	0.108696380770169	0.209148724387003
ACER3	-0.0283554019888416	0.887591539493649	0.932243930327541
ACHE	-0.848761864992121	0.011654154816815	0.0360697168674214
ACIN1	0.181081024597085	0.0805207516274786	0.166575273523495
ACLY	0.167668457288012	0.52715322696551	0.662363322250525
ACO1	0.230895747700601	0.354083245394391	0.502438123803703
ACO2	0.0886952655479223	0.731437358891849	0.825504660102798
ACOT11	0.589755283121387	0.0102371484960124	0.0322655758241244
ACOT13	-0.838730359372947	0.0101200712949032	0.0319717875022376
ACOT8	-0.237293798009973	0.270883468601156	0.415354651855106
ACOX1	-0.0941345982857214	0.625483628360641	0.745020949663522
ACOX3	0.576355021162	0.0370151569668331	0.0913862854987693
ACP2	-0.90041874787215	0.0264514351614917	0.0700851451304696
ACP6	-0.400369950133461	0.0766477755415009	0.160303566533461
ACSF3	-0.315117502348866	0.0515650804508381	0.117862260416067
ACSL1	0.329997198138555	0.334361719271001	0.48196906228251
ACSL3	0.10793264765991	0.532277700497946	0.667010418504099
ACSL6	0.65504440476677	8.71394332246922e-08	1.35600619880506e-06
ACSS2	-0.128759559932397	0.673367517132789	0.78178239542861
ACTB	0.321375700015877	0.168908587181392	0.290668590315029
ACTG1	0.576693089278037	0.0077957411895051	0.0255944883288379
