Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac
AAAS	0.295315698502098	0.394878374053232	0.496459190204784
AACS	0.271152793969469	0.0829585352947775	0.135676666827091
AADAT	-0.3108186336374	0.279414839817405	0.376389547699327
AAK1	0.0211771175891844	0.814386468722349	0.859778501405234
AAMP	0.36174303078681	0.317349558244232	0.415392511197734
AAR2	-0.776852089747858	0.0327955630444745	0.0616029737061567
AARS	0.717512445768808	3.22346941303842e-05	0.000128508980599798
AARS2	-0.264788178420851	0.406340571013876	0.508034372491423
AASDH	0.0624290698459816	0.81575416532	0.860571304442924
AASDHPPT	-0.342231778781298	0.177010644325061	0.257503581979046
AATF	-0.932876434723572	1.95901062389758e-05	8.17589079923757e-05
AATK	-0.253633151985419	0.262148640666204	0.356976860797723
ABAT	0.564084680218196	8.09941384878332e-05	0.000296179307692509
ABCA1	-0.231983275742405	0.517677682237343	0.610122202904514
ABCA10	1.27920656992389	6.64396700833514e-06	3.00829052427159e-05
ABCA2	0.492795539648549	0.00624679227954261	0.0145474673057944
ABCA3	0.063560535037475	0.691812249905261	0.759089404483204
ABCA5	0.782213607357511	5.30858808911461e-07	2.91241805256012e-06
ABCA6	0.750950400781621	0.00245236687704953	0.00638805709230201
ABCA7	0.501600676254313	0.0848554495949372	0.138158269935592
ABCA9	2.79895210191269	0	0
ABCB6	1.49941374001395	0.000338151834538003	0.00108675898608528
ABCB9	-0.124697938423189	0.510539773313943	0.60370607092999
ABCC1	0.9941673216463	3.79109383263909e-06	1.81372887710971e-05
ABCC10	-1.38610304097496	5.67858365885243e-07	3.09512385364014e-06
ABCC3	-1.86175984254309	5.05337904204151e-05	0.000193535632845249
ABCC4	-2.12617527249465	2.8465079182638e-09	2.24397027228856e-08
ABCC5	0.209444518937287	0.0415878027766705	0.0756733503252088
ABCC8	0.336979673834068	0.0216088917855211	0.0429000811070387
ABCD2	-0.159043884394803	0.574395886526209	0.659649158024338
ABCD3	-0.698854027336921	0.00301631707487271	0.00766391701087536
ABCD4	0.140721854437729	0.524016223966359	0.615517204366446
ABCE1	-0.635884135663319	0.00360998398054324	0.00897210517118993
ABCF1	-0.549749606538742	0.00186592342555891	0.00503594807181793
ABCF2	0.398377924918292	0.0653689943200433	0.111551002944844
ABCF3	0.00816985255747507	0.977085961057512	0.983310934724545
ABCG4	-0.813461333358801	0.00131470060614869	0.00367993095107884
ABHD10	0.495745730481109	0.0541949223423317	0.0950198722198955
ABHD11	1.33400543820435	0.00212923783595076	0.00563159345638363
ABHD12	-0.499775197918436	0.172720477489862	0.252579185597401
ABHD12B	1.45333823976317	0.000749327951765855	0.00222223649032368
ABHD13	-0.0803782768952092	0.76266925630162	0.819438785133106
ABHD16A	-1.66278783471395	3.28524477004599e-05	0.000130660661353088
ABHD17A	-0.710946275660114	0.000390347296385096	0.00123553405116674
ABHD17B	-0.889465760667424	0.0358095376931706	0.0666068539362863
ABHD17C	-0.669557330645467	0.0224010969314681	0.0442316203633131
ABHD2	0.612880934970765	3.85591368081695e-05	0.000152128696210177
ABHD4	-1.65718647989215	4.13427443162195e-05	0.000162041879876119
ABHD6	-0.626170356733925	0.0452050663469841	0.081179068094584
ABI1	0.25320609745459	0.12800797172029	0.195920062018696
ABI2	0.999467103950027	0	0
ABL1	0.341564316114567	0.0383399731028116	0.0705610584341038
ABL2	-0.309182405309319	0.00790699614514256	0.0179090304989593
ABLIM1	0.691545463233908	2.61308462468079e-06	1.28611078646841e-05
ABLIM2	0.248923085361013	0.114324586929785	0.177937431079412
ABLIM3	0.348824185529716	0.0442547393162789	0.0797633320895343
ABR	0.655292616713769	2.36183339552554e-09	1.88856439229606e-08
ABTB1	0.635983794052487	0.000685829955655137	0.00205136419747939
ACAA1	1.5310487638768	1.82298620643451e-13	2.4978789722209e-12
ACACA	0.684053463492183	8.82427309001343e-09	6.45212352048843e-08
ACACB	0.191603204912218	0.63004743658156	0.707206027396364
ACAD8	0.697536262105388	0.00744954761203687	0.0169661622981427
ACAD9	3.04981745922984	0	0
ACADM	1.33933983822939	0.000430130330255851	0.00134972973077608
ACADSB	-1.40112011713494	6.34032382151872e-10	5.50634761760941e-09
ACADVL	2.53374293950702	0	0
ACAN	-2.32097226204623	4.19557411035498e-09	3.24034561364317e-08
ACAP2	-0.559592611395297	0.000870162958745091	0.00254809523980899
ACAP3	1.66972694920855	0	0
ACAT1	0.0865064720388197	0.726850268310806	0.789874149311795
ACBD3	-0.745031994809416	4.22717410479834e-05	0.000165218961743098
ACBD4	0.667968260806692	0.057432880973606	0.0995503270209171
ACBD5	0.117451228043715	0.729881854705891	0.792242100480639
ACBD6	1.45152159439777	1.08134121545866e-06	5.66165644516569e-06
ACD	0.334734769590433	0.315032303368321	0.413451059283245
ACE	-0.329342818004714	0.260051503104683	0.354642642774459
ACER3	0.193092112757484	0.392619976878629	0.49451097433848
ACHE	-1.22816256446981	0.000490463099672267	0.00151911101385728
ACIN1	-0.362580770578556	0.000503320316636913	0.00155318750124741
ACLY	0.106571469204646	0.684526395312483	0.753890872821745
ACO1	0.0161303902344134	0.946549366946692	0.96033598498096
ACO2	0.100971831534729	0.677777507597344	0.748003334247952
ACOT11	2.10420156499448	5.04306314486058e-08	3.29590356352637e-07
ACOT13	-1.6704782958569	1.51749828258829e-08	1.07030291675056e-07
ACOT8	0.981982988751044	0.00364884543191213	0.00905666586302056
ACOX1	0.209488324895561	0.281036120467501	0.377990210617038
ACOX3	0.848643818141907	6.49775719896439e-08	4.17812774729108e-07
ACP2	-0.532972468113135	0.196808806724946	0.28122682097801
ACP6	0.650982250240699	0.00124974652321197	0.00351811630542388
ACSF3	-0.886478935658352	5.82554385020195e-06	2.6841746347766e-05
ACSL1	0.576669122596534	0.0989462244598864	0.15730683463315
ACSL3	0.184226317686803	0.276706547958947	0.373259374340362
ACSL6	0.0264874664630208	0.844042818804387	0.881637739117945
ACSS2	0.69912977381468	0.0102444316547778	0.0224401836247515
ACTB	1.57794708981813	1.29156907391348e-10	1.22043073214488e-09
ACTG1	0.863970829073995	6.43688841688306e-05	0.000240578704581004
ACTL6B	1.14000792060303	5.16660786931133e-06	2.40304672677081e-05
ACTL7B	-2.09210085987986	1.66933133982639e-12	2.04322251126118e-11
ACTN1	-0.0351689710134611	0.838828585667256	0.878163426185603
ACTN2	0.443461956239484	0.00192782252898294	0.0051728530779607
ACTN4	1.16637914982723	0	0
ACTR10	-0.259867115483167	0.502604605410027	0.597529928499396
ACTR1A	1.0110942513333	2.56988518991808e-05	0.000104645324951333
ACTR1B	0.991137271122221	1.57066071504453e-06	7.97910892375775e-06
ACTR2	0.511455988172829	0.0392689568080251	0.072033239788954
ACTR3B	0.0784637513650702	0.700668270475123	0.766997222857966
ACTR5	-1.50725195283957	4.58567714172187e-05	0.000177655201436814
ACTR6	-0.918181853337217	0.0545346653401635	0.0954634236005017
ACTR8	0.159601114048986	0.536311815135244	0.626704439987227
ACVR1	-0.841188933081917	0.0105668366349734	0.0230295325511604
ACVR1B	0.229358040412628	0.317286445261145	0.415374842803175
ACVR1C	-0.268545043867977	0.423967495220589	0.524446789300646
ACVR2A	-1.07621892465498	3.5527136788005e-15	5.91318467572918e-14
ACVR2B	0.637871076823673	2.94849388458029e-05	0.00011861985008028
ACY1	-1.47179926150406	0.00110538160604978	0.00316492982416169
ADA	-3.94974981673843	0	0
ADAL	-0.47413729090207	0.0974730576771914	0.155348265538444
ADAM10	0.199687544198575	0.221659126843475	0.310998862063612
ADAM11	0.478123519601145	0.000757362174222509	0.00224209198111416
ADAM15	-1.41983509476147	5.4135549065748e-07	2.95837347766607e-06
ADAM17	0.047371886221703	0.796132147156819	0.845089176619359
ADAM19	0.626836558830419	0.00890350053636535	0.0198297702821098
ADAM20	4.84585146290291	0	0
ADAM22	0.107495645561498	0.319115629113836	0.417352034018195
ADAM23	0.193741382944425	0.102445166885167	0.16203871852685
ADAM8	-1.30907430710274	0.000153241690213468	0.000528393505134743
ADAM9	0.118532403054896	0.587114266942832	0.670027350442392
ADAMTS12	-3.98764510584643	0	0
ADAMTS13	0.225731230064972	0.61441104268314	0.69275659030704
ADAMTS16	-1.99753489674867	3.48787665416239e-12	4.12436487975248e-11
ADAMTS17	0.687182956321991	0.0876753606123137	0.142196458552168
ADAMTS3	0.153176089797069	0.586518027309614	0.669696179939502
ADAMTS8	-0.136489339625099	0.685200568528129	0.754405465507298
ADAMTS9	1.07211129262526	0.0265686127501676	0.0513700752758438
ADAMTSL1	-0.475188739924538	0.165204927113747	0.24320303319787
ADAMTSL3	-0.308177051185929	0.253854841929189	0.347721324710597
ADAMTSL4	-4.23556915015875	0	0
ADAP1	0.491011617137021	0.0796229149356646	0.131272753808859
ADAR	0.200221531901322	0.200426512340209	0.285709307221562
ADARB1	0.124311081001933	0.474641069103596	0.572083937595062
ADARB2	-0.13958830680803	0.660034019626417	0.731603973561812
ADAT1	1.07030344909405	3.14671295560398e-05	0.000125688362902274
ADAT2	0.760899454944196	0.0158243181113145	0.032687192506273
ADCK1	0.0605150787364005	0.867606965338096	0.900298154909586
ADCK2	-0.450016474779821	0.222971823919284	0.312578718997362
ADCK5	0.24373670492579	0.525818937768307	0.616807642846611
ADCY1	0.276873523815138	0.012243606807028	0.0261889310650072
ADCY10	-4.57947756502029	0	0
ADCY2	-0.0534754685685847	0.705222444020732	0.770672536397542
ADCY3	0.999033034375011	4.56869866383158e-08	3.01649410201877e-07
ADCY5	-0.203027918227808	0.14824298000357	0.221583686589875
ADCY6	1.14228553469497	1.40687175242959e-08	1.00155869994393e-07
ADCY7	1.60812980865071	0.00282829469089019	0.00724112634621794
ADCY8	-0.528398659739408	0.0931937480125726	0.14969648088282
ADCY9	-0.55551323993199	1.56422423065461e-05	6.64980183799868e-05
ADCYAP1R1	-0.781372059583513	0.0024660703888113	0.00641178301090939
ADD1	0.570777508571642	1.10027320587847e-10	1.0479507712872e-09
ADD2	-0.802625631138957	3.33066907387547e-15	5.57687229729709e-14
ADD3	0.196457931788457	0.205328307030308	0.29175298480274
ADH5	1.25531507656943	0.000664444828046618	0.0019952410690123
ADHFE1	2.79891214418418	3.32668337321707e-10	2.99151377020121e-09
ADI1	3.26932386242522	0	0
ADIPOR1	-0.391388619555949	0.232066897672784	0.322949479274692
ADNP	-1.05560236350965	1.29730135078887e-07	7.80805672811246e-07
ADNP2	-0.617282268498597	0.0450470537395313	0.080964777567058
ADO	-0.288449118851283	0.281935219917882	0.37868789686387
ADORA1	-0.726650814127667	0.0364452834568947	0.0676091099271266
ADPGK	-0.266728926028707	0.447321384822395	0.546871295813827
ADRA1A	-1.77364708522989	3.7182701362326e-11	3.76868735841881e-10
ADRA2A	-0.319664389180064	0.450271608690822	0.549508671654115
ADRB1	-0.926825577420321	0.000243478822178567	0.000805693557027257
ADRM1	0.761179229084549	0.0656649180002344	0.111941904601499
ADSL	1.61564584144615	4.0856930505484e-08	2.70826779249337e-07
ADSSL1	-1.36890137981884	0.00152789898859673	0.00420636972460764
ADTRP	4.08526298889799	0	0
AEBP2	0.690768477444037	2.65378310904119e-06	1.30307754773565e-05
AEN	0.551762554009401	0.155504133206675	0.230911777794658
AFAP1	0.148835967498076	0.544563517946281	0.633822573647471
AFAP1L1	-2.85086928416141	9.12603326241879e-14	1.29716724062768e-12
AFAP1L2	2.67636008494052	2.22044604925031e-16	4.14021699873577e-15
AFF1	0.381773319891711	0.115756030492112	0.179864418574603
AFF4	0.489244096631174	1.63000648045752e-05	6.8990971963551e-05
AFMID	2.51448609085763	6.13731288012787e-12	7.06761807873872e-11
AFTPH	-0.720134403396516	0.00023083886424291	0.000769039994596
AGAP2	0.451583295837796	0.00118110274281302	0.00335420358304974
AGBL3	1.11030852050331	0.0100980639846036	0.0221601550928181
AGBL4	0.643207071538742	0.0111127727055893	0.0240714445255352
AGER	-0.406020362883362	0.319035756660614	0.417338649181666
