Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	AAAS	-0.956566024964088	0.000217755025454514	0.00125295194027848	0.295315698502098	0.394878374053232	0.496459190204784	1.14214057422341	0.00313390020730075	0.00957555202026347	4.5483733871137	0.0161489319116906	1
2	AACS	0.708609996555894	2.54878407635051e-05	0.000196667468084852	0.271152793969469	0.0829585352947775	0.135676666827091	-0.0630092963927378	0.741017812555402	0.817472806260881	2.2342087461119	0.119362964634988	1
3	AADAT	-0.652224772610468	0.0276300840667028	0.0725487523221358	-0.3108186336374	0.279414839817405	0.376389547699327	-0.254559491329013	0.27152023313958	0.389107735680342	6.63861958741501	0.00307196980213443	1
4	AAK1	0.0295679074696814	0.779338339953103	0.861174825205395	0.0211771175891844	0.814386468722349	0.859778501405234	-0.228512462538909	0.0427357270801334	0.0871792171332546	0.270919085257765	0.763970288727865	1
5	AAMP	0.448841028568274	0.17785903354907	0.3019744126694	0.36174303078681	0.317349558244232	0.415392511197734	-0.252508513770096	0.349108147000593	0.471332592596188	0.444576739102205	0.644008947001125	1
6	AAR2	-0.662127195038505	0.0111181515030327	0.0347188229703059	-0.776852089747858	0.0327955630444745	0.0616029737061567	-0.218483008710753	0.532548426294994	0.6453446658338	17.0055334831898	3.61975582024396e-06	0.0303045957270824
7	AARS	0.302807896442755	0.0752003101105234	0.157828276822588	0.717512445768808	3.22346941303842e-05	0.000128508980599798	0.644500328013906	0.000265459452605921	0.00111455693942666	8.98528292814694	0.000548892053733793	1
8	AARS2	0.0340773157583594	0.906487724813128	0.942731391163024	-0.264788178420851	0.406340571013876	0.508034372491423	-0.165539779876319	0.584867807564331	0.689455545610896	7.63165472302853	0.00145739098497513	1
9	AASDH	-0.392866859395651	0.0727288790320026	0.15364547799106	0.0624290698459816	0.81575416532	0.860571304442924	0.535351260662188	0.0507423112996324	0.100666973981166	4.10144149501324	0.0234283594513992	1
10	AASDHPPT	-0.809727780916508	0.000161351058420411	0.000971820907263082	-0.342231778781298	0.177010644325061	0.257503581979046	0.707655356358797	0.00443449903455084	0.0130586091865141	6.96415812969633	0.0023989019891228	1
11	AATF	0.939028981019128	0.000374967906094259	0.00198685525938047	-0.932876434723572	1.95901062389758e-05	8.17589079923757e-05	-1.56810254381821	4.06363231952866e-09	4.67960519657414e-08	31.3073617619664	4.06907566287521e-09	3.40663014495913e-05
12	AATK	-0.102818809769727	0.621058391189825	0.741712782320326	-0.253633151985419	0.262148640666204	0.356976860797723	-0.280747228540432	0.123656031698818	0.208930029744198	61.4042232250233	2.50051126909978e-13	2.09342803449033e-09
13	ABAT	-0.175916918533395	0.294958643402587	0.441910122148614	0.564084680218196	8.09941384878332e-05	0.000296179307692509	0.513211074879785	0.0148170545153337	0.0361868087521509	9.87140593999434	0.00029644645770354	1
14	ABCA1	-1.32929055134933	0.0002647029288807	0.00147346603762581	-0.231983275742405	0.517677682237343	0.610122202904514	1.06895471209411	4.02981793190538e-05	0.000206346395877137	17.4521682599525	2.82485838633808e-06	0.0236497144104224
15	ABCA10	-1.00858989848562	1.58865104404882e-07	2.31710566912486e-06	1.27920656992389	6.64396700833514e-06	3.00829052427159e-05	2.09959558386363	1.6784618139809e-10	2.4566577459175e-09	44.7648162463339	3.08917442860893e-11	2.5862568316314e-07
16	ABCA2	-0.132381093162763	0.481531923308081	0.62002234111585	0.492795539648549	0.00624679227954261	0.0145474673057944	0.485106770638694	0.0013621933028396	0.00463588712657444	83.5068082959645	1.55328638915943e-15	1.30041136500427e-11
17	ABCA3	-0.0866922610143719	0.563403147793411	0.692879538058482	0.063560535037475	0.691812249905261	0.759089404483204	0.0266397947690024	0.822307391544586	0.876766911266014	109.301872709952	1.38110503171234e-17	1.15626113254957e-13
18	ABCA5	-0.0882235747434991	0.577887284719838	0.705155567362555	0.782213607357511	5.30858808911461e-07	2.91241805256012e-06	0.660605655227566	0.00338828320119533	0.0102777923769592	55.3238499088223	1.28606061883399e-12	1.07668995008782e-08
19	ABCA6	-0.636134567085763	0.00058662437922008	0.00292857442029249	0.750950400781621	0.00245236687704953	0.00638805709230201	1.2303636050809	2.19562665693118e-06	1.51664904057986e-05	26.4393867194405	3.25490786584905e-08	0.000272500886528882
20	ABCA7	0.468276349591221	0.100867461635705	0.198414503667148	0.501600676254313	0.0848554495949372	0.138158269935592	-0.388075832819221	0.0531879744088806	0.104708734231288	28.3931430923362	1.37894935479068e-08	0.000115445639983076
21	ABCA9	0.281981832578203	0.0549724285249509	0.123558331054094	2.79895210191269	0	0	2.67322073183903	1.06446407244221e-10	1.60860888348125e-09	102.145177124012	4.63038919418346e-17	3.87656183337039e-13
22	ABCB6	-0.0189315494520477	0.954332961989039	0.97397742356061	1.49941374001395	0.000338151834538003	0.00108675898608528	1.88648989958233	2.95023552121521e-06	1.98707737599467e-05	13.6780975805377	2.52680297238321e-05	0.211543944847922
23	ABCB9	0.490628622323782	0.00832992730565763	0.0271058955465224	-0.124697938423189	0.510539773313943	0.60370607092999	-0.293333846001794	0.0295945793026655	0.0640552786768138	5.02599775400067	0.0109265919568847	1
24	ABCC1	0.748230080733853	0.00113026682665263	0.00520208569144353	0.9941673216463	3.79109383263909e-06	1.81372887710971e-05	0.759448966536022	0.000725570045203572	0.00269856615657232	0.664170738836692	0.519900119179135	1
25	ABCC10	-0.468674272800562	0.0883093405403006	0.178509374297227	-1.38610304097496	5.67858365885243e-07	3.09512385364014e-06	-0.818863630509354	0.000402490078483364	0.00160612342090692	64.0782779406314	1.26360318442878e-13	1.05788858600377e-09
26	ABCC3	-2.42017329505173	1.01048855949415e-08	1.8865826577369e-07	-1.86175984254309	5.05337904204151e-05	0.000193535632845249	0.761440866028672	0.000318442033059307	0.00131071617540439	54.8331878333858	1.47600827527119e-12	1.23571412805704e-08
