Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA1	-1.32929055134933	0.0002647029288807	0.00147346603762581	-0.231983275742405	0.517677682237343	0.610122202904514	1.06895471209411	4.02981793190538e-05	0.000206346395877137	17.4521682599525	2.82485838633808e-06	0.0236497144104224
2	ACAT1	-0.415845157058391	0.00860250532264262	0.0278500288326234	0.0865064720388197	0.726850268310806	0.789874149311795	0.74473397248412	0.00688170158595014	0.0189751766162275	33.8645948541081	1.47209614382782e-09	1.23243889161265e-05
3	ACVR1C	-1.15679655523187	9.12527710994482e-05	0.00059731680972993	-0.268545043867977	0.423967495220589	0.524446789300646	1.1441554385089	0.0023046995640672	0.00730315849749077	17.3397092019008	3.00603159678203e-06	0.0251664965282592
4	ADAMTS13	-1.27815513981551	0.00241609291985823	0.00978593610307357	0.225731230064972	0.61441104268314	0.69275659030704	1.77614735074797	5.01820807130571e-14	1.15418785640031e-12	32.3763093756016	2.64468144798244e-09	2.2141273082509e-05
5	ALG1	-1.96093312782269	2.62767585468282e-12	9.60650753511117e-11	0.0138062083919702	0.968708160475979	0.976523145033702	2.2816223097731	2.36352089011405e-08	2.3840237219319e-07	41.0119259430528	1.0819943215492e-10	9.05845646000992e-07
6	ALKBH8	-2.06430262451167	2.93427466102614e-07	4.04707536443341e-06	-0.0669146812952407	0.862026417009625	0.895506286537359	1.90071907484472	8.0018110582003e-08	7.32944881611082e-07	21.8516486144308	2.83012817061195e-07	0.00236938330443632
7	ARHGAP32	-0.845377446667959	1.40961953221108e-09	3.11380863421403e-08	-0.081053647575553	0.476384510547372	0.573524751553436	0.613312947209946	0.000217407547039583	0.000927221591347626	64.3218469313126	1.18870194279436e-13	9.95181266507438e-10
8	ARHGAP33	-1.03017589257604	8.29120327949795e-10	1.94983016449317e-08	-0.113666679460122	0.498913520935121	0.594831101861127	0.705760932700009	0.000510600415017715	0.00197996603729889	178.702066561049	1.4650516357149e-21	1.22654122942051e-17
9	ASB2	-0.880199737999062	0.0066176519450043	0.0223940913838221	-0.502770522155514	0.139238604179368	0.210302290129834	0.8940910143291	0.0176364173641865	0.0417922689422501	23.6667739579988	1.17170109897506e-07	0.00098094816006192
10	ATG2B	-0.584604559086207	5.27126827676305e-06	5.02631640239867e-05	-0.0381520454703773	0.710517579022757	0.775244776694712	0.334008791942726	0.00115331800182017	0.00403155670615384	17.3433409741499	2.99999464265949e-06	0.0251159551483453
11	ATP13A1	-1.00323778063798	7.90560903851656e-07	9.63402603645715e-06	-0.0387583080145752	0.840996297587082	0.879772710658384	0.975077859368776	8.19043417510379e-06	4.97968881001953e-05	67.0920250185647	6.00402329641347e-14	5.02656830375736e-10
12	C16orf58	-1.23210850199758	8.36756133699712e-05	0.000556861872125118	0.51180875042941	0.149960982002516	0.223632586627194	1.69253312754216	1.3988810110277e-13	3.07386662055745e-12	40.3658967712468	1.35276907862049e-10	1.13253827262107e-06
13	C22orf39	-0.926149515458629	2.47073134307385e-06	2.58518613428775e-05	0.209773294158794	0.383150280297745	0.484991555284657	1.2146467419606	1.35834586785233e-05	7.84822056981345e-05	32.0927959111453	2.96236777543707e-09	2.48009430159591e-05
14	CACNG2	-1.14599528490542	9.3739103818713e-05	0.000611202318668431	0.319261049879415	0.193095559842968	0.276766996576842	0.933530911146535	0.0137638478703734	0.0340014559960951	17.4397288896478	2.84432378417087e-06	0.0238126787210785
15	CARHSP1	-1.36535522146366	1.70093956497475e-06	1.84938519973618e-05	-0.190532076405131	0.607918122902544	0.686886422168467	1.00096652606761	0.0121815218086132	0.0307457644201718	17.1896189104203	3.26697770475603e-06	0.0273511373442174
16	CECR2	-3.58526652304922	1.99840144432528e-15	1.11537445945942e-13	-0.180843802250924	0.729975580877646	0.792242100480639	4.14447702564057	0	0	49.2098087874818	7.64916690413232e-12	6.40388253213958e-08
17	CELF6	-0.596027728699768	0.00071125764469393	0.00345597736586047	-0.00156995471396734	0.993271046786957	0.994815791805288	0.535912724320088	0.000752457098477377	0.00278249594896316	32.0717286664156	2.98751563542932e-09	2.50114808998143e-05
18	CENPO	-1.28242631739097	9.41576528457055e-06	8.36480065979646e-05	0.0285768442191848	0.904375246836224	0.926962483657305	1.64043368126544	2.80949041808753e-10	3.96645089042645e-09	24.5810443154626	7.61547792936361e-08	0.000637567812246321
19	CILP	-3.96671304937059	0	0	-0.0905090922531038	0.806571502858425	0.853249509973558	4.49849929300905	0	0	89.211199784788	4.98090670041637e-16	4.17001508958858e-12
20	CLN3	-1.42635428406957	0.000492106934765646	0.00252137041484577	-0.34617162822925	0.343825494580153	0.443324663580015	1.22315140114172	0.00246384063873073	0.00771978810907697	22.3580368644263	2.20480071239542e-07	0.00184585915641745
21	CNDP2	-0.953525152437994	2.7266261626302e-07	3.78562425100166e-06	0.10763291888317	0.576417007714137	0.66115401953456	1.27156440144364	8.23206836031432e-10	1.08192898449845e-08	32.8685519619205	2.1749531852596e-09	1.82087080669934e-05
22	COG4	-1.0205938121805	3.61881537236375e-05	0.000268587963629692	0.517992993838059	0.0704315963305033	0.118570948015076	1.41255093532351	3.08075164934252e-07	2.48239199309871e-06	20.0893632346629	6.90729589955518e-07	0.0057827881271076
23	COG8	-0.790827781109245	7.81271170593456e-05	0.000525365641783808	-0.212880108087937	0.328089492823911	0.426914086714607	0.529179953367152	0.00411818683668441	0.0122521180514292	20.7714076841965	4.868807581932e-07	0.00407616570759347
24	COIL	-1.25701753435213	6.10824435476331e-09	1.19635720368749e-07	-0.403290564706881	0.113962987247919	0.17753965933003	1.0258690040267	0.00117064610043616	0.00407331091698503	21.3003676290458	3.72653884031451e-07	0.00311985831711131
25	CREG2	-1.0777896289864	2.24916574254053e-09	4.79135256909651e-08	-0.0188696299781596	0.93130779404423	0.948298327868924	0.851999769500981	0.00128748762961917	0.00441394202914482	19.1582872927162	1.12388444950929e-06	0.00940916061129174
26	DCAF16	-0.834872910338597	9.91043666909164e-07	1.17355269863699e-05	0.0912481004764329	0.575681310622749	0.660762809505573	0.478848573327732	0.0112808312734665	0.0288112017759186	22.1570802936653	2.43361070204375e-07	0.00203741887975103
27	DCT	-2.30320228185996	2.23505658425438e-11	6.80432499031915e-10	0.69126116837678	0.0989970062106056	0.157357686727775	3.4877809278812	2.06215045039926e-11	3.52333134096788e-10	43.3765584541646	4.87011383050151e-11	4.07725929889587e-07
28	DDIT3	-0.892027948530084	1.7762548388589e-05	0.000144236716885807	-0.125929238667682	0.680031386571959	0.749897624918394	1.23863451279847	0.00231325157502282	0.00732748474691301	20.395510537913	5.89964549038689e-07	0.00493918320455191
29	DHFR	-2.72641326546347	4.44089209850063e-16	2.73376093004759e-14	-0.383777563182827	0.269330448412652	0.365332876557148	2.56528875648693	6.56217413741444e-09	7.26700024847007e-08	54.0897933123486	1.8216670152936e-12	1.5250996252038e-08
30	DLEC1	-2.36175025340835	4.77586414859843e-10	1.16570071871913e-08	-0.303312061296983	0.464400117376598	0.562249860112347	2.75123286571981	1.2649032488099e-08	1.34901528650146e-07	29.5789242097828	8.32203308509197e-09	6.967206098839e-05
31	DRG2	-0.504520552596338	0.0138745535053526	0.0415294107782667	0.110740170714896	0.631453363644272	0.708554826488385	0.803646166424745	1.74711726215193e-05	9.70594938204112e-05	26.0854380484735	3.81710713439359e-08	0.000319568209291431
32	DUSP22	-1.38958695336348	8.86383008769087e-07	1.06693301912762e-05	-0.326157625293942	0.365099619950068	0.466018298250033	1.55142309517638	5.04133111522975e-06	3.19258881215609e-05	16.783846133196	4.09819202011696e-06	0.0343100635924192
33	DZIP1L	-2.33003726485992	0	0	0.509398273012212	0.199964922372171	0.285099851856235	3.17391749264584	2.26019203353189e-12	4.39033125399745e-11	59.4778649727198	4.14525223062506e-13	3.4704051674793e-09
34	ECM1	-1.28602053442969	2.13881718895692e-05	0.000169566074866926	-0.336391614074792	0.274291333286022	0.370680717073539	0.854248224429574	0.00388875905362962	0.0116398608498345	48.3654715339555	9.90332669216046e-12	8.29106510667673e-08
35	EFCAB11	-1.64844092977014	6.22129680660777e-07	7.73918229790791e-06	0.138452239308529	0.690708797205056	0.758276167086379	1.04565582020401	0.0176920006261136	0.0419002628689741	20.2193425647803	6.45909370142893e-07	0.0054075532468363
36	EYS	-3.83999864301744	3.10862446895044e-15	1.65766904802886e-13	-0.580777262032548	0.125683417915193	0.193032760004769	1.97769768928383	0.000427497151352929	0.00169380319504341	33.950424160176	1.42387586232939e-09	1.19206887194217e-05
37	FAHD1	-1.7022389566127	1.0033723813363e-05	8.83305318248947e-05	0.0288577303644893	0.952059436762557	0.964268280253584	1.66597844923964	1.50874289335245e-05	8.57514969663731e-05	18.3185908124166	1.76027424569953e-06	0.0147370159849965
38	FAM83H	-1.81446646517631	3.98610585872206e-07	5.271987085185e-06	0.739788454224839	0.0776487295822812	0.128529490981447	2.25928435519647	3.64000829478073e-10	5.04538898077885e-09	33.023173658867	2.04612732617234e-09	1.71301779747148e-05
39	FARS2	-0.999339273294514	0.00286803679190473	0.0113313846256849	-0.0679081674526442	0.848931697247382	0.885308441623703	1.00629139373085	1.56793697405622e-05	8.83957464430885e-05	24.6082283084809	7.51952724218485e-08	0.000629534820715716
40	FOPNL	-1.38943160857402	7.08621436906753e-06	6.57713821483741e-05	-0.206238949221833	0.501379351800176	0.596496793132169	2.00920424908393	2.65692996048728e-07	2.17649878954985e-06	17.8745557115519	2.24021685549098e-06	0.0187550955141705
41	FREM1	-1.11490772935198	6.73447579746522e-06	6.27851128912905e-05	-0.24682260675285	0.346861468827487	0.446895078027658	0.795117245713082	2.49429564176396e-05	0.000133774779710748	18.3508332349156	1.72990657797316e-06	0.0144827778707913
42	GANC	-1.29560953348349	4.50459168188644e-07	5.86507644801761e-06	0.284987968540328	0.232935083096596	0.323996098302825	1.56908701528883	2.04820826965602e-10	2.96158888317101e-09	26.5446968509518	3.10491383906218e-08	0.000259943386606286
