Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCC8	0.412364172622128	0.0156702924249339	0.0459241193173047	0.336979673834068	0.0216088917855211	0.0429000811070387	-0.259297802641584	0.152067483237379	0.246439986384695	32.5682373880847	2.45001832202464e-09	2.05115533919903e-05
2	ABHD12B	1.1515891307595	0.00028819885148712	0.00157905810513755	1.45333823976317	0.000749327951765855	0.00222223649032368	0.109055735251963	0.817713403378315	0.873312490506857	31.1514984254146	4.33606792310401e-09	3.63015606522268e-05
3	ABLIM1	0.606981725900103	7.24551030795162e-06	6.68055201521707e-05	0.691545463233908	2.61308462468079e-06	1.28611078646841e-05	0.0952367413014483	0.623747482510032	0.72248445167124	37.1880196932997	4.20352463916874e-10	3.51919082791207e-06
4	ACBD6	1.54196511251033	1.12243087202479e-06	1.30513767508216e-05	1.45152159439777	1.08134121545866e-06	5.66165644516569e-06	0.0188391736461255	0.95003056456483	0.968186961233933	21.5916808098991	3.22083184469327e-07	0.00269648042037721
5	AGFG2	1.20361046262165	4.96120280413237e-07	6.35094646425018e-06	1.35800329348087	2.88532067638236e-06	1.40710897914832e-05	0.409994252588237	0.235289685309493	0.347537975548885	24.457889409713	8.06650225769391e-08	0.000675327569014134
6	AGTPBP1	0.758720874949796	0.000117376473973696	0.000745581062297256	0.448901909015112	0.00876422490056927	0.0195664242313509	0.0367787671269936	0.877368830271476	0.918510922475028	23.7393584029902	1.13194022231615e-07	0.00094766035412308
7	AHI1	1.34918412822974	0	0	1.37379546541587	7.11020797794504e-10	6.13044914432089e-09	0.102638214703616	0.69855290885167	0.783322388548913	90.4879749341076	3.89261966827497e-16	3.25890118627981e-12
8	AIMP1	0.886340856394797	0.000241618267150967	0.00136955188394577	0.683771548194178	0.0115612214979248	0.0248946878550994	-0.354767672062594	0.411665524176894	0.533838873669293	64.8685973462559	1.03699283780976e-13	8.68170403814332e-10
9	AK1	2.0225638306692	1.4847678642127e-11	4.69074587139197e-10	1.79678651854093	1.13860387118692e-07	6.94274698439684e-07	-0.116196430845916	0.76632860876717	0.836283929169604	22.7732585849764	1.80046588709397e-07	0.00150735004067507
10	AK5	0.855853984252934	4.33650011233411e-07	5.67268420944705e-06	1.1685898348846	9.13111808387157e-11	8.89938540141709e-10	0.34744567489106	0.093451549068222	0.167174437777597	25.604446560636	4.74893164917754e-08	0.000397580557669143
11	AK9	1.3381815817919	1.77656656097369e-06	1.90929592406569e-05	2.23766178883455	2.78201905956621e-11	2.87899426040647e-10	0.798685886072718	0.0898326299444547	0.161841785645572	133.623578256238	3.53064363818141e-19	2.95585485388548e-15
12	ALDH7A1	1.18950947853516	0.00111726597716899	0.00515358168642358	1.58013513220714	8.1465803880576e-08	5.10885176096017e-07	0.23523777359734	0.666430167656618	0.756112395124164	42.2731629325876	7.04223983358858e-11	5.89576318868036e-07
13	ALS2CR12	1.19688026774327	5.66723334927133e-10	1.36339303448562e-08	1.13130169605002	5.92500524199124e-08	3.82571304015109e-07	0.081650998121111	0.73777576463067	0.814988664929999	123.739559464288	1.45412266808223e-18	1.21739149771844e-14
14	ANAPC16	1.10019480367621	5.18696796625306e-07	6.59958902940284e-06	1.15406174787885	1.491017795896e-07	8.90992218932284e-07	0.264857445917247	0.178827654566681	0.280416767940112	78.2991564684154	4.63659510117715e-15	3.88175741870551e-11
15	ANKRD26	0.518847500635404	0.000293358312637659	0.00160239974584203	0.431013966772012	0.0169986611396256	0.0347867981082731	0.150712514229539	0.446738989041302	0.566509969138713	66.7906742739995	6.46037856183081e-14	5.40862893196475e-10
16	ANKS1B	0.344456455418867	0.00746419524789577	0.0247682293362598	0.380776584071762	0.000613516972776118	0.00185696460451253	0.178905424761859	0.255510996652661	0.371120413597515	18.3874554278538	1.69607773215142e-06	0.0141995627735717
17	AP1S3	2.69622893172011	0	0	3.45139489185967	0	0	0.31542089686762	0.264293275685794	0.380902617325094	217.557423263809	3.23317235044554e-23	2.706811891793e-19
18	ARHGAP29	1.41546847764572	5.19880856519883e-06	4.96938776957183e-05	2.59234450601775	5.21804821573824e-14	7.61071422685723e-13	0.619806424792117	0.101717102129848	0.178452552185894	87.0568721195211	7.59966552331954e-16	6.36243997612312e-12
19	ARL1	1.21896507920723	0.000130868627531866	0.000812180985690721	1.11738767347752	5.82876330226245e-05	0.000220110087354719	-0.248205556697464	0.518893240143628	0.632616019583873	30.9730473715841	4.66441009675719e-09	3.90504413300512e-05
20	ARRB2	0.740249615832003	5.20616046295608e-06	4.96989457193481e-05	0.969683092415968	1.95399252334028e-14	2.96355532706608e-13	0.141498057771336	0.318220262073144	0.439192224542757	16.6021762849498	4.53948488993943e-06	0.0380045674985729
21	ASAH1	0.656291498061256	0.000118045184443583	0.000748692639516419	1.38852155242135	1.50216728806996e-05	6.40007355507464e-05	0.345881263650047	0.455159816915837	0.573712434089038	16.2632069787522	5.50105777191571e-06	0.0460548556664783
22	ASGR1	1.58610371259579	1.09447122698114e-07	1.68126846096993e-06	0.709448934030759	0.0230035073030836	0.0453035434348192	-0.561969677912201	0.153476451975475	0.248099026054968	79.6250288758615	3.49112764124105e-15	2.922772061247e-11
23	ATF2	0.745185547966142	2.09076200796687e-08	3.669572228658e-07	0.383597170532629	0.00258539141774916	0.00669154722449391	-0.29092798262949	0.0613780133062136	0.118019459669182	51.3411181209225	4.03952136688194e-12	3.38188728835356e-08
