Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCC10	-0.468674272800562	0.0883093405403006	0.178509374297227	-1.38610304097496	5.67858365885243e-07	3.09512385364014e-06	-0.818863630509354	0.000402490078483364	0.00160612342090692	64.0782779406314	1.26360318442878e-13	1.05788858600377e-09
2	ABCG4	0.1175210592906	0.632880826797038	0.750598991634057	-0.813461333358801	0.00131470060614869	0.00367993095107884	-1.12725869736589	2.09040507126446e-08	2.12131772807588e-07	49.79732427986	6.4025416285228e-12	5.36020785139929e-08
3	ABHD17A	0.363053497873775	0.105948262252489	0.205181321206994	-0.710946275660114	0.000390347296385096	0.00123553405116674	-1.59743991670619	2.6461055568916e-12	5.06938117215022e-11	46.9619721171665	1.53202084587113e-11	1.28260785216331e-07
4	ACAN	-0.223377377644097	0.526097088965407	0.661311297076047	-2.32097226204623	4.19557411035498e-09	3.24034561364317e-08	-1.97448175654573	6.16124780083993e-08	5.76334822219351e-07	18.5414038322804	1.5612664984997e-06	0.0130709231254395
5	ACBD3	0.280940980547176	0.114307497974114	0.216707964909258	-0.745031994809416	4.22717410479834e-05	0.000165218961743098	-0.860343232978612	9.40668020521507e-06	5.63727463694063e-05	22.5192551109677	2.0375537329667e-07	0.00170583998523972
6	ACIN1	0.181081024597085	0.0805207516274786	0.166575273523495	-0.362580770578556	0.000503320316636913	0.00155318750124741	-0.508262208010455	1.9654363692112e-08	2.00666259549222e-07	36.3616652294881	5.70193064414969e-10	4.77365633528212e-06
7	ACSF3	-0.315117502348866	0.0515650804508381	0.117862260416067	-0.886478935658352	5.82554385020195e-06	2.6841746347766e-05	-0.590398227338409	1.37892363003544e-05	7.94518143885529e-05	36.211041782863	6.0305959852745e-10	5.04881495887181e-06
8	ACTR5	0.351869755572401	0.369200560790459	0.51644897158525	-1.50725195283957	4.58567714172187e-05	0.000177655201436814	-2.06485510617508	1.11022302462516e-15	3.03751214449732e-14	39.050378637408	2.1474068217681e-10	1.79780899118425e-06
9	ADAM15	-0.362931056352311	0.171083120730255	0.293265333078153	-1.41983509476147	5.4135549065748e-07	2.95837347766607e-06	-0.882771424596644	4.44089209850063e-16	1.27325851536463e-14	74.9896454250173	9.57396009107962e-15	8.01531938825186e-11
10	ADAMTS12	-0.624290827754224	0.1225856239643	0.228063743073138	-3.98764510584643	0	0	-3.84007406033312	0	0	58.1222719125141	5.95914196243022e-13	4.98899365094658e-09
11	ADCY10	0.452585684650174	0.338445113063878	0.486347834976105	-4.57947756502029	0	0	-5.28352910550269	0	0	102.219054936509	4.57130417428482e-17	3.82709585471125e-13
12	ADD2	0.127813541843963	0.238251158194214	0.376915853439524	-0.802625631138957	3.33066907387547e-15	5.57687229729709e-14	-0.939567562677196	1.3414158672731e-11	2.35436763958289e-10	105.780094146493	2.48356996354823e-17	2.07924477348258e-13
13	ADNP	-0.167787693964398	0.265956458538169	0.409148745108701	-1.05560236350965	1.29730135078887e-07	7.80805672811246e-07	-0.675195344887933	0.00175362022430026	0.00575963456957307	40.7804003643814	1.17184961038823e-10	9.81072493817025e-07
14	ADRA1A	-0.59350906484486	0.0835019090985056	0.171132921168345	-1.77364708522989	3.7182701362326e-11	3.76868735841881e-10	-1.34954490268555	1.38768148192359e-05	7.97916852106062e-05	39.9333603664138	1.57302291284596e-10	1.31693478263464e-06
15	AFTPH	0.208632285515247	0.331547279533709	0.480036362443772	-0.720134403396516	0.00023083886424291	0.000769039994596	-0.742868495446642	0.0103091834740971	0.026749379685296	22.4823398251888	2.07464024538746e-07	0.00173688881343838
16	AHCTF1	-0.0201113734451506	0.918384088318336	0.95098473560929	-1.36490213184683	2.14872564185953e-12	2.60712044545623e-11	-1.57191587033514	0	0	49.4549144736714	7.10073898411024e-12	5.94473867749709e-08
17	AHCYL1	-0.229764318112388	0.225703265742188	0.361851348294447	-0.747189387447506	0.000241184240032499	0.000798731984791172	-0.513349868950417	0.000104433944168925	0.000481643123522021	16.6355006248908	4.45495858178846e-06	0.037296913246733
18	ALDH6A1	-0.468311442089859	0.0514835274898029	0.117732885043603	-2.01615911384316	0	0	-1.03556535398995	3.44668960039485e-10	4.80928088908428e-09	28.1113212755106	1.55754221610612e-08	0.000130397434332404
19	ALDOC	0.407250869757357	0.18363598358175	0.309897289769484	-1.4601219288109	2.32628177521121e-06	1.15513825753667e-05	-1.74864221594914	3.21295656746656e-10	4.49813919445319e-09	83.2124573620662	1.64991787849076e-15	1.38131124787246e-11
