Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac
AAAS	1.14214057422341	0.00313390020730075	0.00957555202026347
AACS	-0.0630092963927378	0.741017812555402	0.817472806260881
AADAT	-0.254559491329013	0.27152023313958	0.389107735680342
AAK1	-0.228512462538909	0.0427357270801334	0.0871792171332546
AAMP	-0.252508513770096	0.349108147000593	0.471332592596188
AAR2	-0.218483008710753	0.532548426294994	0.6453446658338
AARS	0.644500328013906	0.000265459452605921	0.00111455693942666
AARS2	-0.165539779876319	0.584867807564331	0.689455545610896
AASDH	0.535351260662188	0.0507423112996324	0.100666973981166
AASDHPPT	0.707655356358797	0.00443449903455084	0.0130586091865141
AATF	-1.56810254381821	4.06363231952866e-09	4.67960519657414e-08
AATK	-0.280747228540432	0.123656031698818	0.208930029744198
ABAT	0.513211074879785	0.0148170545153337	0.0361868087521509
ABCA1	1.06895471209411	4.02981793190538e-05	0.000206346395877137
ABCA10	2.09959558386363	1.6784618139809e-10	2.4566577459175e-09
ABCA2	0.485106770638694	0.0013621933028396	0.00463588712657444
ABCA3	0.0266397947690024	0.822307391544586	0.876766911266014
ABCA5	0.660605655227566	0.00338828320119533	0.0102777923769592
ABCA6	1.2303636050809	2.19562665693118e-06	1.51664904057986e-05
ABCA7	-0.388075832819221	0.0531879744088806	0.104708734231288
ABCA9	2.67322073183903	1.06446407244221e-10	1.60860888348125e-09
ABCB6	1.88648989958233	2.95023552121521e-06	1.98707737599467e-05
ABCB9	-0.293333846001794	0.0295945793026655	0.0640552786768138
ABCC1	0.759448966536022	0.000725570045203572	0.00269856615657232
ABCC10	-0.818863630509354	0.000402490078483364	0.00160612342090692
ABCC3	0.761440866028672	0.000318442033059307	0.00131071617540439
ABCC4	-1.78058024783496	9.73454650221584e-11	1.48447401305193e-09
ABCC5	0.172661623389741	0.0906466526696297	0.162887696104344
ABCC8	-0.259297802641584	0.152067483237379	0.246439986384695
ABCD2	-0.404470468303862	0.29170709081696	0.411555740532455
ABCD3	-0.489681764892631	0.0782578216981475	0.144438819060161
ABCD4	0.169599029775294	0.415145209922721	0.537435549323183
ABCE1	0.476032256395977	0.0138476606058382	0.0341941436876966
ABCF1	0.426800618353414	0.0425566816588503	0.0869198679794815
ABCF2	0.391751818881502	0.0641373597178592	0.122515272058072
ABCF3	0.612428617814291	0.000112054884594981	0.000511796777866438
ABCG4	-1.12725869736589	2.09040507126446e-08	2.12131772807588e-07
ABHD10	0.167630615986529	0.521380070371169	0.63481587393069
ABHD11	0.684426943479527	0.121298091313361	0.205734931214639
ABHD12	-1.06718314438467	3.94157025274122e-05	0.000202820074713888
ABHD12B	0.109055735251963	0.817713403378315	0.873312490506857
ABHD13	-0.216276217024403	0.482482549917787	0.59833267781243
ABHD16A	-1.2590376856188	0.00691585785570781	0.0190584469940704
ABHD17A	-1.59743991670619	2.6461055568916e-12	5.06938117215022e-11
ABHD17B	-1.1719936616579	0.00297023445855316	0.00912878226395265
ABHD17C	-1.15095301212777	0.000980953018138386	0.00351113239326831
ABHD2	0.470000910491444	0.00625787570696112	0.0175161937207217
ABHD4	-0.165935310299389	0.652919393188025	0.745735082417723
ABHD6	-0.741476555480224	0.00432353065801627	0.012767759671574
ABI1	-0.163891000227875	0.289113252641222	0.40865374828842
ABI2	0.477710872731588	0.00112104634080246	0.00394013432627967
ABL1	0.59566324173139	0.000275703638315195	0.00115064349948894
ABL2	-1.03427933586161	3.95239396766556e-13	8.37707399931545e-12
ABLIM1	0.0952367413014483	0.623747482510032	0.72248445167124
ABLIM2	-0.180570976157723	0.155446606313847	0.250702945108751
ABLIM3	0.0182962832692261	0.924584331593897	0.950819312627945
ABR	0.202380905461241	0.0458295579401859	0.0925211138353597
ABTB1	2.01738791720313	0	0
ACAA1	1.49765241046865	1.14293285946587e-09	1.46758188641845e-08
ACACA	0.121809965730762	0.419099102519393	0.541048216853101
ACACB	-0.982519307288753	0.011886119213248	0.0301273357715145
ACAD8	0.79412934211315	0.000427164980840278	0.00169328845624754
ACAD9	1.57832046631004	9.40590938469654e-10	1.22466988131694e-08
ACADM	0.83579497480216	0.019586624245624	0.0456258258721101
ACADSB	-0.553090572699826	0.00307291899193007	0.009402952412441
ACADVL	1.24506788098415	5.93249893654502e-11	9.33587990540505e-10
ACAN	-1.97448175654573	6.16124780083993e-08	5.76334822219351e-07
ACAP2	-0.294419283742679	0.218856102640178	0.328952116930623
ACAP3	0.856696549262161	1.2559482343022e-09	1.610229497332e-08
ACAT1	0.74473397248412	0.00688170158595014	0.0189751766162275
ACBD3	-0.860343232978612	9.40668020521507e-06	5.63727463694063e-05
ACBD4	0.359555738732814	0.242367885560719	0.355733509452024
ACBD5	-0.0189805929729376	0.962210470369705	0.976321180212723
ACBD6	0.0188391736461255	0.95003056456483	0.968186961233933
ACD	-0.174576487645015	0.482752722477118	0.598490417974002
ACE	-0.596071542725718	0.023470874772761	0.0529074215394602
