Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro
A2M	-1.30082116345747	0.0709012947332428	0.143511054399817
AAAS	-0.167878999666276	0.628911138050689	0.737599783379338
AACS	0.782864976401493	0.00317771265796685	0.011215456439883
AADAT	-0.964482001152817	0.0186768310995922	0.0485713254602397
AAK1	-0.298536092639032	0.0111403519856748	0.0317336326344013
AAR2	-1.28563798420301	0.000725968504087682	0.00319274106509766
AARS	0.928091701099513	1.57982053972106e-06	1.33148754518296e-05
AARS2	0.196905306147676	0.555217156197618	0.680629430980053
AASDH	-0.255047472459467	0.424983512826756	0.5630504963809
AASDHPPT	-0.425506226272988	0.166718079784791	0.280192961695033
AASS	-0.564555773284618	0.0168845858730058	0.0447414893795737
AATF	2.0863311591807	2.00277394668547e-08	2.39951997415881e-07
AATK	0.357831713026625	0.129864446842723	0.230842985687982
ABAT	0.546476383869076	0.00402319001805562	0.0137253233467963
ABCA1	0.887825799962544	0.0119573478376471	0.0337430196538306
ABCA10	-4.98603195632045	0	0
ABCA2	-0.639404914047754	0.00201538476028507	0.00764874939144332
ABCA3	-0.130948011599044	0.58015869372414	0.700638933634903
ABCA5	-0.279677165741767	0.119838390951732	0.217444502346806
ABCA7	-0.374151641913816	0.470037163191432	0.603307462432467
ABCA8	0.117976125303195	0.515002071858972	0.646961725366206
ABCA9	-0.558342206715505	0.191688841088142	0.310846769332122
ABCB6	-1.77364204023228	3.24254272656699e-05	0.00020159229451354
ABCB9	-0.00018063147092059	0.999673620987533	0.999673620987533
ABCC1	-0.720688600860765	0.123126382093292	0.222330960989629
ABCC10	-1.35307337624589	1.27306414077211e-07	1.33117080279905e-06
ABCC2	-2.74702689063275	1.09404529879953e-09	1.61858756534725e-08
ABCC4	-0.330913548120669	0.600178262218514	0.716584097973836
ABCC5	0.408325645357413	0.00981855939463028	0.0285823292350423
ABCC8	-0.125237544878538	0.825415656052247	0.88913115570151
ABCD2	-0.192852773468101	0.674822683841525	0.772137332976472
ABCD3	0.466745202164404	0.0982773147613474	0.185558566332614
ABCD4	0.627971023424406	6.05947973277843e-05	0.000351301125612001
ABCE1	-1.25644484721481	1.35424873226597e-06	1.15424130957506e-05
ABCF1	1.01823236798267	6.19496218681181e-05	0.000358880568063581
ABCF2	1.60885980945692	7.91834375846179e-09	1.02680409629453e-07
ABCF3	0.128302683216553	0.72262159985332	0.811052641154252
ABHD10	-0.208934212579581	0.62776651048583	0.736665762100214
ABHD11	-0.503280970621211	0.178020073208581	0.294042331976594
ABHD12	-0.71989052469178	0.0131878983755624	0.0365873437501843
ABHD13	-0.272486644567038	0.498444378308799	0.631190222782231
ABHD14B	-0.875450868686844	0.0195837631814106	0.050478434930605
ABHD15	0.588565977359439	0.135890428385081	0.239303899042911
ABHD16A	-1.28539618880879	0.0168793731569552	0.0447414893795737
ABHD17A	0.805648221205543	0.0280649064500942	0.0674414153727629
ABHD17B	-1.10759779223449	0.00805534263663366	0.0242333427508756
ABHD2	-0.0248342566823824	0.930628010775191	0.960284260025966
ABHD4	-0.798808761598321	0.0700180919389772	0.142180170577133
ABHD6	-0.704742017613857	0.00848705882036005	0.0253005381237863
ABI1	0.831807062635991	0.0143599823926075	0.0390508873698247
ABI2	0.0482721290868417	0.726514218208925	0.814299108919121
ABL1	-0.739212750085755	0.000503490163096698	0.00228886688695793
ABL2	-0.347429476871295	0.109107719964828	0.201725204923966
ABLIM1	0.453877759196976	0.0752086563772938	0.15034471991329
ABLIM2	0.457125006461498	0.255176231884457	0.38605809746778
ABLIM3	-1.5949974942312	5.58483703727575e-09	7.35563902470464e-08
ABR	1.81769393118224	1.84481651941404e-05	0.000122555473521706
ABTB1	-1.74855864610615	2.70216217201913e-06	2.16631453027196e-05
ACAA1	-0.0367280853173527	0.921344420835296	0.955075253190023
ACACA	0.326459334042129	0.127134842145334	0.227380980983849
ACACB	0.372869732040248	0.0244092930099364	0.0603053121421959
ACAD8	0.469081577036489	0.141566707197888	0.247169585777374
ACAD9	1.97965092057011	0	0
ACADSB	-1.54985880884624	4.44162017387839e-06	3.4159357593612e-05
ACADVL	0.487479514753916	0.0445569914116501	0.0987832419566203
ACAP2	0.156581726987717	0.397588101755694	0.53661037527523
ACAP3	0.348396606895366	0.213787309129332	0.338548817976068
ACAT1	-0.610646375431238	0.0735908861366115	0.14772391245127
ACAT2	-0.735552954308421	0.178560611531501	0.294676317834981
ACBD3	0.514954320985376	0.095848606403554	0.182018453758068
ACBD5	0.615140714041554	0.221016671176717	0.346656853546884
ACBD6	1.33221116814449	5.26513426986064e-05	0.000309761985059505
ACD	0.0482424704230407	0.922188025154852	0.955556670801903
ACER2	-0.88415447914707	0.00490161753169249	0.016097405968547
ACER3	-0.600231226314455	0.00183964355459132	0.00710301597176219
ACIN1	0.702029050642614	1.04862049663534e-05	7.39512215910746e-05
ACLY	0.443217175439026	0.244617720806208	0.374430040351273
ACO1	0.158984243240222	0.605144917627276	0.720796530213046
ACO2	-0.0437063562773954	0.892099810523292	0.936054763019582
ACOT11	3.00272002335173	0	0
ACOT8	0.216302310088585	0.627880143061827	0.736665762100214
ACOX1	-1.29316636725395	1.86197832663382e-06	1.54687430212656e-05
ACOX3	0.180875907885166	0.614078680052482	0.727958733079037
ACP2	-1.42724741522362	0.000338121073425013	0.00160445194457831
ACP6	0.747565740332579	0.0175045261708224	0.0461577320723466
ACRBP	-3.04845025430967	4.11359835084113e-12	8.76022634714336e-11
ACSBG1	2.32743743150821	7.98956995007316e-07	7.12277698379164e-06
ACSF2	0.973494195792781	0.00871769237434994	0.0258251388519144
ACSF3	-0.380720396974258	0.15804647055491	0.267899398519084
ACSL1	0.0720834659692076	0.839875711470981	0.899206414277094
ACSL3	-0.0415850837425826	0.836846581947011	0.896875554227305
ACSL6	1.42269212221186	5.07505149016652e-12	1.07471678615291e-10
ACSM5	0.398400180540099	0.327820958700678	0.465326032252558
ACSS1	0.219238616253008	0.13581842280554	0.239303899042911
ACSS2	0.0820404271988994	0.758085599713239	0.835928695133035
ACTB	-0.0143849044850113	0.941818103430768	0.966754224295534
ACTG1	-0.282057910261213	0.442848610720228	0.579615211361595
ACTN1	0.535570498752257	0.298949099611564	0.43453217690973
ACTN2	0.928173317660965	0.00534331807342414	0.0172556534109725
ACTN4	0.764360913316718	0.000132792538065196	0.000705489520571246
ACTR1A	0.782579512893472	0.020758220583794	0.0529032598612152
ACTR1B	0.189213517912794	0.585977398919963	0.705025830577996
ACTR2	0.749835007212576	0.0472215243016154	0.103446746948772
ACTR3B	0.401329128508813	0.386830061197665	0.525693917428429
ACTR5	1.22653288425088	0.0185797803637378	0.0484021845450921
ACTR8	-0.868929334750859	0.0294233466983436	0.0703442764113184
ACVR1	-1.06715709368353	0.0426315922319915	0.0953257869314984
ACVR1B	-0.174345172340946	0.616869827041219	0.729019210947571
ACVR1C	-0.698116945003085	0.0699403228758659	0.142098586654541
ACVR2A	0.291750660875971	0.461369667674639	0.595620677530785
ACVR2B	0.109327496641298	0.573454430988343	0.69509627998587
ACY1	-1.49735840494699	0.00397675847122203	0.0135976002001079
ADA	1.26728763954134	0.00486817153048458	0.0160363297474786
ADAL	0.128367717757398	0.754967610919246	0.833706564205303
ADAM10	-0.110371941779137	0.415379149657135	0.553155957619859
ADAM11	-1.02694856346142	0.036186285918165	0.0833287607497189
ADAM12	1.23492954370813	0.00516769657846039	0.0167385544700774
ADAM15	-0.133267361307796	0.720082686731563	0.809141351992473
ADAM17	-0.669574251679301	0.0377117880088857	0.0862896844271115
ADAM19	2.69258479003576	4.11884550910457e-08	4.68247699982415e-07
ADAM22	-0.0469239589727701	0.854376392279379	0.908834321884354
ADAM23	0.654204276023518	0.0633949354435139	0.131269710203496
ADAM8	0.911353109928777	0.00200477130360888	0.00761229083640538
ADAM9	0.897879838695282	0.00221869225373883	0.00827494496214383
ADAMTS13	-1.52438109689951	0.00109750598557756	0.00457394997296934
ADAMTS14	-1.73850104819762	6.94394158613498e-05	0.000395302698728769
ADAMTS4	0.659750395830402	0.00797153959529062	0.0240482200081393
ADAMTS9	2.30985855190967	0.000298024454806534	0.00143507317091554
ADAMTSL3	3.08611504264937	6.14619466432487e-13	1.50372918000958e-11
ADAP1	0.602399812913079	0.185668377357505	0.30359156204161
ADAP2	-0.608711772861731	0.344284736900035	0.481374627513273
ADAR	0.723981349250409	0.000114028875019878	0.000619294752263131
ADARB1	-0.288453305384911	0.448162934642664	0.58405650506784
ADARB2	0.270171286736141	0.50942670884678	0.641634142471558
ADAT1	0.153993366285264	0.553727255087017	0.679754172171756
ADAT2	-2.07940036566092	1.79277429721569e-05	0.000119623774818629
ADCK1	0.0132697781697695	0.957903045703247	0.975968009480155
ADCK2	-0.115143086428427	0.746357010657348	0.827461358053901
ADCY1	0.870452384695791	0.021609014083088	0.0546183212886236
ADCY10	-0.406607531594748	0.251277235100412	0.382147635759227
ADCY2	0.173277127923728	0.672517144156034	0.770688132457119
ADCY3	1.83861952596488	6.20008711038622e-10	9.50763865203242e-09
ADCY5	0.605877856173181	0.00294875043502296	0.0105153553248932
ADCY6	0.111940510954127	0.644918722133543	0.749513534101396
ADCY8	-0.61029507986337	0.303745608903415	0.439402373384963
ADCY9	-0.0646159490762312	0.848041606120673	0.905152413140235
ADCYAP1R1	-0.267246737980695	0.450202302378091	0.585872595504892
ADD1	-0.84732397289681	1.69894143198235e-09	2.44182456764003e-08
ADD2	-0.110197037373826	0.702680537624233	0.794535576494047
ADD3	-0.653441411277693	3.48757307122582e-06	2.73223341124013e-05
ADH5	-0.555686267119144	0.245707629111326	0.37542273439306
ADHFE1	0.78688327370883	0.0113302161207998	0.0321969097941688
ADI1	0.543491019989576	0.00595269685974253	0.0188847621735852
ADIPOR1	0.282582472506888	0.532295203912064	0.661105921073633
ADIPOR2	-0.077561798986189	0.756780493468966	0.834976726594481
ADK	-0.826485577445089	0.0318968233259485	0.0752703353112507
ADNP	-0.579316618347481	0.0690262337189	0.140543583871501
ADNP2	-1.37572083628864	9.77380973266051e-06	6.93802831726887e-05
ADO	0.132749120230898	0.738415050909482	0.822493134569138
ADORA1	-0.0514318414714659	0.857384623098094	0.910496407355317
ADPGK	-0.241054108414993	0.440595292503882	0.577679571857327
ADPRHL2	-1.30730596735254	0.00260130265080294	0.00945019127345998
ADRA1A	-1.10154302556799	0.0140880529402814	0.0385331694025062
ADRM1	0.854809866845106	0.0688149733407168	0.140188951348914
ADSL	1.11281270929296	0.0333377301667395	0.0779564615096042
ADSSL1	-0.953427964322031	0.0073410599610948	0.0224417360719275
AEBP2	1.17772430231065	4.80311481476647e-07	4.46087813263324e-06
AEN	-0.0108839730530571	0.985207043564162	0.991389472349523
AFAP1	0.456315506286959	0.155994260816646	0.265463193012253
AFAP1L2	1.51300056689377	0.0055395341480835	0.0177754151780608
AFF1	0.0630821425471397	0.648424809831798	0.752106821412031
AFF4	-0.316114077643867	0.0223346981472716	0.0561337493329034
AFMID	0.567337232417616	0.0633849993544635	0.131269710203496
AFTPH	-0.949622029337632	0.0100681772390212	0.0291603572065344
AGA	-0.142279934649374	0.74760470270047	0.828237331831119
AGAP2	-0.882648111463993	0.0236807843466382	0.0587936714813087
AGFG1	-0.216101269902419	0.432990122505119	0.570776865935257
AGFG2	0.218951213573279	0.565887931445972	0.689128988680984
AGGF1	0.356597414870767	0.111952079077027	0.206026708330654
AGK	-0.00677958016887675	0.98466170658063	0.9910854083011
AGL	-1.39109808088453	3.90637677760708e-09	5.30201228702146e-08
AGO1	-0.681552648417744	7.49660223564597e-06	5.47049352330922e-05
AGO2	0.347389924265699	0.182444241908615	0.299908342863477
AGO3	-0.03117162206983	0.828378252720726	0.891210984853947
AGO4	-0.115955861907789	0.646325539695583	0.750802255700463
AGPAT1	-1.09675786334065	0.0144526703730419	0.0392605778010049
AGPAT3	-0.906843800413616	1.25521298501852e-05	8.68993605012819e-05
AGPAT4	1.20349066207214	1.42660994129074e-10	2.41819981079775e-09
AGPAT5	-1.69217980968386	0.000143835625697974	0.000754089688125303
AGPS	0.5077495281727	0.262312281080132	0.39398654022914
AGRN	3.53379226800906	0	0
AGTPBP1	0.295373115334207	0.0618396084114907	0.128612775678369
AHCTF1	-0.0298130310596631	0.902330086250672	0.942993565393293
AHCYL1	0.324936543680853	0.365958296459658	0.50464349734935
AHCYL2	-0.170029337858265	0.538548538138456	0.666183455092409
AHDC1	-0.0955877557967638	0.849561980475927	0.906125188925237
AHI1	1.12064263507536	2.87551271682673e-09	3.95972242972862e-08
AHNAK	1.04044451875391	0.0411510174579162	0.092806761794768
AHSA1	-0.0560666073112064	0.8788038228761	0.926863406939636
AIDA	-1.26596469486277	0.00530922160071223	0.0171675429005066
AIF1L	0.125379300892341	0.534026335570339	0.662929244156283
AIFM2	-1.33681458948329	0.00177050672632983	0.00686764025195154
AIG1	-0.404394655718392	0.157969239534762	0.267888616169315
AIM2	-0.513723649746596	0.0561246724828932	0.118586507537919
AIMP1	3.12673564104543	0	0
AIMP2	-1.1337678438313	0.0108353166920623	0.0309580476916065
AK2	1.39015038192569	5.76146463870941e-10	8.92554767800065e-09
AK3	0.882156900529218	0.0202716826702931	0.0519504816906495
AK5	0.483437153027554	0.037498432638396	0.0858794761424641
AK9	0.890234782447257	6.91584179979277e-05	0.000394296862793615
AKAP1	0.183682973088687	0.520227950002837	0.651254065577322
AKAP10	-1.43235438091698	0.00658527167514555	0.0205136319543403
AKAP11	-0.649404694266917	0.000126378397554694	0.000678565827779465
AKAP12	1.99905244133384	0.00215326908386437	0.0080867929826203
AKAP13	0.538749339432553	0.13787782039884	0.241958292064817
AKAP3	-3.18339072396466	0	0
AKAP5	-0.677073945982792	0.278140950844042	0.41133520899471
AKAP6	-1.09581644332697	1.77635683940025e-15	6.18859802113636e-14
AKAP7	0.0298369289714587	0.887847632716746	0.933606620818924
AKAP8	0.869079841048006	0.00807965106448938	0.0242774888901191
AKAP9	-0.11402582476776	0.430135126551672	0.568202263975299
AKIRIN1	0.26534199128183	0.36119090397605	0.499652924804929
AKIRIN2	-1.11794414814044	0.0443951369873583	0.098568938509377
AKNA	-0.0532920043960281	0.826558281580174	0.889840659102617
AKT1	2.08796050806665	0	0
AKT2	0.558665443118509	9.79712400088761e-05	0.000539448342656303
AKT3	0.557498717159002	0.00664539013189547	0.0206745470770081
AKTIP	-0.559545896270197	0.222419395725808	0.348423255633466
ALAD	-0.0132582754018704	0.948847326939595	0.970280777987737
ALAS1	-0.623919395956428	0.196030456138018	0.31625912257862
ALCAM	-0.278780947909556	0.0287419454010178	0.0688931855522177
ALDH16A1	1.14144108112343	0.0260697829651539	0.06378140623442
ALDH18A1	0.571647208222034	0.191904085268989	0.311129076696024
ALDH1A3	1.4042611830494	0.00075085757961979	0.00328880840204265
ALDH1L1	0.326315446171819	0.362735818362691	0.501331405269094
