Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac
A2M	-0.161796315668948	0.840979451631997	0.88462566499762
AAAS	1.00082405328886	0.00587924807513107	0.0130305234382852
AACS	0.391589375647919	0.184187511576311	0.260467188087713
AADAT	1.09652258272809	0.0203918308395767	0.0391076207882294
AAK1	-0.793193597355408	1.83437709466716e-11	1.71632312322819e-10
AAR2	-1.27118243804427	0.00637777855488308	0.013983760404558
AARS	1.3231160804771	1.88374071896646e-09	1.3550028387618e-08
AARS2	0.311859366394315	0.32017020252567	0.410182465869186
AASDH	-0.575554307866521	0.0886944322716379	0.140690287027609
AASDHPPT	-0.372866630323142	0.24352878824011	0.328177832280789
AASS	0.610415563066009	0.014975675994706	0.029743358076679
AATF	0.482457296559244	0.144371804457422	0.212427178220731
AATK	0.794051724050077	0.00115508105563689	0.00301846276550807
ABAT	0.791895429666902	5.79812952858916e-05	0.00019727209377198
ABCA1	-0.220235310194747	0.340125528417446	0.43150679557575
ABCA10	1.05613732759194	0.0407008514861023	0.0718753649228996
ABCA2	0.302547362536021	0.14378563756794	0.211729532530898
ABCA3	0.3647333092633	0.120432507764117	0.182166818466732
ABCA5	1.3245528421554	4.76414463435049e-11	4.22238375564944e-10
ABCA7	-3.07670002413825	2.07706740695812e-09	1.48699143907229e-08
ABCA8	-1.04906930469257	1.86702674209727e-07	9.85664956023417e-07
ABCA9	3.60120519996095	0	0
ABCB6	-0.80261072707914	0.0887210129178431	0.140702927975434
ABCB9	0.924170459165431	0.0471910429395455	0.081751669253658
ABCC1	0.137626461820628	0.783008124146422	0.839181006166332
ABCC10	-0.988397663337963	0.000302706502321337	0.000885627382952519
ABCC2	-1.04495299362067	0.0773810094513425	0.124973388475144
ABCC4	-1.30328261215946	0.0898882838000994	0.142106948040308
ABCC5	-0.292614011101654	0.0936020993124562	0.146933527990484
ABCC8	-0.82522923155309	0.193019121150206	0.271029820931567
ABCD2	-0.08167252175975	0.87226107890699	0.908304925142816
ABCD3	-1.66309248368615	4.30589983890783e-07	2.11517886823543e-06
ABCD4	-1.92273784181067	0	0
ABCE1	-0.43078154199306	0.188016806383411	0.265187883630334
ABCF1	0.842628361865192	5.63047963808572e-08	3.24192125391683e-07
ABCF2	0.946845541741777	7.70386448629701e-05	0.000255331940010545
ABCF3	-0.397126365953484	0.257857773513311	0.344235346593789
ABHD10	0.0135474913896167	0.977597178985233	0.985812281329647
ABHD11	-0.896082626516925	0.091095117109991	0.143714333337131
ABHD12	-0.540868026895906	0.193352263098925	0.271296048446153
ABHD13	0.471535130063509	0.238356873109074	0.322588249320552
ABHD14B	-1.76066270191342	7.30772073964658e-08	4.14451378782657e-07
ABHD15	0.26564115659235	0.5908813023773	0.67590598365447
ABHD16A	-2.28299854371337	2.44008388832206e-05	8.92454484553208e-05
ABHD17A	-0.545731825520614	0.173857479294838	0.248555700353437
ABHD17B	-1.18955606399528	0.000970397099721021	0.00257230086742318
ABHD2	-1.05624060504145	2.77282237484133e-05	0.000100059843216231
ABHD4	-2.2038859571952	6.2322090821354e-08	3.57206221841877e-07
ABHD6	-1.01618380217111	0.0002906885154359	0.000854434361079083
ABI1	0.547723870520141	0.0601523774135977	0.100631107157955
ABI2	0.263227201769326	0.12528026826097	0.18848779262147
ABL1	0.609418609528526	0.00329920239015613	0.00778220594994707
ABL2	-0.543196359748997	0.00763088821842173	0.0164123797812996
ABLIM1	2.41534100864874	2.23150387057558e-11	2.06236788038525e-10
ABLIM2	-0.0319239511047637	0.947673311729791	0.965163712336955
ABLIM3	0.432535765135093	0.25005408872582	0.335178884887801
ABR	1.60794823799488	7.60083786663923e-05	0.000252470712969212
ABTB1	0.683694650005609	0.11728976806601	0.178233295794782
ACAA1	2.43030751898042	4.95296248459454e-10	3.82085677383007e-09
ACACA	0.29002287068593	0.183115420653529	0.259436390581087
ACACB	-0.999108473421709	6.05302608036595e-09	4.06763352600592e-08
ACAD8	1.1487206277553	0.000947914469029643	0.00251535043378873
ACAD9	4.31699996114776	0	0
ACADSB	-1.72498770735741	9.19740572591365e-09	6.00452394541513e-08
ACADVL	1.14128343682297	0.000123206961356814	0.000390379139923519
ACAP2	0.173622371353608	0.501581559030679	0.59216267447163
ACAP3	1.03065044295585	0.00128945993408114	0.00332027149238876
ACAT1	0.159367528004833	0.70763670729862	0.777435878296057
ACAT2	-0.76322934916764	0.164230626412219	0.236672423880362
ACBD3	-0.256331828813161	0.424662518125755	0.516814011112477
ACBD5	-0.164311981397811	0.705715142668588	0.776707887403483
ACBD6	2.36316437568355	2.1227464230833e-13	2.59256267504196e-12
ACD	-0.521371698210103	0.174263263410976	0.249088725919262
ACER2	-1.14098885243647	1.55765552578568e-05	5.86447996759949e-05
ACER3	-0.350746003614219	0.11608249111172	0.176682833260439
ACIN1	0.212565403315246	0.18586002272511	0.262586763558556
ACLY	-0.359184361548471	0.238775722723723	0.323090860064228
ACO1	-0.0868451523859416	0.806632347518508	0.858047072919646
ACO2	0.874740835695344	0.00974085099010491	0.020399122849084
ACOT11	5.0788977389418	0	0
ACOT8	-0.421012730112517	0.268072720304198	0.354926403765278
ACOX1	0.541376792426732	0.0409725526588336	0.0722876308286539
ACOX3	0.289149236015198	0.446230780615241	0.538589780000023
ACP2	-0.587031244702236	0.118306170981772	0.179464329468756
ACP6	-0.782867941590853	0.0222238631345206	0.0421506285240783
ACRBP	1.2456724178516	0.000714037152782065	0.0019302649506986
ACSBG1	3.57052046051263	2.22044604925031e-16	3.58687438725051e-15
ACSF2	-0.356915408553891	0.432990861747212	0.525258490822998
ACSF3	0.630949994818742	0.00787729734561582	0.0168703591877778
ACSL1	-0.069801694673212	0.841259886432878	0.884738197258202
ACSL3	-0.390256944734751	0.0232884655116461	0.0438616839232796
ACSL6	1.01251182774996	0.00045644931010913	0.00128424145307965
ACSM5	-5.5051112907651	0	0
ACSS1	1.0810714195356	6.57252030578093e-14	8.43603624986482e-13
ACSS2	0.299484633175438	0.274181925352504	0.361630987889347
ACTB	1.02281505517141	0.000362974445848652	0.00104219020532313
ACTG1	0.198780009116787	0.678872122274422	0.753637774507288
ACTN1	0.607566465470677	0.25491561754889	0.341151012333086
ACTN2	5.95004750284618	0	0
ACTN4	0.271973044687053	0.216625047711974	0.297598648137838
ACTR1A	0.841599940426964	0.0168120546262727	0.0329528475433294
ACTR1B	0.0661049886071549	0.853358993496159	0.894040187199413
ACTR2	0.947500197973352	0.00549551006149906	0.0122482476606524
ACTR3B	0.397893483460757	0.39464064048015	0.486940303905653
ACTR5	0.00793938962745921	0.989524708471076	0.993203238985838
ACTR8	-0.725320047119464	0.113704117595642	0.173419179864273
ACVR1	-1.52906089480711	0.00398811429124679	0.00917254153995307
ACVR1B	0.222056155537929	0.570201266327767	0.657623428442093
ACVR1C	-1.75781413682135	7.65705308651832e-05	0.000253891760237186
ACVR2A	-0.440771483873006	0.307295745761429	0.39705278379019
ACVR2B	-0.444187234257261	0.0110800604423065	0.0228056784491797
ACY1	-0.883542791023245	0.0918644072996948	0.144703352473231
ADA	-1.53968952488876	0.000600538101660275	0.00165033371448625
ADAL	-0.649889034480121	0.0746731315831162	0.121247610560214
ADAM10	0.55498054509687	7.85612411275949e-05	0.000259791747878145
ADAM11	-0.571558686345144	0.196329740820681	0.274810746270015
ADAM12	1.3836839377108	0.000567894500024257	0.00156975591231568
ADAM15	0.100241248709747	0.772014709828026	0.830433616586998
ADAM17	-0.840951745450131	0.015718695809869	0.0310675399536233
ADAM19	2.60657347431544	1.09191784436469e-06	4.97582815153528e-06
ADAM22	0.188713624797643	0.442294345870744	0.534486134076539
ADAM23	0.0540616671759519	0.8582499830814	0.897795748179795
ADAM8	-0.461364642058391	0.175387134904014	0.250368139872891
ADAM9	-0.872838231128149	0.0042045230034029	0.00962051873659987
ADAMTS13	2.14255774988494	6.48250653467741e-06	2.61374663478193e-05
ADAMTS14	4.47380519492481	8.96394070082351e-13	1.00844332884265e-11
ADAMTS4	-0.441575018790419	0.0849362141371179	0.135496471592448
ADAMTS9	3.48992685899648	0	0
ADAMTSL3	1.73423832240947	5.49027197238594e-06	2.2399598548968e-05
ADAP1	-0.0761741506568926	0.856255527175532	0.896329518893246
ADAP2	1.88026014853832	0.0247577403993904	0.0463173762483027
ADAR	0.625095706789294	3.3043751817452e-05	0.000117946536232265
ADARB1	-1.78305109658428	1.6458670513142e-06	7.27646485844172e-06
ADARB2	2.20372885133258	8.90376932050074e-05	0.000291269995945416
ADAT1	0.569085930888993	0.0401103687922104	0.0709154321957696
ADAT2	0.78899154758072	0.154248765703669	0.224729363792588
ADCK1	1.68956194739339	6.15827788763568e-09	4.11640856149653e-08
ADCK2	-0.016080457247135	0.9657228198861	0.976630964412929
ADCY1	1.26450011223103	0.000289726086027509	0.000851936682367937
ADCY10	-4.4126205654296	0	0
ADCY2	2.59625530218964	2.60982635502671e-09	1.84567701066435e-08
ADCY3	4.33540184060679	0	0
ADCY5	-0.0487803398966763	0.818578362084138	0.867094355801608
ADCY6	0.276525911437857	0.301268717220593	0.390476075067626
ADCY8	-0.450193057445065	0.532768427579803	0.623391009519163
ADCY9	0.277901947165374	0.535981335623488	0.626568563060704
ADCYAP1R1	-0.450276254929193	0.257394228273193	0.343798651191756
ADD1	1.09628461094459	9.34807786734382e-14	1.18775577608604e-12
ADD2	-0.494893168045915	0.148826002542788	0.218131946340341
ADD3	0.133813339143236	0.401178924500907	0.493101021454935
ADH5	0.558375002969471	0.269744662692715	0.356702754933869
ADHFE1	3.32657599725082	1.79856129989275e-14	2.42805775485522e-13
ADI1	2.89196542868442	0	0
ADIPOR1	-1.21808532552646	0.0189560183610988	0.0367172684626972
ADIPOR2	-0.490094934743505	0.0483260887343928	0.0832980462453282
ADK	-2.28855970188761	3.53456188761925e-08	2.10073017849068e-07
ADNP	-1.98497197869096	8.03589547349048e-07	3.74546052895118e-06
ADNP2	-2.18917441311005	2.95319324550292e-14	3.90317149230805e-13
ADO	1.22160990383443	0.00207382093693598	0.00511853943298596
ADORA1	-1.11655533995417	0.000207280903928631	0.000629334792650782
ADPGK	0.182385280285855	0.56701458657875	0.654947329951926
ADPRHL2	-0.527127256344565	0.237698647477768	0.321989353783711
ADRA1A	-0.495835515796001	0.282945801310957	0.370273542999972
ADRM1	0.946818405783707	0.0525117204588359	0.0893917150796666
ADSL	2.10720899238506	4.31343192808242e-05	0.000150136028436018
ADSSL1	0.468052021926194	0.268941940271546	0.355952568006457
AEBP2	0.401359712702969	0.0754297561545938	0.122292291771119
AEN	-0.129596930892968	0.839149432331112	0.88319221890898
AFAP1	0.722040207836363	0.0576037371589861	0.0968388376521982
AFAP1L2	0.353538955857047	0.417940535546227	0.510523581956613
AFF1	0.748609065666297	0.000292071361784663	0.000857854586024135
AFF4	-0.324677633470102	0.0536535146909003	0.0909871177799924
AFMID	1.30976042390553	0.000130241670167175	0.000409427510009337
AFTPH	-2.1327439810733	5.82422998718357e-12	5.90230277521552e-11
AGA	-0.211547020444089	0.704123798980195	0.775295065582621
AGAP2	0.398896053363536	0.410270355831828	0.502532471789676
AGFG1	-0.0738820192442236	0.754949162053868	0.816628368168156
AGFG2	2.16855457094299	1.00848932131914e-05	3.93404503053287e-05
AGGF1	0.345585975529526	0.378960964449299	0.471285555393437
AGK	-0.179026038655563	0.484999468001858	0.57641816979941
AGL	-0.897998536946503	0.000219426442605419	0.000661956865960483
AGO1	-0.729935027163183	8.73487984343058e-06	3.45374956152381e-05
AGO2	-0.455984436005911	0.0427934816447875	0.0750449364960782
AGO3	0.309656076877764	0.0015464080436125	0.00391933626967512
AGO4	-0.366615148014304	0.0845989511316203	0.135072454182693
AGPAT1	-0.976493652920829	0.0625663931976845	0.104185447703633
AGPAT3	-0.226446122287643	0.355161525200802	0.447652739332788
AGPAT4	1.07205076290661	2.0096367525646e-07	1.04706091312119e-06
AGPAT5	-1.59073943914793	0.000853091765450786	0.00227410921960788
AGPS	-1.53696235350603	2.61433025605662e-06	1.12489110619169e-05
AGRN	0.707442873469954	0.000567719789804855	0.00156975591231568
AGTPBP1	0.266837200365365	0.153331336384851	0.223608198894574
AHCTF1	-1.46354384866492	2.46824782834665e-12	2.59526475414474e-11
AHCYL1	-0.188648347908164	0.606603630992345	0.690649071479428
AHCYL2	0.485390509424068	0.0837493340921363	0.133885592247103
AHDC1	-1.16488363674781	0.00819645700072336	0.0174944141517416
AHI1	4.29077887807811	0	0
AHNAK	3.14174009943176	2.45359066397555e-10	1.96287253118044e-09
AHSA1	0.214885839131998	0.545346541786922	0.634279977832174
AIDA	-2.22639639740824	2.90903524602371e-07	1.47302789416873e-06
AIF1L	0.71321700381634	0.00027749944807054	0.000820452024799874
AIFM2	1.72519352881593	9.5482973408112e-05	0.000309940437511948
AIG1	-1.84122778013995	5.00966463867769e-08	2.92173078391118e-07
AIM2	-1.54472111018788	3.69555296488855e-05	0.000130736454911359
AIMP1	3.53474788694684	0	0
AIMP2	0.547741682516066	0.31064448878206	0.4006603966376
AK2	1.44848932945346	4.44089209850063e-15	6.45637389705091e-14
AK3	1.47815624020462	0.000275005281443086	0.00081381404766706
AK5	4.68380309025414	0	0
AK9	3.51984098679777	0	0
AKAP1	-1.07469100850392	0.00267615624203943	0.00642861844427703
AKAP10	-1.83597746240455	0.00128822033621123	0.00331820979276215
AKAP11	-1.50439022191009	0	0
AKAP12	0.872418544578108	0.00364193251107525	0.00848998143192381
AKAP13	-1.1617889242649	4.25960180616691e-06	1.76840140882053e-05
AKAP3	-0.416563680948885	0.26548251104575	0.352237238242519
AKAP5	-0.717192883693903	0.225151802578378	0.30769118356698
AKAP6	-0.980136376336218	9.75708402961573e-12	9.60462959165298e-11
AKAP7	0.177002385045734	0.570793121589956	0.658101150882858
AKAP8	-0.00845946097766423	0.978253767909047	0.986342822805068
AKAP9	0.0974443321696309	0.536836484476604	0.627277252340514
AKIRIN1	0.161063319030905	0.569649206258103	0.657287545682426
AKIRIN2	-0.874385929172997	0.184911502491475	0.261344355736689
AKNA	-0.482196019558798	0.0457400233395913	0.0795295714000253
AKT1	1.89379437656864	0	0
AKT2	1.8549399642254	0	0
AKT3	-0.0739214914540845	0.495794643108801	0.586941356389373
AKTIP	-2.44565961454536	1.14782812143943e-08	7.36636723096953e-08
ALAD	0.313468617396104	0.157255559578886	0.228395741823545
ALAS1	-0.0585427094324465	0.906110038706327	0.934895758726561
