Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA2	-0.639404914047754	0.00201538476028507	0.00764874939144332	0.302547362536021	0.14378563756794	0.211729532530898	1.06985567481738	1.29035915286124e-09	1.33084791209154e-08	48.2022939237862	3.06011474844436e-10	2.31344674982393e-06
2	ABCC2	-2.74702689063275	1.09404529879953e-09	1.61858756534725e-08	-1.04495299362067	0.0773810094513425	0.124973388475144	1.81615463172368	0.000467844867871658	0.00167071667506365	18.2685343521269	5.7306257113538e-06	0.0433235303778347
3	ABLIM3	-1.5949974942312	5.58483703727575e-09	7.35563902470464e-08	0.432535765135093	0.25005408872582	0.335178884887801	1.99624648417304	4.16380809675765e-06	2.33346102383157e-05	22.9427667690287	7.68271020121355e-07	0.00580812891211744
4	ABTB1	-1.74855864610615	2.70216217201913e-06	2.16631453027196e-05	0.683694650005609	0.11728976806601	0.178233295794782	2.30475384067778	2.81485945663462e-12	3.98696805907063e-11	32.1559850776488	2.7499248751932e-08	0.000207894320564606
5	ADAT2	-2.07940036566092	1.79277429721569e-05	0.000119623774818629	0.78899154758072	0.154248765703669	0.224729363792588	2.49092917322012	2.12052597703405e-13	3.38925504997408e-12	22.7145756561413	8.42541262928675e-07	0.00636961194774079
6	ADD3	-0.653441411277693	3.48757307122582e-06	2.73223341124013e-05	0.133813339143236	0.401178924500907	0.493101021454935	0.875594357564198	1.77635683940025e-15	3.49720252756924e-14	26.8968388348123	1.68450552678641e-07	0.00127348617825052
7	AGPAT3	-0.906843800413616	1.25521298501852e-05	8.68993605012819e-05	-0.226446122287643	0.355161525200802	0.447652739332788	0.547626855035309	0.00406961868730904	0.0116494953714715	25.7978171913227	2.53087858149683e-07	0.0019133442076116
8	AKAP3	-3.18339072396466	0	0	-0.416563680948885	0.26548251104575	0.352237238242519	3.03840413209951	0	0	71.5084623920676	2.43746375342766e-12	1.84272259759131e-08
9	ANKRD52	-0.895279912764578	8.54754098520427e-05	0.000476193145527961	-0.428504425121535	0.0849120038740421	0.135486439275593	0.466954837207951	0.00879236927993077	0.0227853905938605	26.3068490573149	2.09317749695422e-07	0.00158244218769739
10	AQP6	-2.36337904487338	3.09851100332992e-09	4.25904421548621e-08	0.634148678892918	0.224690652925222	0.3072144584869	2.74828955398325	0	0	25.1295615327949	3.25902897057691e-07	0.00246382590175614
