Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	AARS	0.928091701099513	1.57982053972106e-06	1.33148754518296e-05	1.3231160804771	1.88374071896646e-09	1.3550028387618e-08	0.559020168922713	0.0548764284893104	0.106896624421331	18.1413916928203	6.07568208427614e-06	0.0459321565571276
2	ABCF2	1.60885980945692	7.91834375846179e-09	1.02680409629453e-07	0.946845541741777	7.70386448629701e-05	0.000255331940010545	-0.518331500277194	0.106678255286765	0.183292638629077	28.3783361647263	9.89154155745888e-08	0.000747800541743891
3	ACSL6	1.42269212221186	5.07505149016652e-12	1.07471678615291e-10	1.01251182774996	0.00045644931010913	0.00128424145307965	-0.355751319306712	0.24353523226673	0.354813327411155	36.8003233113145	6.5061418947569e-09	4.91864327243621e-05
4	ADAM19	2.69258479003576	4.11884550910457e-08	4.68247699982415e-07	2.60657347431544	1.09191784436469e-06	4.97582815153528e-06	-0.353611399405964	0.60025991804523	0.703887851779423	21.145717055916	1.61354599120241e-06	0.0121984076934903
5	AIMP1	3.12673564104543	0	0	3.53474788694684	0	0	0.0726446787546034	0.896684074489769	0.931683837705147	83.6025210657586	3.24211511489275e-13	2.45103902685892e-09
6	AK2	1.39015038192569	5.76146463870941e-10	8.92554767800065e-09	1.44848932945346	4.44089209850063e-15	6.45637389705091e-14	0.0284171285722776	0.876661621912537	0.916575910760331	44.7530291022078	7.25218046552929e-10	5.48264843194014e-06
7	AKT1	2.08796050806665	0	0	1.89379437656864	0	0	0.11028253304649	0.720529685392062	0.801530962560916	43.1925834210944	1.08918416849739e-09	8.23423231384028e-06
8	AMPD3	2.25575158707803	0	0	1.96947507137224	1.02606811935857e-12	1.14411135432902e-11	-0.315977861154562	0.537392365440611	0.648369978093045	38.3872046113875	4.09367787270883e-09	3.09482047176788e-05
9	ANAPC16	1.21497250332408	6.32498232746581e-05	0.000365572373055363	1.27295215698318	0.000105551915591473	0.000338267266583949	0.0805122401168053	0.859661087698113	0.906926852218494	18.0940222168247	6.20983760118434e-06	0.0469463722649536
10	ANKRD6	1.48057969360097	0.000179012062692996	0.000918758448037372	1.22080094732871	0.00385991975151145	0.0089308793647117	0.000305725790524414	0.999320552174955	0.999452754920315	25.2774524053563	3.08056186220107e-07	0.00232890476782401
11	AP3B1	1.54363709932104	5.28466159721575e-14	1.53072956609008e-12	1.21616392971917	5.57337509476952e-09	3.7755121609729e-08	-0.19473431657448	0.53920820002084	0.649731270665852	65.7243227932678	7.0795684550635e-12	5.352153752028e-08
12	APP	1.45801790199824	0	0	1.53571418825995	8.88178419700125e-16	1.37594853543708e-14	0.139865231167826	0.403300946989675	0.524506306423868	90.7053562931159	1.10884746538829e-13	8.38288683833545e-10
13	ARHGAP10	2.06209234579097	7.31437685974612e-08	7.92216175640124e-07	1.28464815545425	0.00014686393968244	0.000458230038794572	-0.939411318956885	0.116614146575627	0.197182497900188	45.4721595560746	6.03395227938336e-10	4.56166792321382e-06
