Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA7	-0.374151641913816	0.470037163191432	0.603307462432467	-3.07670002413825	2.07706740695812e-09	1.48699143907229e-08	-2.49437092598483	2.97764590762029e-08	2.4656082214249e-07	43.1942945223689	1.08869210510429e-09	8.23051231458841e-06
2	ABCA8	0.117976125303195	0.515002071858972	0.646961725366206	-1.04906930469257	1.86702674209727e-07	9.85664956023417e-07	-1.2712890029343	0	0	39.4346037527378	3.03758458026449e-09	2.29641394267996e-05
3	ABCD3	0.466745202164404	0.0982773147613474	0.185558566332614	-1.66309248368615	4.30589983890783e-07	2.11517886823543e-06	-2.18600384794311	4.82081041752735e-12	6.65060707235526e-11	25.491119545992	2.8408593553847e-07	0.00214768967267083
4	ACSM5	0.398400180540099	0.327820958700678	0.465326032252558	-5.5051112907651	0	0	-5.71992175253591	0	0	89.1945551555914	1.38457930061609e-13	1.04674195126577e-09
5	ADCY10	-0.406607531594748	0.251277235100412	0.382147635759227	-4.4126205654296	0	0	-4.20825579756626	0	0	110.258871088313	8.07778992435938e-15	6.10680918281569e-11
6	ADORA1	-0.0514318414714659	0.857384623098094	0.910496407355317	-1.11655533995417	0.000207280903928631	0.000629334792650782	-0.891284008371012	4.66293670342566e-13	7.28343005741694e-12	39.8306882965051	2.71748524212251e-09	2.05441884304462e-05
7	AHCTF1	-0.0298130310596631	0.902330086250672	0.942993565393293	-1.46354384866492	2.46824782834665e-12	2.59526475414474e-11	-1.26491856399303	0	0	27.7274577467824	1.24699884080355e-07	0.000942731123647483
8	AIG1	-0.404394655718392	0.157969239534762	0.267888616169315	-1.84122778013995	5.00966463867769e-08	2.92173078391118e-07	-1.50782245075889	1.72282188515283e-10	1.97640871802054e-09	23.2383650449664	6.82262290269319e-07	0.00515790291443606
9	ALDH3B1	0.477508748130341	0.185038998741782	0.302819375389654	-2.63074202855994	1.75068848307092e-11	1.65027492917907e-10	-3.12393857318864	0	0	52.7663107321277	1.04698776546945e-10	7.91522750694901e-07
10	ALPK3	0.132022784271748	0.777817400272202	0.851476910810577	-4.30078344208884	0	0	-3.9368698690448	0	0	53.0257211932827	9.87211691833237e-11	7.46332039025927e-07
11	AMER2	-0.415349645181109	0.0896913064180602	0.172935677960288	-1.49299422064301	1.22568621918617e-13	1.53160129207396e-12	-0.972860149990989	4.01021846840877e-08	3.25641800442216e-07	33.7017470088503	1.67665306240479e-08	0.000126754971517802
12	AMOTL1	-0.728377400440532	0.0967051671561501	0.183368714246425	-3.19563466857334	1.30033761536197e-11	1.25229966524032e-10	-2.02854711591471	1.50711545465754e-08	1.31416295700242e-07	25.1775996136488	3.19988156113053e-07	0.00241911046021468
13	APBB1	-0.20165772079825	0.302992699286693	0.438648948028992	-1.13787663176863	5.41191056635526e-07	2.59771707185052e-06	-0.978772564135626	8.31462966921492e-07	5.32248944108932e-06	46.5874129093362	4.55602483242871e-10	3.44435477331611e-06
14	ARFGAP2	-0.257733544478317	0.119613850211355	0.217427436306286	-1.12299851858852	1.09283915250558e-10	9.07897142081555e-10	-0.793832534221617	1.12009020281079e-07	8.43414535184218e-07	91.6113474771515	9.72056117268476e-14	7.34874424654968e-10
15	ARHGAP23	-0.209534659643346	0.102973997452819	0.192837111900746	-0.863513221917356	9.24620380260421e-11	7.78410921466457e-10	-0.714461767688596	0.000117034706145436	0.000481383230935525	106.859252481637	1.23529501036136e-14	9.33883027833185e-11
16	ARID5B	-0.0525860290307711	0.775744230464455	0.849452110638123	-1.16380238518235	4.26432400502108e-09	2.9307535889054e-08	-0.926057966821258	1.61024749090188e-10	1.85854519560584e-09	19.1141619082154	3.90577390744273e-06	0.029527650740267
