Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac
A2M	0.957069172259629	0.36824020777649	0.487718285001798
AAAS	1.41242935740971	3.28159721618704e-12	4.60275973179481e-11
AACS	-0.514912569830184	0.214016338328771	0.321470994986193
AADAT	1.91283529149185	1.02534622747896e-05	5.31661006840944e-05
AAK1	-0.505943416986229	0.00887261043245302	0.0229715530374469
AAR2	0.0745598636682896	0.816598649599485	0.877073394137701
AARS	0.559020168922713	0.0548764284893104	0.106896624421331
AARS2	0.361065990128583	0.366253953585565	0.485853639078237
AASDH	-0.381633874724104	0.303442967141464	0.420768311003205
AASDHPPT	0.0498022565896026	0.866873026942877	0.910469586508496
AASS	0.971805669602551	1.00951508041902e-07	7.6472284648976e-07
AATF	-1.34323192664533	0.00906906010321196	0.0234092682595415
AATK	0.123934381575799	0.671846547035081	0.762064500462897
ABAT	0.324942932493964	0.254842579524863	0.367458451181762
ABCA1	-0.752144267526705	0.0314469006686071	0.0671767643556569
ABCA10	6.47690071017371	0	0
ABCA2	1.06985567481738	1.29035915286124e-09	1.33084791209154e-08
ABCA3	0.528413712699017	0.167020101348434	0.263550817406421
ABCA5	1.58913548478953	1.77857040206675e-09	1.80725702145492e-08
ABCA7	-2.49437092598483	2.97764590762029e-08	2.4656082214249e-07
ABCA8	-1.2712890029343	0	0
ABCA9	4.31508450144864	2.64899213675562e-13	4.1984026318391e-12
ABCB6	0.617008846461607	0.223731244251302	0.332504701673134
ABCB9	0.893005612240609	0.00232212825591116	0.00710310298547745
ABCC1	1.13068461913551	0.000155013760562817	0.000623684954685946
ABCC10	-0.00829078025339178	0.958842859395684	0.973284026708074
ABCC2	1.81615463172368	0.000467844867871658	0.00167071667506365
ABCC4	-1.06747734672692	0.0431821404751609	0.08726463031067
ABCC5	-0.713854493915755	7.718133236434e-05	0.00033002877413711
ABCC8	-0.401259302459474	0.225076910573226	0.33423324375046
ABCD2	0.0831231028293082	0.683465448038931	0.772346604958792
ABCD3	-2.18600384794311	4.82081041752735e-12	6.65060707235526e-11
ABCD4	-2.64912528274654	0	0
ABCE1	0.748351528406872	0.0280586867892509	0.0610603546709088
ABCF1	0.148367253857787	0.718338984119236	0.800153634881601
ABCF2	-0.518331500277194	0.106678255286765	0.183292638629077
ABCF3	-0.0790518344802655	0.788414833651329	0.855766854616518
ABHD10	0.194726828009555	0.711053346758485	0.794144379006374
ABHD11	-0.863465652505999	0.0653444434378954	0.123500998097622
ABHD12	-0.0139319443396973	0.968256912211966	0.979302886221841
ABHD13	0.466644469178732	0.231367773726711	0.341162545226045
ABHD14B	-0.994619379550258	0.0562716633562039	0.109220481379436
ABHD15	-0.100739636772277	0.80581622040304	0.869030257332197
ABHD16A	-1.21841117680134	0.000353206532601069	0.00129372160196903
ABHD17A	-1.49808004852606	2.24527328729351e-07	1.60741155794877e-06
ABHD17B	-0.0678477749231435	0.873353592939333	0.914354405570053
ABHD2	-1.00458573764478	3.06905898661558e-05	0.00014339978948587
ABHD4	-1.41432227953376	0.000368795900040686	0.00134690676536598
ABHD6	-0.331011473482957	0.0648101477674068	0.122613793073472
ABI1	-0.260346124046425	0.555620458750098	0.665687903034982
ABI2	0.207569064620878	0.218258225202852	0.326609695671726
ABL1	1.27026163131633	6.57813312709976e-08	5.1695100250389e-07
ABL2	-0.141239377185474	0.442847024900981	0.562963687898756
ABLIM1	2.27629158637272	9.89193233991159e-08	7.5299428157549e-07
ABLIM2	-0.670525725799532	0.0499857595652196	0.0988470683528799
ABLIM3	1.99624648417304	4.16380809675765e-06	2.33346102383157e-05
ABR	0.1743141530215	0.762274435687402	0.835672090167744
ABTB1	2.30475384067778	2.81485945663462e-12	3.98696805907063e-11
ACAA1	2.2006569788592	5.46910516874277e-10	5.92355803376724e-09
ACACA	0.123022478798131	0.415243793320963	0.535524237036246
ACACB	-1.28353750326173	2.22044604925031e-16	4.75540287034911e-15
ACAD8	0.591371077865467	0.0202591769607772	0.0461323427179143
ACAD9	2.38810691075475	9.82685935049243e-05	0.000409768652452966
ACADSB	-0.537828913704599	0.0953790508948813	0.16757276894383
ACADVL	0.711345931419396	0.00034811678132729	0.00127755478972539
ACAP2	-0.105241589933227	0.736878178116657	0.814087246319147
ACAP3	0.749017108740684	0.000311691528064761	0.00115622568801256
ACAT1	0.788682308725512	0.00318375225332623	0.00933637200742681
ACAT2	0.0594416609022568	0.891119171587582	0.927048429503525
ACBD3	-0.820328406800881	0.0201473165660644	0.0459357536267929
ACBD5	-0.861588170595495	0.166152677424289	0.262346332775192
ACBD6	0.74924488495991	0.0298742063286304	0.0643627813748776
ACD	-0.515274531398702	0.353592171086419	0.474300357241542
ACER2	-0.0650238629234216	0.883391954331887	0.921423858712605
ACER3	0.327300484057342	0.150973714775502	0.242791168624292
ACIN1	-0.221958959048486	0.219208665978956	0.327772451503345
ACLY	-0.568747420472431	0.200519556779854	0.30544586928384
ACO1	-0.0618313380160155	0.754994279322613	0.829495240761365
ACO2	0.730398188059881	0.0138375279126575	0.0336083766179366
ACOT11	2.20223716566016	0.00131687547293691	0.00427645127809408
ACOT8	-0.262700853787471	0.504439474471026	0.619071075148871
ACOX1	1.86431828570926	2.20398324479731e-07	1.58290257223967e-06
ACOX3	-0.0435360326371665	0.91511046927212	0.944999496624206
ACP2	0.685955266316205	0.069986691424561	0.13009574309557
ACP6	-1.82734176474244	1.33158280024581e-06	8.1910219445552e-06
ACRBP	4.33446861317967	0	0
ACSBG1	1.12351828540953	0.0423126650362169	0.0858978914269065
ACSF2	-1.3779912078228	0.000245969066145824	0.000939629176383237
ACSF3	1.06289490508836	4.53641861364318e-06	2.52171505287812e-05
ACSL1	0.0657387206859194	0.787727780412878	0.855389546096144
ACSL3	-0.0955565323969868	0.677886386039821	0.76741855023376
ACSL6	-0.355751319306712	0.24353523226673	0.354813327411155
ACSM5	-5.71992175253591	0	0
ACSS1	0.909825906807201	0.00256790421055975	0.00774675013241488
ACSS2	-0.0320045965061288	0.859556119707688	0.906926852218494
ACTB	1.14430514127366	0.00028145069734653	0.00105806428241659
ACTG1	0.535643793347806	0.0425834432554324	0.0863316790053819
ACTN1	0.403432108223826	0.542680223198419	0.652874361454495
ACTN2	5.46486819778026	0	0
ACTN4	-0.531276007237548	8.00239054277174e-05	0.000341026338801321
ACTR1A	0.0846577331212186	0.774738667256943	0.845790681392185
ACTR1B	0.053651954048572	0.863198120385616	0.908250214351463
ACTR2	0.024372324165393	0.955167529646457	0.971226163298886
ACTR3B	-0.0151123878843905	0.963963623721388	0.97636186968565
ACTR5	-1.44622798863468	0.000603181223480354	0.00211113428218124
ACTR8	0.486872766481125	0.295017322103663	0.412184615617019
ACVR1	-0.179844354453071	0.613406469553625	0.715359531693797
ACVR1B	0.117353672647919	0.746123403086002	0.822258444217227
ACVR1C	-0.849311621783348	0.00422226828654226	0.0120227300362559
ACVR2A	-0.876937830533344	0.000169077840077803	0.000673815746435523
ACVR2B	-0.594355766062381	0.00322460135574709	0.00944151287740047
ACY1	-0.00651482034145005	0.985831821662389	0.99106939247945
ADA	-2.79167267971348	3.73820085997068e-10	4.11668079537850e-09
ADAL	-0.747767905205852	0.109096832446062	0.186431295952131
ADAM10	0.719293032964686	9.33408905723354e-12	1.24674405075416e-10
ADAM11	-0.129785583768133	0.826264048263138	0.884405522422387
ADAM12	0.115278626927584	0.828599428267575	0.885901807057399
ADAM15	0.133377135696564	0.729083281373649	0.808192024513898
ADAM17	-0.390060357743676	0.00485730378630156	0.0135452661838583
ADAM19	-0.353611399405964	0.60025991804523	0.703887851779423
ADAM22	0.108828549984374	0.710816116538917	0.79399672592113
ADAM23	-0.463943977559783	0.305143067845432	0.422273767693843
ADAM8	-1.73087064815785	2.40481150770577e-07	1.703877694307e-06
ADAM9	-1.70621841227078	1.52866560965137e-07	1.12419377519108e-06
ADAMTS13	3.02751199270197	1.35447209004269e-13	2.21640887461531e-12
ADAMTS14	5.97532457017708	0	0
ADAMTS4	-1.17025354694214	1.92512672470002e-13	3.10318934727765e-12
ADAMTS9	2.00675567232694	0.0245825780191518	0.0546922571585601
ADAMTSL3	-1.62018323312651	0.00906954321854458	0.0234092682595415
ADAP1	-0.78236549920923	0.0166362121252659	0.0392662390468343
ADAP2	2.19213722417902	2.07887700676146e-06	1.23361932269361e-05
ADAR	0.0791259468377334	0.568049495425109	0.676718276932529
ADARB1	-1.24757008955027	4.82686673031196e-06	2.66196734438957e-05
ADARB2	1.98899476590254	0.000538657840571721	0.00190470218649308
ADAT1	0.377695703376052	0.0433393686369512	0.0875121866707669
ADAT2	2.49092917322012	2.12052597703405e-13	3.38925504997408e-12
ADCK1	1.46774898489631	2.09089599634282e-07	1.50688024140627e-06
ADCK2	-0.0368476766559321	0.928580797134809	0.953554852803471
ADCY1	0.512370941772979	0.21468767843055	0.32222331723942
ADCY10	-4.20825579756626	0	0
ADCY2	2.44739517266291	2.58913970263563e-08	2.16286145325143e-07
ADCY3	2.32300613039499	2.61282728786227e-09	2.57535518855786e-08
ADCY5	-0.779976800353967	7.89329314798692e-06	4.18466312754426e-05
ADCY6	0.222141173156505	0.343275059076162	0.463421329752819
ADCY8	0.379904489175066	0.258963519355017	0.37241091997792
ADCY9	0.53660052897969	0.0125250822398333	0.0308837644269862
ADCYAP1R1	-0.0938555945314621	0.817486250768849	0.877619434225006
ADD1	1.86985020422935	0	0
ADD2	-0.532852866905025	0.0434630587629061	0.0877150892278618
ADD3	0.875594357564198	1.77635683940025e-15	3.49720252756924e-14
ADH5	0.654893560212967	0.151475778400078	0.243391473901082
ADHFE1	2.73581243985911	1.62987515042179e-05	8.08520743910021e-05
ADI1	2.19429429843348	5.75539615965681e-13	8.87975407489908e-12
ADIPOR1	-1.66766446765586	1.21967791422151e-09	1.26583694966316e-08
ADIPOR2	-0.292836248349582	0.574139564103016	0.682360494359189
