Gene	Class
ABCA1	NeuN
ACAT1	NeuN
ACVR1C	NeuN
ADAMTS13	NeuN
ALG1	NeuN
ALKBH8	NeuN
ARHGAP32	NeuN
ARHGAP33	NeuN
ASB2	NeuN
ATG2B	NeuN
ATP13A1	NeuN
C16orf58	NeuN
C22orf39	NeuN
CACNG2	NeuN
CARHSP1	NeuN
CECR2	NeuN
CELF6	NeuN
CENPO	NeuN
CILP	NeuN
CLN3	NeuN
CNDP2	NeuN
COG4	NeuN
COG8	NeuN
COIL	NeuN
CREG2	NeuN
DCAF16	NeuN
DCT	NeuN
DDIT3	NeuN
DHFR	NeuN
DLEC1	NeuN
DRG2	NeuN
DUSP22	NeuN
DZIP1L	NeuN
ECM1	NeuN
EFCAB11	NeuN
EYS	NeuN
FAHD1	NeuN
FAM83H	NeuN
FARS2	NeuN
FOPNL	NeuN
FREM1	NeuN
GANC	NeuN
GRN	NeuN
HAUS5	NeuN
HIP1R	NeuN
HPS4	NeuN
HYPK	NeuN
INHA	NeuN
ITGA2B	NeuN
ITGA8	NeuN
KANK1	NeuN
KCNQ5	NeuN
LMF1	NeuN
LRIG2	NeuN
LRRN1	NeuN
LSAMP	NeuN
LUZP1	NeuN
MLYCD	NeuN
MR1	NeuN
MRPS18C	NeuN
MVK	NeuN
NDUFAF5	NeuN
NDUFB1	NeuN
NFRKB	NeuN
NNAT	NeuN
NOD1	NeuN
NOL6	NeuN
NSUN3	NeuN
NYNRIN	NeuN
PALMD	NeuN
PCDH15	NeuN
PDE7A	NeuN
PDK1	NeuN
PEX13	NeuN
PHC1	NeuN
PIEZO1	NeuN
PITPNM1	NeuN
PIWIL2	NeuN
PLA2G4B	NeuN
PLIN2	NeuN
PLXNA2	NeuN
PRMT2	NeuN
PRRT2	NeuN
PSME2	NeuN
PTGDR2	NeuN
PTGR2	NeuN
PWP1	NeuN
RAB1B	NeuN
RASA4B	NeuN
RASIP1	NeuN
RASSF7	NeuN
RCN2	NeuN
RHOU	NeuN
RNF10	NeuN
RPP25	NeuN
RSPO1	NeuN
SCN9A	NeuN
SDAD1	NeuN
SEC31B	NeuN
SERINC3	NeuN
SHD	NeuN
SIRPG	NeuN
SLC11A2	NeuN
SLC5A6	NeuN
SLCO4A1	NeuN
SLITRK5	NeuN
SNED1	NeuN
SPAG17	NeuN
SRF	NeuN
ST6GALNAC3	NeuN
SUSD4	NeuN
TAX1BP1	NeuN
THOC7	NeuN
THSD4	NeuN
TIMM9	NeuN
TMEM214	NeuN
TNNT3	NeuN
TNS3	NeuN
TONSL	NeuN
TRIM52	NeuN
TRMT10C	NeuN
TRMT6	NeuN
TRPT1	NeuN
TTC21B	NeuN
USP20	NeuN
VWA5B2	NeuN
ZBTB24	NeuN
ZDHHC1	NeuN
ZNF180	NeuN
ZNF251	NeuN
ZNF324	NeuN
ZNF326	NeuN
ZNF415	NeuN
ZNF441	NeuN
ZNF446	NeuN
ZNF646	NeuN
ZNF732	NeuN
ZNF792	NeuN
ZNF839	NeuN
ZNF843	NeuN
ZSCAN25	NeuN
ACSL6	NeuN
ACTN1	NeuN
ADAM17	NeuN
ADAMTSL3	NeuN
ADCY5	NeuN
AIG1	NeuN
AK2	NeuN
AKT3	NeuN
ANP32E	NeuN
AP3B1	NeuN
ARMC9	NeuN
ASAP2	NeuN
ATG10	NeuN
BLOC1S6	NeuN
BRWD1	NeuN
BSDC1	NeuN
C1orf35	NeuN
CAMK4	NeuN
CAP2	NeuN
CAST	NeuN
CCBE1	NeuN
CCDC151	NeuN
CDC73	NeuN
CDK18	NeuN
CENPJ	NeuN
CEP85	NeuN
CHCHD6	NeuN
CHD1	NeuN
CLNS1A	NeuN
CLU	NeuN
CNOT7	NeuN
COL12A1	NeuN
COL4A3	NeuN
COMT	NeuN
CRABP2	NeuN
CTBP1	NeuN
CWF19L2	NeuN
DGCR6	NeuN
DNAH2	NeuN
DXO	NeuN
EVI5L	NeuN
FAM120B	NeuN
FAM198B	NeuN
FAN1	NeuN
FBXO9	NeuN
FILIP1L	NeuN
FLNB	NeuN
FRMD8	NeuN
GAB1	NeuN
GABRG1	NeuN
GATAD1	NeuN
GCA	NeuN
GNPTAB	NeuN
GPR155	NeuN
HEATR3	NeuN
HHATL	NeuN
IFT74	NeuN
