Gene	Class
ABCA1	PanTro_UpReg
ACAT1	PanTro_UpReg
ACVR1C	PanTro_UpReg
ADAMTS13	PanTro_UpReg
ALG1	PanTro_UpReg
ALKBH8	PanTro_UpReg
ARHGAP32	PanTro_UpReg
ARHGAP33	PanTro_UpReg
ASB2	PanTro_UpReg
ATG2B	PanTro_UpReg
ATP13A1	PanTro_UpReg
C16orf58	PanTro_UpReg
C22orf39	PanTro_UpReg
CACNG2	PanTro_UpReg
CARHSP1	PanTro_UpReg
CECR2	PanTro_UpReg
CELF6	PanTro_UpReg
CENPO	PanTro_UpReg
CILP	PanTro_UpReg
CLN3	PanTro_UpReg
CNDP2	PanTro_UpReg
COG4	PanTro_UpReg
COG8	PanTro_UpReg
COIL	PanTro_UpReg
CREG2	PanTro_UpReg
DCAF16	PanTro_UpReg
DCT	PanTro_UpReg
DDIT3	PanTro_UpReg
DHFR	PanTro_UpReg
DLEC1	PanTro_UpReg
DRG2	PanTro_UpReg
DUSP22	PanTro_UpReg
DZIP1L	PanTro_UpReg
ECM1	PanTro_UpReg
EFCAB11	PanTro_UpReg
EYS	PanTro_UpReg
FAHD1	PanTro_UpReg
FAM83H	PanTro_UpReg
FARS2	PanTro_UpReg
FOPNL	PanTro_UpReg
FREM1	PanTro_UpReg
GANC	PanTro_UpReg
GRN	PanTro_UpReg
HAUS5	PanTro_UpReg
HIP1R	PanTro_UpReg
HPS4	PanTro_UpReg
HYPK	PanTro_UpReg
INHA	PanTro_UpReg
ITGA2B	PanTro_UpReg
ITGA8	PanTro_UpReg
KANK1	PanTro_UpReg
KCNQ5	PanTro_UpReg
LMF1	PanTro_UpReg
LRIG2	PanTro_UpReg
LRRN1	PanTro_UpReg
LSAMP	PanTro_UpReg
LUZP1	PanTro_UpReg
MLYCD	PanTro_UpReg
MR1	PanTro_UpReg
MRPS18C	PanTro_UpReg
MVK	PanTro_UpReg
NDUFAF5	PanTro_UpReg
NDUFB1	PanTro_UpReg
NFRKB	PanTro_UpReg
NNAT	PanTro_UpReg
NOD1	PanTro_UpReg
NOL6	PanTro_UpReg
NSUN3	PanTro_UpReg
NYNRIN	PanTro_UpReg
PALMD	PanTro_UpReg
PCDH15	PanTro_UpReg
PDE7A	PanTro_UpReg
PDK1	PanTro_UpReg
PEX13	PanTro_UpReg
PHC1	PanTro_UpReg
PIEZO1	PanTro_UpReg
PITPNM1	PanTro_UpReg
PIWIL2	PanTro_UpReg
PLA2G4B	PanTro_UpReg
PLIN2	PanTro_UpReg
PLXNA2	PanTro_UpReg
PRMT2	PanTro_UpReg
PRRT2	PanTro_UpReg
PSME2	PanTro_UpReg
PTGDR2	PanTro_UpReg
PTGR2	PanTro_UpReg
PWP1	PanTro_UpReg
RAB1B	PanTro_UpReg
RASA4B	PanTro_UpReg
RASIP1	PanTro_UpReg
RASSF7	PanTro_UpReg
RCN2	PanTro_UpReg
RHOU	PanTro_UpReg
RNF10	PanTro_UpReg
RPP25	PanTro_UpReg
RSPO1	PanTro_UpReg
SCN9A	PanTro_UpReg
SDAD1	PanTro_UpReg
SEC31B	PanTro_UpReg
SERINC3	PanTro_UpReg
SHD	PanTro_UpReg
SIRPG	PanTro_UpReg
SLC11A2	PanTro_UpReg
SLC5A6	PanTro_UpReg
SLCO4A1	PanTro_UpReg
SLITRK5	PanTro_UpReg
SNED1	PanTro_UpReg
SPAG17	PanTro_UpReg
SRF	PanTro_UpReg
ST6GALNAC3	PanTro_UpReg
SUSD4	PanTro_UpReg
TAX1BP1	PanTro_UpReg
THOC7	PanTro_UpReg
THSD4	PanTro_UpReg
TIMM9	PanTro_UpReg
TMEM214	PanTro_UpReg
TNNT3	PanTro_UpReg
TNS3	PanTro_UpReg
TONSL	PanTro_UpReg
TRIM52	PanTro_UpReg
