Gene	Class
ABI2	Primate_Accel
ACAD9	Primate_Accel
ACADVL	Primate_Accel
ACOT11	Primate_Accel
ADAM20	Primate_Accel
AFAP1L2	Primate_Accel
AGO3	Primate_Accel
AGPAT4	Primate_Accel
AKT2	Primate_Accel
ALDH1L2	Primate_Accel
ALS2CL	Primate_Accel
ANXA7	Primate_Accel
ARHGAP18	Primate_Accel
ARHGEF12	Primate_Accel
ARMC2	Primate_Accel
ARPP19	Primate_Accel
ARRDC1	Primate_Accel
ART3	Primate_Accel
ASNS	Primate_Accel
ATF7IP2	Primate_Accel
ATP6V1A	Primate_Accel
BDH1	Primate_Accel
BMPER	Primate_Accel
BRICD5	Primate_Accel
C19orf57	Primate_Accel
CA13	Primate_Accel
CACNA1D	Primate_Accel
CACNA2D1	Primate_Accel
CACNA2D3	Primate_Accel
CAMK1D	Primate_Accel
CC2D1A	Primate_Accel
CCDC146	Primate_Accel
CCDC158	Primate_Accel
CCDC180	Primate_Accel
CCDC57	Primate_Accel
CCDC62	Primate_Accel
CCDC84	Primate_Accel
CCDC88A	Primate_Accel
CDK5RAP2	Primate_Accel
CDK5RAP3	Primate_Accel
CEP128	Primate_Accel
CEP290	Primate_Accel
CKAP2	Primate_Accel
CNTN3	Primate_Accel
COG1	Primate_Accel
COG5	Primate_Accel
COL16A1	Primate_Accel
COLQ	Primate_Accel
CPNE5	Primate_Accel
CPNE8	Primate_Accel
CRELD2	Primate_Accel
CSNK1E	Primate_Accel
CTIF	Primate_Accel
CTNNA1	Primate_Accel
CTNND1	Primate_Accel
CYFIP1	Primate_Accel
CYP4V2	Primate_Accel
CYTH1	Primate_Accel
DDX27	Primate_Accel
DHX34	Primate_Accel
DIAPH1	Primate_Accel
DMAP1	Primate_Accel
DMTF1	Primate_Accel
DNAH1	Primate_Accel
DNAH6	Primate_Accel
DNAJC10	Primate_Accel
DNAJC11	Primate_Accel
DNM1	Primate_Accel
DOCK4	Primate_Accel
DPP6	Primate_Accel
DPY19L2	Primate_Accel
EIF4G3	Primate_Accel
ELAVL3	Primate_Accel
EMC2	Primate_Accel
ENDOV	Primate_Accel
EPB41L3	Primate_Accel
EPB41L5	Primate_Accel
EPHB6	Primate_Accel
EXOSC10	Primate_Accel
FAM13A	Primate_Accel
FAM227A	Primate_Accel
FBN1	Primate_Accel
FBXL2	Primate_Accel
FEZ2	Primate_Accel
FLCN	Primate_Accel
FMNL2	Primate_Accel
FMNL3	Primate_Accel
GALNT16	Primate_Accel
GK5	Primate_Accel
GNPTG	Primate_Accel
GPT2	Primate_Accel
GRAMD4	Primate_Accel
GSDMB	Primate_Accel
HGS	Primate_Accel
HOMER2	Primate_Accel
HOOK2	Primate_Accel
ICA1	Primate_Accel
ICA1L	Primate_Accel
IGFL4	Primate_Accel
INCENP	Primate_Accel
IQCA1	Primate_Accel
ITGA9	Primate_Accel
JMY	Primate_Accel
KAT8	Primate_Accel
KATNAL2	Primate_Accel
KCNAB1	Primate_Accel
KIAA0556	Primate_Accel
KIF13A	Primate_Accel
KIF3A	Primate_Accel
KIF5C	Primate_Accel
KRI1	Primate_Accel
LRRC23	Primate_Accel
LRRC28	Primate_Accel
LRRC6	Primate_Accel
LRRFIP2	Primate_Accel
LRRK1	Primate_Accel
LTBP3	Primate_Accel
MAGI3	Primate_Accel
