Gene	Class
ABCC10	RheMac_UpReg
ABCG4	RheMac_UpReg
ABHD17A	RheMac_UpReg
ACAN	RheMac_UpReg
ACBD3	RheMac_UpReg
ACIN1	RheMac_UpReg
ACSF3	RheMac_UpReg
ACTR5	RheMac_UpReg
ADAM15	RheMac_UpReg
ADAMTS12	RheMac_UpReg
ADCY10	RheMac_UpReg
ADD2	RheMac_UpReg
ADNP	RheMac_UpReg
ADRA1A	RheMac_UpReg
AFTPH	RheMac_UpReg
AHCTF1	RheMac_UpReg
AHCYL1	RheMac_UpReg
ALDH6A1	RheMac_UpReg
ALDOC	RheMac_UpReg
ALK	RheMac_UpReg
ALKBH2	RheMac_UpReg
ALOXE3	RheMac_UpReg
ALS2	RheMac_UpReg
AMT	RheMac_UpReg
ANKRD40	RheMac_UpReg
ANP32B	RheMac_UpReg
APBB1IP	RheMac_UpReg
ARAP3	RheMac_UpReg
ARFGAP2	RheMac_UpReg
ARHGAP1	RheMac_UpReg
ARHGAP21	RheMac_UpReg
ARHGAP23	RheMac_UpReg
ARID5B	RheMac_UpReg
ARRB1	RheMac_UpReg
ASNSD1	RheMac_UpReg
ATP13A2	RheMac_UpReg
ATP6V0E1	RheMac_UpReg
ATP6V1F	RheMac_UpReg
BAG6	RheMac_UpReg
BAHD1	RheMac_UpReg
BCDIN3D	RheMac_UpReg
BCL7B	RheMac_UpReg
BLOC1S2	RheMac_UpReg
BMP1	RheMac_UpReg
BRAT1	RheMac_UpReg
BRPF1	RheMac_UpReg
BTAF1	RheMac_UpReg
BTBD9	RheMac_UpReg
BTN3A1	RheMac_UpReg
BTN3A3	RheMac_UpReg
C16orf96	RheMac_UpReg
C19orf44	RheMac_UpReg
C1QL2	RheMac_UpReg
C1QTNF2	RheMac_UpReg
C20orf96	RheMac_UpReg
C6orf89	RheMac_UpReg
CACNA1H	RheMac_UpReg
CACNB3	RheMac_UpReg
CAPN12	RheMac_UpReg
CASC1	RheMac_UpReg
CASKIN1	RheMac_UpReg
CCDC122	RheMac_UpReg
CCDC157	RheMac_UpReg
CCDC173	RheMac_UpReg
CCDC174	RheMac_UpReg
CCDC77	RheMac_UpReg
CCDC97	RheMac_UpReg
CCL27	RheMac_UpReg
CCND1	RheMac_UpReg
CCND2	RheMac_UpReg
CCNJL	RheMac_UpReg
CD163	RheMac_UpReg
CDH24	RheMac_UpReg
CDH8	RheMac_UpReg
CDIP1	RheMac_UpReg
CDK11B	RheMac_UpReg
CDON	RheMac_UpReg
CENPK	RheMac_UpReg
CEP104	RheMac_UpReg
CEP57L1	RheMac_UpReg
CEP70	RheMac_UpReg
CFLAR	RheMac_UpReg
CHRM4	RheMac_UpReg
CLP1	RheMac_UpReg
CNGA3	RheMac_UpReg
CNOT10	RheMac_UpReg
COG2	RheMac_UpReg
COMMD9	RheMac_UpReg
COQ6	RheMac_UpReg
CORO2A	RheMac_UpReg
CPD	RheMac_UpReg
CSPG5	RheMac_UpReg
CSPP1	RheMac_UpReg
CTDP1	RheMac_UpReg
CTSK	RheMac_UpReg
CUL7	RheMac_UpReg
DCHS1	RheMac_UpReg
DCP1A	RheMac_UpReg
DCUN1D2	RheMac_UpReg
DCXR	RheMac_UpReg
DGKG	RheMac_UpReg
DHODH	RheMac_UpReg
DHX57	RheMac_UpReg
DISP2	RheMac_UpReg
DMXL1	RheMac_UpReg
DNAJA3	RheMac_UpReg
DNAJC25	RheMac_UpReg
DQX1	RheMac_UpReg
DTX2	RheMac_UpReg
ECE2	RheMac_UpReg
ECI1	RheMac_UpReg
EFEMP1	RheMac_UpReg
EFEMP2	RheMac_UpReg
EFNA1	RheMac_UpReg
EI24	RheMac_UpReg
EIF2A	RheMac_UpReg
ELOVL1	RheMac_UpReg
ERLEC1	RheMac_UpReg
ESAM	RheMac_UpReg
EXT2	RheMac_UpReg
EZH2	RheMac_UpReg
F7	RheMac_UpReg
FAH	RheMac_UpReg
FAIM	RheMac_UpReg
FAM107A	RheMac_UpReg
FANCE	RheMac_UpReg
FANCM	RheMac_UpReg
FBF1	RheMac_UpReg
FBN2	RheMac_UpReg
FBXL18	RheMac_UpReg
FBXO21	RheMac_UpReg
FBXW7	RheMac_UpReg
FHOD1	RheMac_UpReg
FLRT1	RheMac_UpReg
FOXJ2	RheMac_UpReg
FYCO1	RheMac_UpReg
GALNT12	RheMac_UpReg
GALNT18	RheMac_UpReg
GCK	RheMac_UpReg
GHDC	RheMac_UpReg
GLE1	RheMac_UpReg
GNB3	RheMac_UpReg
GORASP1	RheMac_UpReg
GPR137	RheMac_UpReg
GPR61	RheMac_UpReg
GPR89A	RheMac_UpReg
GPS1	RheMac_UpReg
GRIN3A	RheMac_UpReg
GRINA	RheMac_UpReg
GRM3	RheMac_UpReg
GRM8	RheMac_UpReg
GZF1	RheMac_UpReg
HAS3	RheMac_UpReg
HCFC1R1	RheMac_UpReg
HEATR5B	RheMac_UpReg
HEATR6	RheMac_UpReg
HECTD2	RheMac_UpReg
HS3ST1	RheMac_UpReg
HSPA5	RheMac_UpReg
HSPBP1	RheMac_UpReg
IARS2	RheMac_UpReg
IDH3B	RheMac_UpReg
IFNAR1	RheMac_UpReg
IFNGR1	RheMac_UpReg
IFRD2	RheMac_UpReg
IGSF3	RheMac_UpReg
ILK	RheMac_UpReg
ILVBL	RheMac_UpReg
INA	RheMac_UpReg
INPPL1	RheMac_UpReg
ITFG2	RheMac_UpReg
ITGA10	RheMac_UpReg
KDM2A	RheMac_UpReg
KHK	RheMac_UpReg
KIAA0355	RheMac_UpReg
KIAA1328	RheMac_UpReg
KIAA1522	RheMac_UpReg
KIAA1549	RheMac_UpReg
KIF21A	RheMac_UpReg
KIFC3	RheMac_UpReg
KLF3	RheMac_UpReg
KLHDC8B	RheMac_UpReg
KLHL1	RheMac_UpReg
KLHL29	RheMac_UpReg
KLHL32	RheMac_UpReg
KPNA1	RheMac_UpReg
LAPTM4B	RheMac_UpReg
LIMD1	RheMac_UpReg
LRCH1	RheMac_UpReg
LRFN4	RheMac_UpReg
LRRC29	RheMac_UpReg
LRRCC1	RheMac_UpReg
