Gene	Class
ABCC8	Hsap_Spec_UpReg
ABHD12B	Hsap_Spec_UpReg
ABLIM1	Hsap_Spec_UpReg
ACBD6	Hsap_Spec_UpReg
AGFG2	Hsap_Spec_UpReg
AGTPBP1	Hsap_Spec_UpReg
AHI1	Hsap_Spec_UpReg
AK1	Hsap_Spec_UpReg
AK5	Hsap_Spec_UpReg
AK9	Hsap_Spec_UpReg
ALDH7A1	Hsap_Spec_UpReg
ALS2CR12	Hsap_Spec_UpReg
ANKRD26	Hsap_Spec_UpReg
ANKS1B	Hsap_Spec_UpReg
AP1S3	Hsap_Spec_UpReg
ARHGAP29	Hsap_Spec_UpReg
ARL1	Hsap_Spec_UpReg
ARRB2	Hsap_Spec_UpReg
ASAH1	Hsap_Spec_UpReg
ASGR1	Hsap_Spec_UpReg
ATF2	Hsap_Spec_UpReg
ATG4B	Hsap_Spec_UpReg
ATP6V1C1	Hsap_Spec_UpReg
BIN1	Hsap_Spec_UpReg
BTBD8	Hsap_Spec_UpReg
BZW2	Hsap_Spec_UpReg
C9orf72	Hsap_Spec_UpReg
CAPN2	Hsap_Spec_UpReg
CAPS2	Hsap_Spec_UpReg
CASC4	Hsap_Spec_UpReg
CBFA2T2	Hsap_Spec_UpReg
CCDC159	Hsap_Spec_UpReg
CCDC171	Hsap_Spec_UpReg
CCDC24	Hsap_Spec_UpReg
CCDC82	Hsap_Spec_UpReg
CCNYL1	Hsap_Spec_UpReg
CCT3	Hsap_Spec_UpReg
CD2AP	Hsap_Spec_UpReg
CDC42SE1	Hsap_Spec_UpReg
CDK17	Hsap_Spec_UpReg
CDK5RAP1	Hsap_Spec_UpReg
CELF2	Hsap_Spec_UpReg
CEP152	Hsap_Spec_UpReg
CEP89	Hsap_Spec_UpReg
CERS5	Hsap_Spec_UpReg
CLASRP	Hsap_Spec_UpReg
CLUL1	Hsap_Spec_UpReg
COBLL1	Hsap_Spec_UpReg
COL11A1	Hsap_Spec_UpReg
COLGALT1	Hsap_Spec_UpReg
CRIPT	Hsap_Spec_UpReg
CSAD	Hsap_Spec_UpReg
CTNND2	Hsap_Spec_UpReg
CUL4A	Hsap_Spec_UpReg
CWC27	Hsap_Spec_UpReg
DCAF6	Hsap_Spec_UpReg
DHDDS	Hsap_Spec_UpReg
DIP2B	Hsap_Spec_UpReg
DLG1	Hsap_Spec_UpReg
DLG4	Hsap_Spec_UpReg
DNMT1	Hsap_Spec_UpReg
DOCK3	Hsap_Spec_UpReg
DUSP11	Hsap_Spec_UpReg
DYNC1I1	Hsap_Spec_UpReg
EFHC1	Hsap_Spec_UpReg
ELL2	Hsap_Spec_UpReg
EPB41L1	Hsap_Spec_UpReg
EPB41L4B	Hsap_Spec_UpReg
ERC2	Hsap_Spec_UpReg
ERICH1	Hsap_Spec_UpReg
ESYT2	Hsap_Spec_UpReg
EXOSC9	Hsap_Spec_UpReg
FAF1	Hsap_Spec_UpReg
FAM71F2	Hsap_Spec_UpReg
FARP1	Hsap_Spec_UpReg
FBXO30	Hsap_Spec_UpReg
FCHSD2	Hsap_Spec_UpReg
FHAD1	Hsap_Spec_UpReg
FRK	Hsap_Spec_UpReg
FYTTD1	Hsap_Spec_UpReg
GAS8	Hsap_Spec_UpReg
GCFC2	Hsap_Spec_UpReg
GCLM	Hsap_Spec_UpReg
GLB1L3	Hsap_Spec_UpReg
GLCCI1	Hsap_Spec_UpReg
GOLGA4	Hsap_Spec_UpReg
GOLIM4	Hsap_Spec_UpReg
GOSR1	Hsap_Spec_UpReg
GRIN1	Hsap_Spec_UpReg
GSTM3	Hsap_Spec_UpReg
GSTO2	Hsap_Spec_UpReg
GULP1	Hsap_Spec_UpReg
H2AFY2	Hsap_Spec_UpReg
HSD17B4	Hsap_Spec_UpReg
HSPH1	Hsap_Spec_UpReg
HYDIN	Hsap_Spec_UpReg
IDH3A	Hsap_Spec_UpReg
IFT80	Hsap_Spec_UpReg
INVS	Hsap_Spec_UpReg
IPO5	Hsap_Spec_UpReg
ITCH	Hsap_Spec_UpReg
JAKMIP1	Hsap_Spec_UpReg
JAKMIP3	Hsap_Spec_UpReg
KIN	Hsap_Spec_UpReg
KNTC1	Hsap_Spec_UpReg
KRR1	Hsap_Spec_UpReg
LAMA2	Hsap_Spec_UpReg
LAMB1	Hsap_Spec_UpReg
LENG8	Hsap_Spec_UpReg
LMBRD2	Hsap_Spec_UpReg
LMO7	Hsap_Spec_UpReg
LONP2	Hsap_Spec_UpReg
LZTS3	Hsap_Spec_UpReg
MADD	Hsap_Spec_UpReg
MAGI2	Hsap_Spec_UpReg
MAP3K7	Hsap_Spec_UpReg
MAP4K5	Hsap_Spec_UpReg
MCCC2	Hsap_Spec_UpReg
ME3	Hsap_Spec_UpReg
MET	Hsap_Spec_UpReg
METTL5	Hsap_Spec_UpReg
MINK1	Hsap_Spec_UpReg
MOB1B	Hsap_Spec_UpReg
MORN1	Hsap_Spec_UpReg
MRPL19	Hsap_Spec_UpReg
MRPS16	Hsap_Spec_UpReg
MSRA	Hsap_Spec_UpReg
MYH10	Hsap_Spec_UpReg
NEK11	Hsap_Spec_UpReg
NIT2	Hsap_Spec_UpReg
NKTR	Hsap_Spec_UpReg
NLE1	Hsap_Spec_UpReg
NMT2	Hsap_Spec_UpReg
NR2C1	Hsap_Spec_UpReg
NSUN2	Hsap_Spec_UpReg
NUDT5	Hsap_Spec_UpReg
NUMB	Hsap_Spec_UpReg
NUP85	Hsap_Spec_UpReg
ORMDL3	Hsap_Spec_UpReg
PARN	Hsap_Spec_UpReg
PARP3	Hsap_Spec_UpReg
PDCD10	Hsap_Spec_UpReg
PDE4D	Hsap_Spec_UpReg
PDE4DIP	Hsap_Spec_UpReg
PFKFB2	Hsap_Spec_UpReg
PHF2	Hsap_Spec_UpReg
PHLPP2	Hsap_Spec_UpReg
PIP5K1B	Hsap_Spec_UpReg
PITHD1	Hsap_Spec_UpReg
PKD2L1	Hsap_Spec_UpReg
PKN2	Hsap_Spec_UpReg
PLD6	Hsap_Spec_UpReg
PLEKHA5	Hsap_Spec_UpReg
PLXDC2	Hsap_Spec_UpReg
PLXNA1	Hsap_Spec_UpReg
POC5	Hsap_Spec_UpReg
POLR3C	Hsap_Spec_UpReg
PPFIA2	Hsap_Spec_UpReg
PPFIBP1	Hsap_Spec_UpReg
PPM1K	Hsap_Spec_UpReg
PRKACB	Hsap_Spec_UpReg
PRKCI	Hsap_Spec_UpReg
PRKD1	Hsap_Spec_UpReg
PRKRA	Hsap_Spec_UpReg
PTPN4	Hsap_Spec_UpReg
PTPRF	Hsap_Spec_UpReg
PTPRS	Hsap_Spec_UpReg
PUS7L	Hsap_Spec_UpReg
PYCR2	Hsap_Spec_UpReg
RASA3	Hsap_Spec_UpReg
RBBP8	Hsap_Spec_UpReg
RBL2	Hsap_Spec_UpReg
RCBTB1	Hsap_Spec_UpReg
RFTN1	Hsap_Spec_UpReg
RGS7	Hsap_Spec_UpReg
RNF138	Hsap_Spec_UpReg
RNH1	Hsap_Spec_UpReg
RNPC3	Hsap_Spec_UpReg
ROCK2	Hsap_Spec_UpReg
RPGRIP1L	Hsap_Spec_UpReg
RPL38	Hsap_Spec_UpReg
RUFY3	Hsap_Spec_UpReg
S100PBP	Hsap_Spec_UpReg
SAP30	Hsap_Spec_UpReg
SCAPER	Hsap_Spec_UpReg
SCN3A	Hsap_Spec_UpReg
SEPT2	Hsap_Spec_UpReg
SERPINB9	Hsap_Spec_UpReg
SGK3	Hsap_Spec_UpReg
SLC12A1	Hsap_Spec_UpReg
SLC25A37	Hsap_Spec_UpReg
SLC2A11	Hsap_Spec_UpReg
SNAP91	Hsap_Spec_UpReg
SORCS3	Hsap_Spec_UpReg
SPCS3	Hsap_Spec_UpReg
SRRM4	Hsap_Spec_UpReg
STARD4	Hsap_Spec_UpReg
STK32A	Hsap_Spec_UpReg
STX16	Hsap_Spec_UpReg
STX18	Hsap_Spec_UpReg
STYXL1	Hsap_Spec_UpReg
SYCE1	Hsap_Spec_UpReg
TACC3	Hsap_Spec_UpReg
TAF1C	Hsap_Spec_UpReg
TARSL2	Hsap_Spec_UpReg
TMEM138	Hsap_Spec_UpReg
TMEM168	Hsap_Spec_UpReg
TMEM223	Hsap_Spec_UpReg
TMX3	Hsap_Spec_UpReg
TNFAIP8L1	Hsap_Spec_UpReg
TNIP1	Hsap_Spec_UpReg
TOR1AIP2	Hsap_Spec_UpReg
TPGS2	Hsap_Spec_UpReg
TRIM14	Hsap_Spec_UpReg
TRIM17	Hsap_Spec_UpReg
TRIM33	Hsap_Spec_UpReg
TVP23B	Hsap_Spec_UpReg
UBE2N	Hsap_Spec_UpReg
UBE2W	Hsap_Spec_UpReg
UBXN7	Hsap_Spec_UpReg
UCHL5	Hsap_Spec_UpReg
UNC119	Hsap_Spec_UpReg
USP4	Hsap_Spec_UpReg
USP49	Hsap_Spec_UpReg
UTRN	Hsap_Spec_UpReg
VAV2	Hsap_Spec_UpReg
VPS13A	Hsap_Spec_UpReg
VPS37A	Hsap_Spec_UpReg
VPS41	Hsap_Spec_UpReg
VWA3A	Hsap_Spec_UpReg
VWA7	Hsap_Spec_UpReg
WDR17	Hsap_Spec_UpReg
WDR60	Hsap_Spec_UpReg
WDR78	Hsap_Spec_UpReg
ZADH2	Hsap_Spec_UpReg
ZBTB37	Hsap_Spec_UpReg
ZC3H13	Hsap_Spec_UpReg
ZDHHC14	Hsap_Spec_UpReg
ZDHHC2	Hsap_Spec_UpReg
ZMAT3	Hsap_Spec_UpReg
ZNF514	Hsap_Spec_UpReg
ZNF667	Hsap_Spec_UpReg
ZNHIT3	Hsap_Spec_UpReg
ZNRF2	Hsap_Spec_UpReg
ACHE	Hsap_Spec_DownReg
ADCY9	Hsap_Spec_DownReg
AIDA	Hsap_Spec_DownReg
AKAP6	Hsap_Spec_DownReg
AMPD2	Hsap_Spec_DownReg
ANAPC1	Hsap_Spec_DownReg
ANKRD34A	Hsap_Spec_DownReg
APC	Hsap_Spec_DownReg
APH1A	Hsap_Spec_DownReg
AQR	Hsap_Spec_DownReg
ARC	Hsap_Spec_DownReg
ARF6	Hsap_Spec_DownReg
ARHGEF40	Hsap_Spec_DownReg
ATRN	Hsap_Spec_DownReg
BBS4	Hsap_Spec_DownReg
BCL9	Hsap_Spec_DownReg
BHLHE40	Hsap_Spec_DownReg
BRD2	Hsap_Spec_DownReg
BSN	Hsap_Spec_DownReg
BZW1	Hsap_Spec_DownReg
C1QL3	Hsap_Spec_DownReg
C2orf80	Hsap_Spec_DownReg
C3orf20	Hsap_Spec_DownReg
CCDC107	Hsap_Spec_DownReg
CCNDBP1	Hsap_Spec_DownReg
CCNF	Hsap_Spec_DownReg
CDH11	Hsap_Spec_DownReg
CDH26	Hsap_Spec_DownReg
CDK4	Hsap_Spec_DownReg
CELSR3	Hsap_Spec_DownReg
CEP170	Hsap_Spec_DownReg
CHGA	Hsap_Spec_DownReg
CHPF	Hsap_Spec_DownReg
CHRNA7	Hsap_Spec_DownReg
CLDN15	Hsap_Spec_DownReg
CNPPD1	Hsap_Spec_DownReg
CNTN6	Hsap_Spec_DownReg
COL4A1	Hsap_Spec_DownReg
COPA	Hsap_Spec_DownReg
CTSO	Hsap_Spec_DownReg
DCTN2	Hsap_Spec_DownReg
DHX58	Hsap_Spec_DownReg
ENPP2	Hsap_Spec_DownReg
EPN3	Hsap_Spec_DownReg
FAIM2	Hsap_Spec_DownReg
FAT1	Hsap_Spec_DownReg
FAT4	Hsap_Spec_DownReg
FOXO3	Hsap_Spec_DownReg
FRMPD2	Hsap_Spec_DownReg
GET4	Hsap_Spec_DownReg
GMPR2	Hsap_Spec_DownReg
GTF2IRD2B	Hsap_Spec_DownReg
GTPBP2	Hsap_Spec_DownReg
HECTD1	Hsap_Spec_DownReg
HEG1	Hsap_Spec_DownReg
HERPUD2	Hsap_Spec_DownReg
HIVEP1	Hsap_Spec_DownReg
HIVEP2	Hsap_Spec_DownReg
HMCN2	Hsap_Spec_DownReg
HTR6	Hsap_Spec_DownReg
IGF2R	Hsap_Spec_DownReg
IGFBP5	Hsap_Spec_DownReg
KCNC2	Hsap_Spec_DownReg
KEAP1	Hsap_Spec_DownReg
KIAA1217	Hsap_Spec_DownReg
KLC2	Hsap_Spec_DownReg
KMT2A	Hsap_Spec_DownReg
LAMB3	Hsap_Spec_DownReg
LGI3	Hsap_Spec_DownReg
LRRC41	Hsap_Spec_DownReg
LRRC66	Hsap_Spec_DownReg
LRRTM1	Hsap_Spec_DownReg
LRRTM3	Hsap_Spec_DownReg
MAF1	Hsap_Spec_DownReg
MAGEL2	Hsap_Spec_DownReg
MAP2	Hsap_Spec_DownReg
MAP4K2	Hsap_Spec_DownReg
MDGA2	Hsap_Spec_DownReg
METTL13	Hsap_Spec_DownReg
MMRN2	Hsap_Spec_DownReg
MTRF1L	Hsap_Spec_DownReg
MUS81	Hsap_Spec_DownReg
MUT	Hsap_Spec_DownReg
MYCBPAP	Hsap_Spec_DownReg
NLRX1	Hsap_Spec_DownReg
NR3C2	Hsap_Spec_DownReg
NSF	Hsap_Spec_DownReg
NUDT4	Hsap_Spec_DownReg
OAS3	Hsap_Spec_DownReg
OXA1L	Hsap_Spec_DownReg
PCLO	Hsap_Spec_DownReg
PLIN1	Hsap_Spec_DownReg
POGLUT1	Hsap_Spec_DownReg
POLR1B	Hsap_Spec_DownReg
POU6F1	Hsap_Spec_DownReg
PRPF19	Hsap_Spec_DownReg
RAI1	Hsap_Spec_DownReg
RASA4	Hsap_Spec_DownReg
RLF	Hsap_Spec_DownReg
RNF145	Hsap_Spec_DownReg
SACS	Hsap_Spec_DownReg
SCARF2	Hsap_Spec_DownReg
SCG2	Hsap_Spec_DownReg
SCUBE1	Hsap_Spec_DownReg
SEL1L3	Hsap_Spec_DownReg
SEMA4G	Hsap_Spec_DownReg
SERPINB1	Hsap_Spec_DownReg
SETBP1	Hsap_Spec_DownReg
SF3B4	Hsap_Spec_DownReg
SHMT2	Hsap_Spec_DownReg
SIK1	Hsap_Spec_DownReg
