Gene	Class
ABCA2	PanTro_UpReg
ABCC2	PanTro_UpReg
ABLIM3	PanTro_UpReg
ABTB1	PanTro_UpReg
ADAT2	PanTro_UpReg
ADD3	PanTro_UpReg
AGPAT3	PanTro_UpReg
AKAP3	PanTro_UpReg
ANKRD52	PanTro_UpReg
AQP6	PanTro_UpReg
ATMIN	PanTro_UpReg
BTBD11	PanTro_UpReg
C10orf90	PanTro_UpReg
C3orf20	PanTro_UpReg
CCS	PanTro_UpReg
CD300A	PanTro_UpReg
CILP	PanTro_UpReg
CNTNAP3	PanTro_UpReg
COL11A2	PanTro_UpReg
CRTC3	PanTro_UpReg
CTSO	PanTro_UpReg
CYBRD1	PanTro_UpReg
DAZAP1	PanTro_UpReg
DEF8	PanTro_UpReg
DNLZ	PanTro_UpReg
DRG2	PanTro_UpReg
DSEL	PanTro_UpReg
DUOXA1	PanTro_UpReg
DUSP28	PanTro_UpReg
ECM1	PanTro_UpReg
ELMSAN1	PanTro_UpReg
ERBB3	PanTro_UpReg
FAM131B	PanTro_UpReg
FAM206A	PanTro_UpReg
FBN1	PanTro_UpReg
FBXL7	PanTro_UpReg
FSTL5	PanTro_UpReg
FZD5	PanTro_UpReg
GPR89B	PanTro_UpReg
HBS1L	PanTro_UpReg
HECTD4	PanTro_UpReg
HEY2	PanTro_UpReg
HPS1	PanTro_UpReg
IVD	PanTro_UpReg
KANK1	PanTro_UpReg
KAZN	PanTro_UpReg
KIAA0930	PanTro_UpReg
KLHDC8A	PanTro_UpReg
LANCL2	PanTro_UpReg
LDB3	PanTro_UpReg
LIPA	PanTro_UpReg
LLGL1	PanTro_UpReg
MAPKBP1	PanTro_UpReg
MAU2	PanTro_UpReg
MFNG	PanTro_UpReg
MGAT4B	PanTro_UpReg
MOG	PanTro_UpReg
MYCBPAP	PanTro_UpReg
NCOA1	PanTro_UpReg
NELFA	PanTro_UpReg
NRP2	PanTro_UpReg
NSUN3	PanTro_UpReg
PARP8	PanTro_UpReg
PGBD2	PanTro_UpReg
PGM5	PanTro_UpReg
PRICKLE2	PanTro_UpReg
RASA4B	PanTro_UpReg
RGMB	PanTro_UpReg
RNASE1	PanTro_UpReg
RNF130	PanTro_UpReg
SAMD4B	PanTro_UpReg
SBF1	PanTro_UpReg
SCUBE2	PanTro_UpReg
SEMA3A	PanTro_UpReg
SERINC3	PanTro_UpReg
SHISA9	PanTro_UpReg
SLC6A20	PanTro_UpReg
SLFN5	PanTro_UpReg
SPNS1	PanTro_UpReg
STX16	PanTro_UpReg
SUGP2	PanTro_UpReg
TANGO2	PanTro_UpReg
TBC1D30	PanTro_UpReg
TDP1	PanTro_UpReg
TMEM231	PanTro_UpReg
TTLL11	PanTro_UpReg
TTYH1	PanTro_UpReg
TXLNB	PanTro_UpReg
TYSND1	PanTro_UpReg
UBR3	PanTro_UpReg
USP20	PanTro_UpReg
WDR6	PanTro_UpReg
WRNIP1	PanTro_UpReg
WWC2	PanTro_UpReg
XKR6	PanTro_UpReg
ZNF280D	PanTro_UpReg
ZNF619	PanTro_UpReg
ZNF784	PanTro_UpReg
ZNF839	PanTro_UpReg
AATF	PanTro_DownReg
ADAM8	PanTro_DownReg
ANK2	PanTro_DownReg
ANKRD24	PanTro_DownReg
APEH	PanTro_DownReg
BSDC1	PanTro_DownReg
C12orf29	PanTro_DownReg
CADM2	PanTro_DownReg
CCDC47	PanTro_DownReg
CNTLN	PanTro_DownReg
COL9A1	PanTro_DownReg
COL9A2	PanTro_DownReg
CRB2	PanTro_DownReg
DAAM1	PanTro_DownReg
DCP2	PanTro_DownReg
DENND2A	PanTro_DownReg
DIS3L2	PanTro_DownReg
DLL1	PanTro_DownReg
DROSHA	PanTro_DownReg
DXO	PanTro_DownReg
EBAG9	PanTro_DownReg
ELP2	PanTro_DownReg
ERC2	PanTro_DownReg
GON4L	PanTro_DownReg
HID1	PanTro_DownReg
ILDR2	PanTro_DownReg
KAT6B	PanTro_DownReg
KIAA1755	PanTro_DownReg
KIF13B	PanTro_DownReg
LONRF2	PanTro_DownReg
LRCH4	PanTro_DownReg
LRPAP1	PanTro_DownReg
MAGI2	PanTro_DownReg
MCCC1	PanTro_DownReg
MIA3	PanTro_DownReg
MORC3	PanTro_DownReg
MRAS	PanTro_DownReg
MYH14	PanTro_DownReg
NOM1	PanTro_DownReg
OGFRL1	PanTro_DownReg
POLM	PanTro_DownReg
RANBP1	PanTro_DownReg
RMDN2	PanTro_DownReg
RRP1B	PanTro_DownReg
SEPT7	PanTro_DownReg
SERINC1	PanTro_DownReg
SERPINE2	PanTro_DownReg
SH3RF1	PanTro_DownReg
SLC39A7	PanTro_DownReg
SNX29	PanTro_DownReg
SNX6	PanTro_DownReg
SPATS2L	PanTro_DownReg
SSR1	PanTro_DownReg
TK2	PanTro_DownReg
TNIK	PanTro_DownReg
TRAPPC10	PanTro_DownReg
USP22	PanTro_DownReg
UTP18	PanTro_DownReg
VSNL1	PanTro_DownReg
XRCC1	PanTro_DownReg
XRCC2	PanTro_DownReg
ZBTB11	PanTro_DownReg
ZDHHC14	PanTro_DownReg
ZFPM2	PanTro_DownReg
