Gene	Class
AARS	Hsap_Spec_UpReg
ABCF2	Hsap_Spec_UpReg
ACSL6	Hsap_Spec_UpReg
ADAM19	Hsap_Spec_UpReg
AK2	Hsap_Spec_UpReg
AKT1	Hsap_Spec_UpReg
AMPD3	Hsap_Spec_UpReg
ANKRD6	Hsap_Spec_UpReg
AP3B1	Hsap_Spec_UpReg
APP	Hsap_Spec_UpReg
ARHGAP10	Hsap_Spec_UpReg
ARHGEF12	Hsap_Spec_UpReg
ARHGEF26	Hsap_Spec_UpReg
ARID4A	Hsap_Spec_UpReg
ASCL1	Hsap_Spec_UpReg
ASPH	Hsap_Spec_UpReg
ATAD2B	Hsap_Spec_UpReg
ATP1B1	Hsap_Spec_UpReg
ATP2B4	Hsap_Spec_UpReg
ATP8A1	Hsap_Spec_UpReg
BAZ1B	Hsap_Spec_UpReg
BCAS1	Hsap_Spec_UpReg
BCAT1	Hsap_Spec_UpReg
BCL7A	Hsap_Spec_UpReg
BDH1	Hsap_Spec_UpReg
BEST1	Hsap_Spec_UpReg
BICD1	Hsap_Spec_UpReg
BLZF1	Hsap_Spec_UpReg
BRD8	Hsap_Spec_UpReg
C19orf18	Hsap_Spec_UpReg
C1orf35	Hsap_Spec_UpReg
C20orf96	Hsap_Spec_UpReg
C7orf55-LUC7L2	Hsap_Spec_UpReg
CADM3	Hsap_Spec_UpReg
CALCOCO2	Hsap_Spec_UpReg
CAMK1D	Hsap_Spec_UpReg
CAMK2G	Hsap_Spec_UpReg
CCDC136	Hsap_Spec_UpReg
CCDC174	Hsap_Spec_UpReg
CCDC30	Hsap_Spec_UpReg
CCDC62	Hsap_Spec_UpReg
CCDC91	Hsap_Spec_UpReg
CCSAP	Hsap_Spec_UpReg
CDC40	Hsap_Spec_UpReg
CDC5L	Hsap_Spec_UpReg
CDC73	Hsap_Spec_UpReg
CDK11A	Hsap_Spec_UpReg
CDK5RAP2	Hsap_Spec_UpReg
CES2	Hsap_Spec_UpReg
CFDP1	Hsap_Spec_UpReg
CHD6	Hsap_Spec_UpReg
CIR1	Hsap_Spec_UpReg
CLNS1A	Hsap_Spec_UpReg
CMTR1	Hsap_Spec_UpReg
CMYA5	Hsap_Spec_UpReg
CNOT3	Hsap_Spec_UpReg
CNST	Hsap_Spec_UpReg
CNTRL	Hsap_Spec_UpReg
COG5	Hsap_Spec_UpReg
COL18A1	Hsap_Spec_UpReg
COX15	Hsap_Spec_UpReg
CTNNA2	Hsap_Spec_UpReg
CTR9	Hsap_Spec_UpReg
CTTN	Hsap_Spec_UpReg
CWC15	Hsap_Spec_UpReg
CWF19L2	Hsap_Spec_UpReg
DDX10	Hsap_Spec_UpReg
DDX23	Hsap_Spec_UpReg
DHX38	Hsap_Spec_UpReg
DIP2C	Hsap_Spec_UpReg
DIXDC1	Hsap_Spec_UpReg
DNAJB6	Hsap_Spec_UpReg
DNAJC2	Hsap_Spec_UpReg
DOCK1	Hsap_Spec_UpReg
DPF3	Hsap_Spec_UpReg
DYNC1I2	Hsap_Spec_UpReg
DZIP1	Hsap_Spec_UpReg
EHBP1L1	Hsap_Spec_UpReg
EIF2D	Hsap_Spec_UpReg
EIF2S2	Hsap_Spec_UpReg
EIF3G	Hsap_Spec_UpReg
EIF5	Hsap_Spec_UpReg
EIF5B	Hsap_Spec_UpReg
ENC1	Hsap_Spec_UpReg
ENDOV	Hsap_Spec_UpReg
ERC1	Hsap_Spec_UpReg
FAM114A1	Hsap_Spec_UpReg
FAM184B	Hsap_Spec_UpReg
FEZ1	Hsap_Spec_UpReg
FEZ2	Hsap_Spec_UpReg
FRA10AC1	Hsap_Spec_UpReg
GIGYF2	Hsap_Spec_UpReg
GIPR	Hsap_Spec_UpReg
GNAQ	Hsap_Spec_UpReg
