Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro
A1BG	1.24777778643188	0.0144555821909544	0.0447578556537108
A1CF	-0.0235837919000848	0.811881333876433	0.893175474293144
A2M	-0.482081088088639	0.451427688128887	0.622960043368362
A2ML1	0.0445638656309014	0.749947414357535	0.85713752994773
A3GALT2	-0.0539686221041892	0.000195409884747422	0.00109014789345438
A4GALT	-0.171137291595588	0.219839386777618	0.376828161215078
A4GNT	-0.0912736612056921	0.0024307039905298	0.00985809882561139
AAAS	-0.698439732900539	0.00995960276987984	0.0329809395580324
AACS	0.604946332704519	3.69705767868655e-05	0.00036011585669345
AADAC	-0.000232190069779758	0.998473447054874	0.999205553142606
AADACL2	-0.0443429181306754	0.0198950355369232	0.0584730480364961
AADACL3	-0.0515141392428737	0.000767854209547281	0.00366682344984304
AADACL4	-0.00744029454588798	0.924312710822213	0.961025733039816
AADAT	-0.670438896229426	0.0193667196526317	0.0572298876889803
AAK1	-0.10077472858197	0.359705197380762	0.533992486057709
AAMP	0.683766478999257	0.0645490831107129	0.14854629525233
AANAT	0.0834747914654367	0.592010224251354	0.741788427698815
AAR2	-0.22805349294428	0.436746465959668	0.610385559568971
AARD	0.220766730926283	0.486976804098506	0.654790973075201
AARS	0.447856309038988	0.0080505438165952	0.0275833746911195
AARS2	0.196585254293767	0.552952558440659	0.710818483869412
AASDH	-0.497777463652414	0.0184880230047337	0.0551165497847889
AASDHPPT	-0.71707074481352	0.000536892838176373	0.0026767205441774
AASS	-0.066122494017337	0.870340198703766	0.929190440079266
AATF	1.10480126132682	4.76066624164329e-05	0.000449115056708139
AATK	-0.0748375282827159	0.67447508520271	0.806009983478214
ABAT	-0.119046293560366	0.420048705158954	0.595479566178679
ABCA1	-1.23580002639088	0.00168777192850822	0.00722542183811347
ABCA10	-0.950822176107129	6.54486014495248e-07	9.94715440970737e-06
ABCA12	-0.572979731387373	0.0911561045294791	0.194904908035196
ABCA13	-0.777078874307626	0.0059153091841444	0.0212311722873937
ABCA2	-0.219957541561629	0.193818796991333	0.342491965164526
ABCA3	-0.0625093999547702	0.696571205756427	0.820846256192572
ABCA4	1.78874229205089	0.00104342156570914	0.00479753278558146
ABCA5	-0.0433589923017059	0.712698368200269	0.831662570911744
ABCA6	-0.641336574046572	2.71135482994289e-05	0.000273182170870404
ABCA7	0.352865769812909	0.285199704714589	0.452858623453683
ABCA8	-0.372339824574688	0.50288651294539	0.669594110903476
ABCA9	0.237245440886503	0.134103380805196	0.262006909657224
ABCB11	-0.114864367483516	0.668019060845161	0.80134943577626
ABCB4	0.292811610577439	0.458481344778561	0.628575918738918
ABCB5	-0.00850207036921428	0.92241625175289	0.959973688987292
ABCB6	0.0562714454042602	0.870015100411702	0.929003847021795
ABCB9	0.553303932353141	0.000650829628421556	0.00316186380490061
ABCC1	0.697035195435279	0.00080819029113588	0.00383904627019126
ABCC10	-0.53740403024347	0.106416917432935	0.220065418609203
ABCC11	-0.370869873598752	0.157547775886433	0.295068292126286
ABCC12	1.90069504156933	7.43362253086133e-05	0.00066366003535458
ABCC2	0.397449006268643	0.250667671406128	0.414174638831476
ABCC3	-2.27025548646456	6.60541283670213e-07	1.00278795553583e-05
ABCC4	-0.530450816067017	0.0845787676665106	0.183726452934616
ABCC5	0.0989145826247124	0.394802076512211	0.571248985023196
ABCC6	-0.900785756065688	0.0187061386106782	0.0556683122760601
ABCC8	0.566434720648693	0.00221519424162153	0.00911848353322134
ABCC9	0.669516195799476	0.0301625951303581	0.0815612805829832
ABCD2	0.090197284231791	0.714564033936426	0.832443634764688
ABCD3	-0.00371204711584565	0.987386678344193	0.994427848661982
ABCD4	-0.11328302863867	0.526315708408179	0.689194955323036
ABCE1	-1.22397213853105	1.22202248320491e-11	4.72036822237404e-10
ABCF1	-0.251447046221151	0.162568095762262	0.302203598865286
ABCF2	0.457628284107353	0.00747368177313135	0.0259601607859052
ABCF3	-0.392513771996762	0.26047987266219	0.425209390076218
ABCG4	0.180026915859809	0.419346379195718	0.595011950103933
ABCG5	0.141091135498576	0.690382753228127	0.816305120623028
ABCG8	0.489346697721819	0.259239321863785	0.423612763399477
ABHD1	-0.178779081706963	0.0343522486375876	0.0904497390397105
ABHD10	0.514919363336831	0.0380917482715621	0.0984348595988761
ABHD11	0.263671533863504	0.581804594936473	0.733773762217101
ABHD12	0.817808902293156	0.0233657934780507	0.0664404686516771
ABHD12B	1.47549185702577	1.34768954691555e-05	0.00014819088729175
ABHD13	0.299319829509534	0.152321849822658	0.287961135529273
ABHD14B	1.56515524941916	0.00111791523735527	0.00509111205265401
ABHD15	0.144964672844258	0.777335337761969	0.872659538948135
ABHD16A	0.0138579492125177	0.978751154764765	0.989838283374629
ABHD16B	-0.0319670974743016	0.577761982870583	0.730863215827937
ABHD17A	0.527108285208014	0.0113249227911472	0.036594267532947
ABHD17B	0.608253106816856	0.209734376577135	0.363329366568537
ABHD17C	-0.080971054473673	0.828772597876006	0.903919863629312
ABHD2	-0.187835341916373	0.100584599683179	0.210360066448795
ABHD3	-0.538835556075266	0.306698541724849	0.476941174413737
ABHD4	-0.884053299158661	0.0231028881302564	0.0658456733369951
ABHD5	-0.290937488803863	0.367123918255935	0.541546946275113
ABHD6	-0.24400228369436	0.432797759960477	0.607448891413554
ABI1	0.329772079403372	0.0581768083174499	0.136777389767621
ABI2	0.340126499481566	0.00185745406486726	0.0078251057026486
ABI3	0.0107385191529999	0.907324433567786	0.951434403307974
ABL1	-0.20386128014552	0.197063024046428	0.346679711231881
ABL2	0.50857944466327	0.000140646113908849	0.00109014789345438
ABLIM1	0.607005685285169	1.05678653707919e-05	0.000119317749634544
ABLIM2	0.415444784434064	0.00359265626482053	0.0138426171761846
ABLIM3	0.189761499260189	0.16640608101461	0.307472639550159
ABR	0.619855264726424	8.42031333547766e-10	2.32135468457207e-08
ABRA	0.189931785102162	0.551728646846829	0.709996573677752
ABTB1	-1.12646092801066	6.64814493678278e-07	1.00813995379942e-05
ACAA1	0.210386897963316	0.221804403526027	0.37912326156135
ACAA2	-1.37784618982696	0.00168578967299959	0.00722152226937004
ACACA	0.178338530101769	0.186834354542511	0.333031063544571
ACACB	1.166376978852	0.00125211588199625	0.00559859840968208
ACAD8	-0.212948533090301	0.183942308711509	0.32992632567055
ACAD9	1.79959099995489	2.24265050974282e-14	1.29201587700183e-12
ACADL	0.0816506200636905	0.859706869744937	0.922747476992954
ACADM	0.423098240524617	0.118439905743214	0.238774991674033
ACADS	0.994383596267763	0.00215456735839004	0.00889881205835051
ACADSB	-0.688132736874251	0.000289509524308285	0.00154753286962727
ACADVL	1.52501306900324	0	0
ACAN	0.34995452941355	0.477556603956333	0.646704226814196
ACAP1	-0.825940579652692	0.000166159656375342	0.00109014789345438
ACAP2	0.157698881026955	0.113489547696362	0.231040862653979
ACAP3	0.631902119537383	0.000303041606669607	0.00161410663750019
ACAT1	-0.330729662214572	0.0536417074591355	0.128399122559767
ACAT2	-0.388692317731144	0.320539617570149	0.492180903695505
ACBD3	0.524078032948164	0.0152658528231187	0.0468897156319122
ACBD4	0.340867444119125	0.170761370664441	0.313116708096753
ACBD5	0.119995816038649	0.450973704803932	0.622534912939159
ACBD6	1.46195590489191	5.58533219674473e-11	1.99723775449113e-09
ACBD7	0.3699140143188	0.364482879692142	0.539008983092088
ACCSL	0.0279301692918789	0.709172641910364	0.829100371658453
ACD	0.320953620372381	0.454923152728509	0.625989488816273
ACE	0.479837959637111	0.137551422279861	0.267233134998531
ACER1	-0.284108157158222	0.261073965360471	0.425439994838735
ACER2	0.716041270726007	0.114050781519223	0.23169357830932
ACER3	-0.0578211296384392	0.787841672950102	0.878849283660763
ACHE	-0.744174498066029	0.0544691590771353	0.129966804558644
ACIN1	0.302963982784578	0.0020922938242729	0.00867883478308397
ACKR2	-0.608675387213176	0.139634349006786	0.270655738168294
ACKR3	0.446783856931749	0.0283413315539838	0.0775460707690796
ACKR4	-0.212632331841542	0.0276278611992216	0.0760570138506649
ACLY	0.18952143550466	0.533536072087794	0.695407501480765
ACMSD	-0.167584946635317	0.251835903571162	0.415188922103807
ACO1	0.197815605735415	0.4024694777238	0.578802115339721
ACO2	0.0439318464322802	0.858782968395909	0.922196326572046
ACOT1	0.204363949142541	0.092254406592045	0.196722817979652
ACOT11	0.5447071582425	0.0103245718165834	0.0339891459485619
ACOT12	-0.223043733271523	0.38959229169082	0.565580120470483
ACOT13	-0.50737475643023	0.113599413828779	0.231194053646252
ACOT2	-0.846302246765128	0.102915761496075	0.214238323151418
ACOT6	-0.638085016389234	2.83193696892781e-06	3.67486184181682e-05
ACOT8	-0.274105372693963	0.196060708374977	0.345292648209668
ACOX1	-0.305009319351607	0.0350648572731391	0.0918060479509009
ACOX2	0.0185528819212097	0.639988021085641	0.778952556180528
ACOX3	0.543489374980901	0.0997648507266811	0.209034807685171
ACP2	-0.639164006779344	0.113947905829461	0.231589283655505
ACP5	-0.0641392066360639	0.000120853473887905	0.00099525087445501
ACP6	-0.425169248249147	0.0704754173951372	0.158929257595156
ACPP	-0.278350115208833	0.0532902671799995	0.127739347769128
ACR	-0.116522982778339	0.334850900992246	0.507947000818777
ACRBP	-1.18841119654485	0.00505366872130653	0.0185182136536921
ACRV1	-0.655973847207785	0.0418527581265182	0.105896590147071
ACSBG1	0.2300591301693	0.517759979650709	0.681704343607724
ACSBG2	0.190517259292047	0.484848601883033	0.653135679020204
ACSF2	-0.033048958522707	0.853245764557255	0.918603574100753
ACSF3	-0.338710001799805	0.0206108880011204	0.0601928642928547
ACSL1	0.106157223073776	0.731524360240768	0.844466509711063
ACSL3	0.180785350363536	0.273367658153563	0.4391931116158
ACSL5	0.0276919333282449	0.930012923889955	0.964868726101315
ACSL6	0.592039167764669	1.51844299023374e-05	0.000164418714468602
ACSM1	-1.0938957463231	0.00500813871301742	0.018366354186667
ACSM2A	0.209206105852282	0.578803437989871	0.731756566440622
ACSM2B	-0.310342094455226	0.516881197105992	0.681141292100281
ACSM3	-0.0139892642497231	0.950300357760141	0.975555827213255
ACSM4	-0.0539686221041892	0.000195409884747422	0.00109014789345438
ACSM5	-0.155101391626384	0.402421654332281	0.578795083970285
ACSS1	-0.957204805522483	0.0828169257926252	0.180597699225231
ACSS2	-0.172083535259995	0.572251826922284	0.726414960333268
ACSS3	0.250945996549579	0.332732002385238	0.505643120747987
ACTA1	0.302642511035386	0.38414996818542	0.559741214992179
ACTA2	-0.143705454214044	0.73385605039243	0.845854430176158
ACTB	0.262014815583646	0.281247348509081	0.448273292179111
ACTC1	-0.171301776038602	0.0544701762299782	0.129966804558644
ACTG1	0.507576584682219	0.0241127806633137	0.0680193337773869
ACTG2	0.0243655000686052	0.869864509325997	0.929003847021795
ACTL10	-0.00318874580501261	0.94357413107844	0.972353069948666
ACTL6A	-0.590108397997735	0.228307242881564	0.387340793013638
ACTL6B	0.157613855400072	0.408605190853139	0.585067082091468
ACTL7A	-0.0539686221041892	0.000195409884747422	0.00109014789345438
ACTL7B	0.178677875591964	0.124279418648205	0.247220133214764
ACTL8	-0.0840603465820867	0.00691749092402816	0.0243167392820922
ACTL9	-0.0539686221041892	0.000195409884747422	0.00109014789345438
ACTN1	1.05199696306943	4.24601021009607e-10	1.25803216796275e-08
ACTN2	0.746260312701051	9.44589937652562e-05	0.000815237960915121
ACTN4	0.622388848065943	1.68860378304547e-05	0.000180954432426359
ACTR10	0.193234383296639	0.609962440537126	0.754464048158638
ACTR1A	0.137062244433133	0.498081902805922	0.665227800389327
ACTR1B	-0.092791356181413	0.620531085013851	0.763125301685068
ACTR2	-0.152635898085425	0.437092119038531	0.610676245457728
