Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac
A1BG	2.36474695003307	0.00050552511644697	0.00301414599505599
A1CF	-0.0573773349921751	0.652395376192026	0.774715800808862
A2M	-0.744953019109643	0.344818479696821	0.506427489355359
A2ML1	0.0659208923635873	0.723509792642584	0.826719402832232
A3GALT2	0.0109236581911055	0.231108019141137	0.38239487449774
A4GALT	0.106633926349812	0.367930395035909	0.529186989808928
A4GNT	0.0109236581911055	0.231108019141137	0.38239487449774
AAAS	0.502675523887131	0.206297933499518	0.378587318473592
AACS	0.252955708738605	0.190725681609518	0.360310105630314
AADAC	0.225242654180473	0.16476685342488	0.3243606821
AADACL2	0.0569872385627064	0.217456843143002	0.38239487449774
AADACL3	0.0176309235792773	0.120209468469684	0.255565974521339
AADACL4	0.087153333077548	0.407574115354576	0.568390083324762
AADAT	-0.0884134398842712	0.807475489013249	0.88325671644308
AAK1	0.0211528494767526	0.849863086289077	0.909647023919257
AAMP	0.963286324622393	0.0637246307466208	0.158684435173171
AANAT	0.206868872533659	0.28570993460782	0.446051607231966
AAR2	-0.568529128768906	0.29201056890564	0.452541240208657
AARD	0.305936319465769	0.441464252454154	0.599272942033476
AARS	0.689140264246399	0.00115991684135719	0.00614172778410694
AARS2	0.501483709979839	0.254019301382778	0.409621316021678
AASDH	0.191094821603518	0.575827840273564	0.712569773703682
AASDHPPT	0.0121695763151589	0.96785365904472	0.980803967344348
AASS	-0.154004578234511	0.776282202076142	0.862457587455783
AATF	-1.3074031499026	6.0725351525015e-07	8.43088016383859e-06
AATK	0.00359865371964997	0.989913414594634	0.994635368722536
ABAT	0.773895763238104	1.07699065354794e-06	1.38275342861712e-05
ABCA1	-0.3379942397421	0.531352728609198	0.677239872778727
ABCA10	1.60747895075581	1.8773707248565e-05	0.000171469070066331
ABCA12	-1.26273599796499	0.0144082280846254	0.0496389784842409
ABCA13	-1.6757702479691	0.00230640580242203	0.0110532017854431
ABCA2	0.226750494507971	0.316017125077646	0.477725130666352
ABCA3	0.380256137000011	0.0794841193902847	0.187920977464123
ABCA4	3.14257245872376	3.5142356860085e-06	3.8832304330394e-05
ABCA5	1.02153175317109	2.69326907442746e-08	5.04978586819981e-07
ABCA6	0.811345955688647	0.00723338591838374	0.0284378173128408
ABCA7	0.2926101855912	0.527320244655282	0.673501110203491
ABCA8	-2.25548502224407	0.0161223534989325	0.0541738403587013
ABCA9	3.08622510226892	2.19824158875781e-13	9.52877648168619e-12
ABCB11	0.470987181029274	0.112188602070611	0.243701989125671
ABCB4	-0.544908080428	0.357955899162352	0.519832325391325
ABCB5	0.142213741698207	0.243231308439259	0.396900308769823
ABCB6	2.14128235119156	0.000298525306845709	0.00192279964719876
ABCB9	-0.284004269471933	0.143273821699803	0.292647634899249
ABCC1	1.04933390906721	2.66651400289142e-05	0.000234184203732764
ABCC10	-1.19051397952663	0.0123514358830561	0.0438278870765578
ABCC11	-0.128194509550628	0.673364795523953	0.78997744395252
ABCC12	4.61929553704131	0	0
ABCC2	-0.763227653110134	0.159425912800373	0.316427615588897
ABCC3	-1.37950291048117	0.0392413060191017	0.10925486295818
ABCC4	-2.024687781182	5.68270946130767e-05	0.000454111477462292
ABCC5	0.0181309891912101	0.885118869680281	0.931700435867874
ABCC6	0.434914054048809	0.363427689448886	0.525013354299616
ABCC8	0.604119962532916	0.00232416186874729	0.0111145889154247
ABCC9	2.30345948214053	2.27543739406144e-09	5.30712309850213e-08
ABCD2	-0.198798598006269	0.554659691330881	0.695504352974756
ABCD3	-0.844048542584409	3.61692355501653e-05	0.000305512195771791
ABCD4	-0.00122042033577461	0.996461633179477	0.998016291002417
ABCE1	-0.628376915864235	0.00767568703079968	0.0298804322443576
ABCF1	-0.551715584058526	0.0170876430296907	0.0568225248355353
ABCF2	0.27045880728267	0.276353892980931	0.434769916712108
ABCF3	-0.10317867199672	0.835045701818844	0.900234241329154
ABCG4	-0.654246744177088	0.0219052658364096	0.0691418610959115
ABCG5	0.923887990274097	0.00603289680938945	0.0245337803581838
ABCG8	2.43228879662668	6.04951924665365e-06	6.2685295130006e-05
ABHD1	-0.413215617601441	0.145455659917991	0.296014575893801
ABHD10	1.25031467778774	0.00107132900315232	0.00572557886556974
