Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	A1BG	1.24777778643188	0.0144555821909544	0.0447578556537108	2.36474695003307	0.00050552511644697	0.00301414599505599	1.90907433587404	0.000639242442125987	0.00339544025307345	14.8541461231893	1.59985760305757e-05	0.215676803468192
2	A1CF	-0.0235837919000848	0.811881333876433	0.893175474293144	-0.0573773349921751	0.652395376192026	0.774715800808862	0.042504797846126	0.213994254643977	0.363714829115687	1.73419574981855	0.189878808242317	1
3	A2M	-0.482081088088639	0.451427688128887	0.622960043368362	-0.744953019109643	0.344818479696821	0.506427489355359	-0.962109686735988	0.176538162838058	0.324592331317492	0.169021931795149	0.845105663438881	1
4	A2ML1	0.0445638656309014	0.749947414357535	0.85713752994773	0.0659208923635873	0.723509792642584	0.826719402832232	0.180198171066009	0.00460110561638105	0.0183242259422254	4.06398881317089	0.0249357920656849	1
5	A3GALT2	-0.0539686221041892	0.000195409884747422	0.00109014789345438	0.0109236581911055	0.231108019141137	0.38239487449774	0.00851419189675924	0.234697373969095	0.363714829115687	17.5415795871413	3.68323734041791e-06	0.0496537225861738
6	A4GALT	-0.171137291595588	0.219839386777618	0.376828161215078	0.106633926349812	0.367930395035909	0.529186989808928	-0.0390768144353316	0.765453636820963	0.847679266951797	2.78879451188002	0.0737881471622844	1
7	A4GNT	-0.0912736612056921	0.0024307039905298	0.00985809882561139	0.0109236581911055	0.231108019141137	0.38239487449774	0.042504797846126	0.213994254643977	0.363714829115687	11.2880566374143	0.000135587771792929	1
8	AAAS	-0.698439732900539	0.00995960276987984	0.0329809395580324	0.502675523887131	0.206297933499518	0.378587318473592	1.36250233104	2.60293594172012e-05	0.000206049203936165	4.93738615151931	0.0122632976122812	1
9	AACS	0.604946332704519	3.69705767868655e-05	0.00036011585669345	0.252955708738605	0.190725681609518	0.360310105630314	0.00294591269397457	0.98991295773064	0.995451035593522	2.65268399814333	0.0831497693228852	1
10	AADAC	-0.000232190069779758	0.998473447054874	0.999205553142606	0.225242654180473	0.16476685342488	0.3243606821	0.00851419189675924	0.234697373969095	0.363714829115687	0.635758898510574	0.534932364544017	1
11	AADACL2	-0.0443429181306754	0.0198950355369232	0.0584730480364961	0.0569872385627064	0.217456843143002	0.38239487449774	0.00554332436882297	0.920231110421951	0.951644338723406	1.67397827275052	0.200690535180299	1
12	AADACL3	-0.0515141392428737	0.000767854209547281	0.00366682344984304	0.0176309235792773	0.120209468469684	0.255565974521339	0.0130860488968219	0.0831108028559115	0.184492566808777	16.5133077024092	6.37743723820709e-06	0.0859742314082698
