Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCC3	-2.27025548646456	6.60541283670213e-07	1.00278795553583e-05	-1.37950291048117	0.0392413060191017	0.10925486295818	0.714682854050989	0.0128411315018733	0.0421708389224735	58.708972625389	1.7265199211901e-12	2.32752150575638e-08
2	ADAMTS13	-1.25157745419309	0.0119956079754198	0.0384093658462849	0.985696642674477	0.141684834312964	0.290369907475383	1.73592408593997	9.32069215142661e-08	1.33957623553712e-06	27.9737605974291	2.9162787384468e-08	0.000393143536730013
3	ADAMTS9	-1.98692094734708	4.94954033758432e-07	7.74069063700398e-06	0.520545759781161	0.402864664155717	0.564261666232022	2.65127338624194	8.48696989796949e-07	9.74615578196593e-06	26.0348151122163	6.57620222694015e-08	0.000886537822213801
4	ALDH1B1	-2.52707563542173	2.60439374510923e-08	5.46882119592174e-07	0.35211771817582	0.561077432547575	0.701281964253569	3.2909667350765	2.26574314865502e-12	6.86392885101535e-11	32.6295804531373	4.70470549818343e-09	6.34241348210108e-05
5	ALG1	-1.91566028983789	4.228017935759e-11	1.52809409629938e-09	-0.114964193041643	0.800322525539556	0.878023109277243	2.59158642273253	2.60632826432072e-09	5.09955171717092e-08	39.9365762961273	3.64440064466213e-10	4.91301650906901e-06
6	ALG2	-0.766547678248737	0.00431175504837267	0.0161687815875137	0.483672265351259	0.255268867366326	0.411144516244377	2.14907588926305	4.60438380622818e-06	4.47202435819612e-05	30.8788551359659	9.15868644090405e-09	0.000123468251909828
7	ALKBH8	-2.07253150828228	0	0	-0.598638475732909	0.0553498218884312	0.142646324063919	1.9001944455504	3.53770090555372e-07	4.49922131205375e-06	48.9961753169688	2.29182599507707e-11	3.0896106239634e-07
8	ARHGAP24	-2.0753313765661	3.78437581436408e-05	0.00036676614200893	-0.094793299335056	0.883498098975207	0.931014812508772	2.57402971328272	4.57411886145564e-14	1.81363812856716e-12	20.9816474136695	6.51839165970898e-07	0.00878744379645368
9	ARHGAP32	-0.917499211646453	4.71622740860766e-13	2.29528742582816e-11	0.187176569067914	0.153101914853643	0.307241337522233	0.770382774939796	3.37189677579453e-06	3.3721469165049e-05	43.8055743244769	1.06550829410746e-10	1.43641173128627e-06
10	ARHGAP33	-1.07990242556213	1.02651220856842e-12	4.70694254547989e-11	0.0947681833359596	0.623598085023072	0.752414372522692	0.909295649505896	8.12752253867011e-05	0.000566019448826366	174.286975721277	3.57145771351523e-20	4.81468214358989e-16
11	ARTN	-1.7776578306085	2.060849491059e-09	5.24194565829555e-08	0.552652676295767	0.100112097760045	0.223216046421309	2.45840199760696	1.17574376901075e-08	2.04518732258502e-07	33.5127196821955	3.39049619097077e-09	4.57072791504769e-05
12	ATP13A1	-0.892710471617869	3.67549953348423e-05	0.000358274831604489	-0.0251068354694206	0.927959119410209	0.957432794181006	1.08551557165301	4.3360017354388e-08	6.70339901323973e-07	57.5782247661526	2.29354201984851e-12	3.09192399695778e-08
13	ATP2A3	-2.26487440636105	2.22044604925031e-16	1.6357285896144e-14	0.714281980877318	0.0491068242370511	0.130035179245666	2.96883127753634	0	0	74.2054838390072	5.08460565816438e-14	6.8545568877714e-10
14	AVIL	-1.52881868716574	0.00135782426146225	0.00598509638892522	0.702219329570694	0.236522335411933	0.388422171237456	3.3841883841671	5.26430508074327e-08	7.9205465171317e-07	22.6479571399525	2.96846950298877e-07	0.00400179373697916
15	C16orf58	-1.20442778796062	1.09025380501393e-06	1.56358633461625e-05	0.36981231678755	0.283950282363151	0.443818406555088	1.98932283291774	0	0	79.0200463327763	1.91401385446281e-14	2.58028207720132e-10
16	C22orf39	-0.817268647570175	2.38810283421653e-05	0.000245381206616411	0.323563919599238	0.331397707611514	0.493404899709305	1.35864758918376	0.000171112005058038	0.00108706924608266	28.8875445321747	2.0108053553571e-08	0.000271076669955691
17	C7orf31	-3.49155062309903	0	0	0.0915752709363914	0.70295527460983	0.810931033460133	3.12089747580136	0	0	145.33594822142	8.37842279832181e-19	1.12949517744176e-14
18	CCDC110	-3.21548617934691	7.93145549238261e-11	2.73462791541714e-09	-0.795122653402169	0.205815411671081	0.377907595306162	2.5739834035276	1.17741498284474e-06	1.31614688090629e-05	23.7372432243646	1.80486200424552e-07	0.00243313446792339
19	CD300A	-5.33041210067184	0	0	-0.23492526197457	0.17594848343231	0.340407793506167	5.51296425119491	0	0	516.469785226113	8.65842553411995e-29	1.16724234625471e-24
20	CECR2	-3.32975991199282	0	0	0.120049998435012	0.840572935941258	0.904587191620029	4.35968065645914	1.86517468137026e-14	7.80882604955047e-13	57.4472590295139	2.37087366980153e-12	3.19617479425945e-08
21	CELF6	-0.570057462923285	0.00116288692324007	0.00526423056151759	-0.265414225365331	0.246315967102858	0.400649801220273	0.693898403060756	7.61646834537277e-05	0.00053505789350688	33.5290998290491	3.37013228926456e-09	4.54327533915756e-05
22	CER1	-1.74136884819501	0.000136118812489538	0.00108774019630792	0.605051077591148	0.263957695162068	0.420491698754296	2.0185298892444	1.73318602203487e-06	1.87220198421892e-05	20.4406100353164	8.47399868570742e-07	0.0114237976282022
23	CILP	-4.06270242512099	2.22044604925031e-16	1.6357285896144e-14	0.735014048961918	0.221258343184003	0.38239487449774	4.53698392215312	0	0	70.9444517826948	1.01444212048342e-13	1.3675694226237e-09
24	CLCN1	-1.32282622757534	0.000125224544831326	0.00102570272837193	0.148714475752355	0.527141748958023	0.673336926066241	1.71588908672879	5.10526086821006e-05	0.000375267294243947	27.9504553141741	2.94433642594382e-08	0.000396925993581486
25	CLEC4G	-1.0844879714127	0.00023204564524848	0.00127214613403609	0.503078470451458	0.104155650982324	0.230297249613369	1.51835498352382	3.72318709196406e-09	7.05939313456646e-08	21.294090586868	5.6108470558936e-07	0.00756398291605017
26	CLN3	-1.21332769593051	0.00764556098150937	0.0264213810796534	-0.346768063927689	0.534808973613916	0.679973570997756	1.1417861590057	0.00380613119511097	0.0155958828696933	28.611926342471	2.24774156783736e-08	0.000303018040760155
27	CNDP2	-0.962657057417263	5.28286994150307e-08	1.04425761996192e-06	0.151053600868186	0.534274180810183	0.679454354257928	1.49373183081437	6.37614183673918e-10	1.35707015765022e-08	35.1423229515076	1.87869562088279e-09	2.53266956651209e-05
28	COG4	-0.867420776716071	0.000534163509602337	0.00266508448295674	0.549390446450987	0.117673155962365	0.251721963746214	1.32682162987411	3.2798727556127e-07	4.21104424937284e-06	22.266186208335	3.54479336426012e-07	0.00477873593435906
29	COL14A1	-3.32122600077814	3.24296145493008e-12	1.36194278423403e-10	-1.03551904430248	0.0717921803643018	0.17357072874662	2.46229491684552	7.66477992186765e-11	1.89594308489354e-09	38.5816193768257	5.71373311395666e-10	7.70268361092498e-06
30	COX4I1	-0.626632295839369	0.000213879274529205	0.00118216748664543	0.498327323836082	0.0877644350589109	0.202317433144524	1.16283729409424	1.53111799459094e-05	0.000129654533197741	17.664844194975	3.45219047960862e-06	0.0465389798556038
31	CREG2	-1.19818358737978	2.46163534001198e-10	7.78997793866233e-09	-0.00774875515909938	0.978188217532036	0.987292979043136	1.15373638894913	0.000211304300663073	0.00131332101301931	17.7581862039712	3.28739279776032e-06	0.0443173423066069
32	CUX2	-0.569982350552662	0.00437517534711129	0.016379266552182	0.241243308743103	0.314655386770154	0.47698968503862	0.568830434050888	0.0136109724800826	0.0442676767199019	30.6777683080417	9.90156300876454e-09	0.000133482970921155
33	CYP1A1	-0.859226258961149	0.000525025144588298	0.0026253204652058	0.307303823667534	0.166951385236812	0.327704080427702	0.888724801730012	3.03815883562208e-08	4.870085524735e-07	22.814545695575	2.74869221858948e-07	0.00370551197988048
34	DCT	-2.1468623211965	3.0275781881528e-12	1.27546192357775e-10	0.799940045146771	0.205563948519924	0.37749728783505	3.70989466692371	5.06330133376309e-09	9.32491328968036e-08	35.2092797200775	1.83436383116864e-09	2.47290588079845e-05
35	DLEC1	-2.01927444330419	1.07995147486939e-05	0.000121831178516437	0.381999550481145	0.523827858097633	0.671038984078916	2.37816615592398	3.69801901323186e-07	4.66788336305044e-06	24.3671243531914	1.36132302095638e-07	0.00183519956455129
36	DPP8	-0.575663832768682	3.17002098930708e-05	0.000313306839859595	0.150284288695753	0.308179077935503	0.469973093851642	0.499750440167437	1.91033538479157e-05	0.000157801662514554	28.3895634751221	2.46024180301865e-08	0.000331665197464944
37	DRG2	-0.69174585066499	0.00147915339485705	0.00644488264901999	0.143386822847505	0.635248838966021	0.761428789730677	0.985908580092891	9.65423780918684e-08	1.38309011589424e-06	27.2259856122833	3.97452047563565e-08	0.000535805105320441
38	DUOXA1	-0.95307905755207	0.00189481746466313	0.00796598293056354	0.846470074827876	0.0495604405743792	0.131004764584943	1.4046202224494	1.67552714422925e-05	0.000140558689678622	17.5935551394414	3.58389244098235e-06	0.0483144539968831
39	DUSP22	-1.41327443944755	7.48505701864133e-11	2.60067148629649e-09	-0.0299626869015976	0.937197080378932	0.963752828524874	2.00437908563035	0	0	18.6496118670197	2.07308689942746e-06	0.0279472844911816
40	DYDC2	-1.38695893502801	5.21804821573824e-14	2.89483572001511e-12	0.174587892860519	0.451983856761751	0.608589130344103	1.2412826336062	0.000138254709474595	0.000901262929606871	57.1905300450996	2.53052716223949e-12	3.41140366741506e-08
41	DZIP1L	-2.09357481884504	0	0	-0.151241920853337	0.719671983193527	0.823590662600334	2.43556120700904	6.21502849185163e-13	2.06876047157165e-11	68.4755543570677	1.74026619990382e-13	2.34605286409033e-09
42	ECM1	-1.12359791749916	0.00050511855730484	0.00253235525140444	-0.121745542665866	0.79161242525121	0.87308574857331	0.890487350366066	0.00132456908000367	0.00638645056063285	47.3477211561148	3.68541238144891e-11	4.96830443143127e-07
43	EFNB3	-1.21945257674284	0.000145878581243375	0.00109014789345438	0.114196308487279	0.788499103411457	0.871005933553741	1.22110613928461	1.05326666721695e-07	1.49621579986846e-06	21.9117231148895	4.18572354041866e-07	0.00564277390483839
44	EIF2B1	-0.941443985943275	1.37123356407365e-05	0.000150411714217061	0.42097368702621	0.0783010924005274	0.185612278292863	1.19416782456529	0	0	30.4100523230872	1.09902717471564e-08	0.000148159853423415
45	EYS	-3.40580892836731	8.48612047299468e-09	1.94560187238846e-07	0.31034065398683	0.579387233421095	0.715594987975243	2.1353664736572	0.00493613020253547	0.0194345710456719	31.6665394079725	6.76779266245339e-09	9.12366128825342e-05
