Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA4	1.78874229205089	0.00104342156570914	0.00479753278558146	3.14257245872376	3.5142356860085e-06	3.8832304330394e-05	0.391816535142907	0.103362570556538	0.217555670197704	17.9222011041693	3.01753988761545e-06	0.0406794552249439
2	ABCC8	0.566434720648693	0.00221519424162153	0.00911848353322134	0.604119962532916	0.00232416186874729	0.0111145889154247	-0.148799674196153	0.223637342590259	0.363714829115687	30.115519928212	1.23348183998078e-08	0.000166285686847808
3	ABHD12B	1.47549185702577	1.34768954691555e-05	0.00014819088729175	1.99632365952634	0.000155655933249399	0.00110908965969088	0.691198582889243	0.17874350228487	0.327317276526604	34.6475820915897	2.24327795224293e-09	3.02416300741869e-05
4	ABLIM1	0.607005685285169	1.05678653707919e-05	0.000119317749634544	0.812071795930674	1.91107347535802e-05	0.00017442912336697	0.214814298782733	0.373809999976479	0.514350155613357	35.8306273839262	1.47178992716906e-09	1.9841200008166e-05
5	ACBD6	1.46195590489191	5.58533219674473e-11	1.99723775449113e-09	1.06408881624584	0.000968645613842467	0.00526332588480867	-0.158407107799824	0.564369596044858	0.688095009883398	30.6585656574188	9.97574407974275e-09	0.000134483005939012
6	AGBL3	0.915568038406488	0.0039078947004767	0.0148694124914271	1.88195079098359	8.06410643108268e-05	0.000621212678842432	0.366640595083581	0.406751327926738	0.54749239935887	37.3543082976747	8.66540784807601e-10	1.16818363199913e-05
7	AGBL4	0.648838339110311	0.00026513020017882	0.00142626505531152	1.03112855702205	8.5818155131312e-05	0.000655167590143165	0.330619508499433	0.171905396865347	0.318536948420135	20.944368595664	6.63655589685473e-07	0.00894674100454987
8	AGFG2	1.29829382768286	1.21722409929248e-09	3.23656766914436e-08	1.16182848462234	0.000308026156290664	0.00197174767946555	0.0681709325913039	0.85172551977638	0.908898261070638	33.8373593538631	3.00995819308771e-09	4.05772464010155e-05
9	AHI1	1.34292670675631	4.44089209850063e-16	3.20147948555545e-14	1.38921146821176	1.33720685895344e-05	0.000126327159534347	-0.0414429101304896	0.905538412854873	0.943397476328945	76.2565860676766	3.33339029118148e-14	4.49374345154175e-10
10	AK5	0.910324366236	6.30302787740789e-09	1.47775858809279e-07	1.24590790244994	3.79550186835331e-08	6.87730654398804e-07	0.449253090931685	0.0645287332536144	0.151842362438658	27.6465608295524	3.33733320964227e-08	0.000449905889991875
11	AK9	1.56290477859577	6.09344800839295e-07	9.35186579113061e-06	1.64784637495783	8.41003429519205e-06	8.3580839437975e-05	0.504585074483729	0.373902600092987	0.514350155613357	117.874156237695	2.92770073088889e-17	3.94683335531131e-13
12	ALDH7A1	1.49211541021416	3.72629447031869e-05	0.0003619176927548	1.24762924391302	0.0015662755612269	0.00796790975128298	0.059185058189707	0.931358528551495	0.958958552157848	42.6766817660697	1.5133447432739e-10	2.04014004840754e-06
13	ALPK1	1.603695476263	0.000617463508676419	0.00302361989119753	2.14497684155663	0.000387036983548361	0.00239231800789338	0.180869393393409	0.36336411638909	0.504169581416357	35.5207857904675	1.64211112966854e-09	2.21373001390616e-05
14	ALS2CR12	1.47197694424705	3.85855791762424e-11	1.40208138241219e-09	0.924598342943537	0.0017562320146598	0.00874612626140699	-0.0397509147121797	0.899877731073329	0.9399219148192	95.1253382327289	9.99315521585696e-16	1.34717725464968e-11
15	AMPD3	1.50377455181384	3.2174263253637e-13	1.58299723694263e-11	2.28665337480669	1.26471499939385e-10	3.69039456857758e-09	0.728324456439725	0.116059508852843	0.238324179565146	74.5850717901974	4.69916689163366e-14	6.33494688661134e-10
16	ANAPC16	1.07754589723432	3.37871707278836e-06	4.333823487941e-05	0.905043174054355	0.0022777078175944	0.0109468018142567	0.37332700460694	0.0832546828478413	0.184780437845201	66.6124448685497	2.64173644171422e-13	3.56132489707494e-09
17	AP1S3	3.22278678596975	0	0	3.96897747638437	0	0	0.475610633630932	0.122053269022819	0.248103202340289	325.628458915366	4.62434112545752e-25	6.23407427122928e-21
18	ARHGAP18	1.85964027221196	8.00914889964588e-13	3.72314952814228e-11	3.1984153848928	6.06952266224425e-11	1.84702562098679e-09	1.13109240957113	0.068107921473902	0.158906695982982	132.478771895499	4.08232683495413e-18	5.50338480620166e-14
19	ARHGAP29	1.54453346961096	8.52430188658104e-08	1.61626039005625e-06	2.66733459675261	1.3988810110277e-14	7.06303929200913e-13	0.319833069731196	0.363216472583659	0.504016599783871	109.763737831879	9.59133537964401e-17	1.29300792252981e-12
20	ARL1	1.28866249166936	9.81011586189684e-05	0.000842357783020582	1.4813293966375	7.99644205295991e-07	1.07584865584783e-05	0.229578940641434	0.529264151313209	0.657951730136357	35.0884111610631	1.91520853499403e-09	2.58189262602545e-05
21	ASAH1	0.610659473795586	0.000404952033622674	0.00208364823101804	0.829861916077083	0.00138788861564199	0.00717137846970855	0.0375204872882606	0.882280192329757	0.927946773938306	38.52937335641	5.81488656061207e-10	7.83904857236113e-06
22	ASGR2	1.49416952514255	0.000355896111157605	0.00186078440833088	1.81573599524217	0.000651351529848743	0.00372860720759699	0.282722570416589	0.199696205140149	0.354317523229053	20.1057654487247	9.98586989666366e-07	0.0134619512076923
23	ATF7IP2	1.68095087310097	4.54969395491389e-12	1.86995195750592e-10	2.5504620392211	2.48489029353038e-09	5.74593585713261e-08	0.857387368139616	0.0716900761841126	0.16560211052742	90.5675471720075	2.20454413086751e-15	2.97194594282249e-11
24	ATG4B	2.11366455728724	0	0	1.58426562214197	3.77475828372553e-15	2.04367535834955e-13	-0.275143080254195	0.157045800860405	0.297601130362541	81.2318374781902	1.24143269034755e-14	1.67357540985753e-10
25	ATP6V1E2	1.36786540940324	0.000407949228090398	0.00209746893359522	2.58591808603738	4.69545081926981e-07	6.7054420015441e-06	0.537355921992233	0.263746138045454	0.396914678163738	50.4927237628364	1.50363865205176e-11	2.02705526683097e-07
26	AVEN	1.48165427078465	9.24832180109192e-05	0.000802294891895239	2.47497956572388	2.92129653800544e-10	7.97206449976747e-09	1.13735488759044	0.0449273772150163	0.114255040980123	61.1056426391943	9.58404287702498e-13	1.29202482025174e-08
27	BBS2	0.665442789926728	1.33362535836845e-06	1.87668094531995e-05	0.578886428399005	0.00529534096932749	0.0220260696104609	0.0137366389543769	0.953354496940684	0.971661901660041	29.1511999344128	1.80863352179621e-08	0.000243821885073348
28	BIN1	1.64834838960581	0	0	1.34778307273992	5.83977310952832e-14	2.75265668844585e-12	0.00268591720125051	0.989192256359283	0.994800507868667	30.3344378314467	1.13200523153285e-08	0.000152605625262944
29	BSPRY	1.07647092981969	0.0102408110444874	0.0337876587593574	1.47497883648666	0.00413048167402974	0.0179102680757784	0.595895073431128	0.048334291952709	0.121091728268811	20.6336495867387	7.71358304663751e-07	0.010398681305172
30	BTBD8	1.10443726362143	2.99696721517417e-05	0.000298611345364102	1.0597029759115	0.0102516872104961	0.0378587777579686	-0.004579107834203	0.990355322559104	0.995530284103053	50.8519398677605	1.36079097005034e-11	1.83448230672487e-07
31	C19orf57	1.39916123713657	3.07406047375114e-05	0.000305389898648778	2.31146879205852	4.48888122628333e-06	4.82957763858943e-05	1.12825017135841	0.056615774209033	0.13717420059525	18.0210612265789	2.86622456164957e-06	0.0386395733155978
32	C1orf52	0.728997050617133	0.0047204726009793	0.0174826074543412	1.32706623000119	0.00462789374577199	0.019722838658354	0.709882777691589	0.184447762123148	0.334482147051675	32.7398335977792	4.51481663177659e-09	6.08642430129802e-05
33	C7orf25	0.96872058169622	0.00012451866902885	0.00102168970004743	1.06756401101123	0.00664159850624224	0.0265447344982661	0.231676821694583	0.627063572877907	0.739260518230614	63.8394593528724	5.00134353010868e-13	6.74231121293951e-09
34	C9orf72	0.923023488341336	0.000224186605497501	0.00123407906439845	1.10181566131699	0.000198013742392034	0.00136264587094794	-0.0152643599014471	0.966531642097453	0.979685193016223	25.1265182336293	9.74117475793944e-08	0.00131320776911782
35	CAPS2	0.810867682520011	6.26021797440757e-05	0.000573718548694687	1.29905821682285	2.54315873027267e-07	3.88711143342469e-06	0.38445338015791	0.138742733231191	0.272056841700318	85.023532634911	6.03949149152732e-15	8.14183847972798e-11
36	CASC4	0.556764838746187	4.81072470748245e-09	1.16224694949052e-07	0.623193783271071	2.08715600167331e-05	0.000188711938689187	-0.0451334618786917	0.739352337151097	0.828185197933854	100.734324994004	3.93658619532664e-16	5.30691184991984e-12
37	CBFA2T2	0.728806883466779	5.76272363161934e-12	2.32596638556468e-10	0.935837576376212	4.80613326914181e-11	1.47253369548411e-09	0.137340144993223	0.489597254409878	0.624551531671042	33.449623719607	3.47015438609548e-09	4.67811512789531e-05
38	CCDC130	1.73614303085456	0	0	1.08152340672803	0.00127915356802544	0.00666831757561907	-0.663038221036099	0.0400864495449289	0.104405994264912	22.8713726587299	2.67769135572653e-07	0.00360979571665494
39	CCDC159	2.11481683632679	0	0	1.32118587531322	2.19105704690747e-08	4.18973617721414e-07	-0.481706292537336	0.120820520110768	0.24611384581645	50.8481766847187	1.36221115019775e-11	1.83639685158159e-07
40	CCDC170	3.31410598781346	7.7715611723761e-15	4.8280376112812e-13	3.03932470412433	1.91703211083194e-08	3.71314797214445e-07	-0.175432363957078	0.651252645462919	0.758950286435478	115.070840418555	4.37654210133182e-17	5.90001640680543e-13
41	CCDC171	1.51504352295003	0	0	1.87089017467346	4.44604575378094e-10	1.18098616627143e-08	0.0674914671235456	0.872750556441459	0.92213733453933	118.015189406509	2.86970219875542e-17	3.86864553414218e-13
42	CCDC24	1.12337566633028	4.03819888350476e-06	5.07826111460146e-05	1.6896709347191	1.9084667877145e-06	2.27856505050122e-05	0.413765669979107	0.106092395815441	0.221810109799622	19.1223025450982	1.63053742533538e-06	0.0219812750309463
43	CCDC82	0.822256554877095	3.39301500229539e-08	6.97274927529635e-07	1.10137642267508	8.17538621245006e-08	1.37593485056229e-06	0.097272135187828	0.63258775453653	0.74362709442858	182.089189048376	1.65410770578127e-20	2.22990259816373e-16
44	CCDC88C	3.18969701160596	2.4669155607171e-13	1.24091375649355e-11	1.82592856572426	0.000259184778917732	0.00170359337132615	-1.14298035423842	0.0501089611062671	0.124473724833902	38.3465414601147	6.1839454950939e-10	8.33657692193609e-06
