Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCC10	-0.53740403024347	0.106416917432935	0.220065418609203	-1.19051397952663	0.0123514358830561	0.0438278870765578	-0.826659282934222	0.00187421423045708	0.00854456612810008	50.350128623847	1.56463961965595e-11	2.10929067125819e-07
2	ABCC4	-0.530450816067017	0.0845787676665106	0.183726452934616	-2.024687781182	5.68270946130767e-05	0.000454111477462292	-2.03963505647334	3.58713059256388e-12	1.05816427830096e-10	24.8114547701622	1.11844017241029e-07	0.00150776919642632
3	ACAN	0.34995452941355	0.477556603956333	0.646704226814196	-2.58849542581222	5.47493172458058e-05	0.000439592344127878	-1.8315741045431	4.09128261091851e-06	4.02882256229309e-05	20.8977775855408	6.78741153911003e-07	0.00915010949587423
4	ACTL7B	0.178677875591964	0.124279418648205	0.247220133214764	-1.73402389388705	1.29551438843301e-06	1.61561789736035e-05	-2.59386379667629	1.15463194561016e-14	4.91028178510114e-13	78.4146412956249	2.15846989293894e-14	2.90983326267098e-10
5	ACTR5	0.524442716558864	0.129145939269253	0.254869917623891	-1.42354633519048	0.00213172791532479	0.010363441769381	-1.90054390489293	1.28370425400703e-10	3.04676356483606e-09	53.5362641087018	6.55651695193845e-12	8.83884050290823e-08
6	ADA	0.000626901988251359	0.996176266878592	0.998674220872715	-3.51742311184286	0	0	-3.57041208385601	0	0	415.153250395119	5.15095497517019e-27	6.94400240202694e-23
7	ADAM15	-0.393936102296832	0.145770582329047	0.279048394151599	-1.24788043534718	0.000485548329605345	0.00291696837406848	-0.853321317307457	5.06670261302133e-11	1.27910520460937e-09	81.8217589166663	1.10782681624352e-14	1.49346133097789e-10
8	ADAMTS12	0.122480150440162	0.755037807584026	0.860120389051905	-3.04046448485673	1.5266693131899e-07	2.43490540483182e-06	-3.81580179023635	3.30830918215952e-11	8.64327831098691e-10	71.2842827470757	9.42902789201474e-14	1.27112725012251e-09
9	ADAMTS15	0.443485714788337	0.298676359045736	0.468683039959908	-2.32071599295361	4.85416922184623e-05	0.000397322740010376	-2.55689773143056	3.19515991442643e-09	6.17105312412359e-08	41.742874495464	2.03278465583463e-10	2.74039699453066e-06
10	ADAMTSL4	-0.141670575262318	0.411110888508164	0.587469354248311	-4.71821663513375	0	0	-3.81459980449031	5.67522917549468e-10	1.22216876221795e-08	127.197264437758	8.13664976311906e-18	1.09690175456608e-13
11	ADCY10	0.940853774641109	0.0572617019593109	0.135168097375848	-4.49540614343462	1.27342580924505e-12	4.97595748824133e-11	-4.97429125333219	0	0	106.075469742107	1.68667380109574e-16	2.27380495125717e-12
12	ADD2	0.0817003131797385	0.464417194543603	0.634277866586468	-0.651585487929734	4.1756817781291e-08	7.47574582350046e-07	-0.812871127361919	5.21382191909225e-06	5.01337612633971e-05	93.838693448941	1.24537454716809e-15	1.6788894270373e-11
13	ADRA1A	-0.45790030662437	0.195333551346871	0.344311140913595	-1.41071784657442	0.000100048797808228	0.000749309912918176	-1.06633037208734	0.00392798334987332	0.0160318327398251	36.5690995110523	1.13648860978956e-09	1.53210029485731e-05
14	AHCTF1	0.0826029602721326	0.655144597985896	0.791154550799506	-1.28037542035952	5.08263988896474e-07	7.19738112848042e-06	-1.60303436867198	0	0	57.5473312161404	2.3115416295916e-12	3.11618927085244e-08
15	AKTIP	-0.107001813829687	0.513270084841363	0.678305461596551	-1.11652313116664	7.70145591744154e-09	1.62987954824222e-07	-0.723562693962866	7.98756792219635e-06	7.37032191369808e-05	31.1179543973676	8.35094094346781e-09	0.00011257903485889
16	ALDH5A1	0.0675688725621775	0.751876231004459	0.858608963932057	-1.04640260037363	1.45972208713818e-05	0.000136846407904797	-1.21978903808727	4.42343790840738e-06	4.33060032267537e-05	24.698081354229	1.17573187046871e-07	0.00158500413457886
17	ALDH6A1	-0.381231591551311	0.0492293848107554	0.120119698938243	-1.65769342906137	3.99680288865056e-12	1.45231535692448e-10	-0.864127051117435	6.37143300341592e-08	9.44920663575907e-07	48.9261118306535	2.33802201597492e-11	3.15188747973579e-07
18	ALK	-0.0873655712719648	0.802774524662458	0.888157847105014	-1.15455073565633	0.00222851043717354	0.0107602253594328	-1.05604239789005	0.00307493797871783	0.0130151456486955	31.5141786030388	7.17302598895045e-09	9.6699563357041e-05
19	ALKBH2	0.200952376173345	0.64832466748923	0.785553194537328	-2.08176887271332	0.00231477419969894	0.0110773877546595	-2.11174113926563	3.08524380931985e-06	3.12488142700533e-05	32.5164892217438	4.90822772861322e-09	6.61678180094348e-05
20	ALOXE3	0.230961377679033	0.554686614913657	0.712232617930375	-1.95161991354592	0.000288577220603381	0.00186496141464726	-2.02936520533899	1.74991132695368e-11	4.72756605183618e-10	76.8800255484642	2.93716063068902e-14	3.95958624623187e-10
21	ALS2	-0.00296013682645495	0.981481141180282	0.991260658094949	-0.916679869053898	6.14239259455474e-09	1.3270127334486e-07	-0.706380437260952	0.000658591669729258	0.00348585563393016	88.4885537385746	3.19749068167642e-15	4.31053718796799e-11
22	ANKRD31	0.529180167876379	0.158456636328518	0.296153322382469	-2.48986403666822	9.93888022993161e-08	1.64804482631867e-06	-2.43051431791802	1.2605694266199e-11	3.46810947760465e-10	26.1200131274605	6.3408065890838e-08	0.000854804136274388
23	ANKRD40	-0.255056491419903	0.20154744868925	0.352636100685241	-1.29625476504217	8.15938097087354e-07	1.09072274843697e-05	-1.01465049032148	7.45793049539145e-09	1.3351973573489e-07	70.0054099656405	1.24340852941528e-13	1.67623903850474e-09
24	AOC3	-0.65451758625682	0.13494274975615	0.263379645209592	-1.88746878837434	0.00124068785087239	0.006495422492276	-1.47444257083778	4.70359105841922e-06	4.56509078895245e-05	26.3603749176773	5.72323666369436e-08	0.000771549534632636
25	APBB1IP	0.182300867308779	0.412846736007246	0.588354855173407	-2.99357471081654	2.88324919495153e-11	9.19597007033601e-10	-3.10651417304287	0	0	88.1507783953781	3.39891277753519e-15	4.5820743153952e-11
26	APOL5	-0.198357127782051	0.244764713184021	0.406814584938206	-4.69113074317801	0	0	-4.63540449017665	0	0	488.94576958623	2.42049659509791e-28	3.26307145985149e-24
27	ARHGAP21	0.182016678848157	0.0770963719674034	0.170802989398942	-1.02467114570922	6.77924383296613e-12	2.33736537371398e-10	-1.21090972760085	1.15452314375375e-10	2.74984567154493e-09	72.3197299568759	7.55827525436426e-14	1.01893108704085e-09
28	ARHGAP23	-0.0705451084319453	0.731031473245009	0.844114371804365	-0.542131166234206	0.0122855077790121	0.0436533817524674	-0.746725887712363	0.000413842364436867	0.00234412139284597	71.6065978322261	8.79940388837304e-14	1.18624763819157e-09
