Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac
A1BG	1.90907433587404	0.000639242442125987	0.00339544025307345
A1CF	0.042504797846126	0.213994254643977	0.363714829115687
A2M	-0.962109686735988	0.176538162838058	0.324592331317492
A2ML1	0.180198171066009	0.00460110561638105	0.0183242259422254
A3GALT2	0.00851419189675924	0.234697373969095	0.363714829115687
A4GALT	-0.0390768144353316	0.765453636820963	0.847679266951797
A4GNT	0.042504797846126	0.213994254643977	0.363714829115687
AAAS	1.36250233104	2.60293594172012e-05	0.000206049203936165
AACS	0.00294591269397457	0.98991295773064	0.995451035593522
AADAC	0.00851419189675924	0.234697373969095	0.363714829115687
AADACL2	0.00554332436882297	0.920231110421951	0.951644338723406
AADACL3	0.0130860488968219	0.0831108028559115	0.184492566808777
AADACL4	0.00851419189675924	0.234697373969095	0.363714829115687
AADAT	-0.450800090547407	0.114684714975844	0.235896344612351
AAK1	-0.154119735731921	0.283578134986185	0.417850785632174
AAMP	-0.029362090642081	0.920408850363294	0.95170076228522
AANAT	0.070158542136144	0.670837389241759	0.774343594859847
AAR2	-0.318291382922879	0.367143627044656	0.508054119912647
AARD	0.160224480635309	0.0226254693356334	0.0665593962693859
AARS	0.699707623809043	0.000164000619194749	0.00104781627837176
AARS2	-0.0953157803701519	0.805092675714033	0.876409428399619
AASDH	0.730223877448566	0.0127688887140254	0.0419847289643356
AASDHPPT	0.697008602800517	0.0111120331434977	0.0375630187581477
AASS	0.368796127576094	0.353809777382837	0.493830006766266
AATF	-1.75691290183024	1.75589565110101e-09	3.53830033968502e-08
AATK	0.115869097727672	0.485525706357691	0.621196095991451
ABAT	0.752422380884202	0.0016995499888135	0.0078815388370123
ABCA1	1.15502793638525	0.000302639581235775	0.00179968424995125
ABCA10	2.25791029577561	1.94670772390992e-07	2.62961591443183e-06
ABCA12	-0.505002936225388	0.414736983775945	0.55544101711539
ABCA13	-0.652661492472242	0.336747886204589	0.47481416733857
ABCA2	0.708967945742468	2.3629998002761e-07	3.13539373105533e-06
ABCA3	0.179773219898117	0.232380979127364	0.363714829115687
ABCA4	0.391816535142907	0.103362570556538	0.217555670197704
ABCA5	0.911707920171915	2.40224871084216e-06	2.51434121668192e-05
ABCA6	1.37732637967071	2.2649543067077e-05	0.000182631374363099
