Fstat_Species	Anova_Species	AnovaAdj_Species
A1BG	14.8541461231893	1.59985760305757e-05	0.215676803468192
A1CF	1.73419574981855	0.189878808242317	1
A2M	0.169021931795149	0.845105663438881	1
A2ML1	4.06398881317089	0.0249357920656849	1
A3GALT2	17.5415795871413	3.68323734041791e-06	0.0496537225861738
A4GALT	2.78879451188002	0.0737881471622844	1
A4GNT	11.2880566374143	0.000135587771792929	1
AAAS	4.93738615151931	0.0122632976122812	1
AACS	2.65268399814333	0.0831497693228852	1
AADAC	0.635758898510574	0.534932364544017	1
AADACL2	1.67397827275052	0.200690535180299	1
AADACL3	16.5133077024092	6.37743723820709e-06	0.0859742314082698
AADACL4	1.0975262592083	0.343780429767976	1
AADAT	7.84192779226107	0.00137248259893186	1
AAK1	0.255266004783595	0.77599464769793	1
AAMP	0.328304985566063	0.722114242074745	1
AANAT	0.136272396183078	0.873018576116352	1
AAR2	21.5004043433531	5.08517843902351e-07	0.00685532905364759
AARD	4.76584519089043	0.0140690308169021	1
AARS	9.9211796378878	0.000328702742916328	1
AARS2	6.6798148459447	0.00320130308013507	1
AASDH	4.36800651341492	0.0194204836600478	1
AASDHPPT	7.50200048967967	0.00175167719468022	1
AASS	3.13957634630477	0.0544180726785175	1
AATF	28.6142267788235	2.24564684947765e-08	0.000302735651778082
AATK	65.3807822396	3.49858268984717e-13	4.71643932418297e-09
ABAT	10.3826860037824	0.000242656600225539	1
ABCA1	17.0566838145914	4.76236270422556e-06	0.0642014116156648
ABCA10	41.6095023601812	2.12106683410218e-10	2.85941019905315e-06
ABCA12	2.86159269079527	0.0692423237765734	1
ABCA13	6.63503234452879	0.00330998178813832	1
ABCA2	90.7630639998363	2.12955479534709e-15	2.87085281960741e-11
ABCA3	68.992583496736	1.55235438496685e-13	2.0927289463738e-09
ABCA4	17.9222011041693	3.01753988761545e-06	0.0406794552249439
ABCA5	68.0617511722574	1.90784623631289e-13	2.5719675111734e-09
ABCA6	32.2761204183143	5.37216769880235e-09	7.24221927475544e-05
ABCA7	27.9679131081622	2.92329212677116e-08	0.00039408901161002
ABCA8	6.98938475911717	0.00254550190856574	1
ABCA9	93.9575624957256	1.22017652622753e-15	1.64491997500733e-11
ABCB11	4.14858640708184	0.0232527218236513	1
ABCB4	2.25616288361379	0.118255143634609	1
ABCB5	0.290728970177031	0.749324602186964	1
ABCB6	9.97735130910815	0.000316701414499111	1
ABCB9	6.38321870778385	0.00399777567969606	1
ABCC1	2.18796141577138	0.125721527445868	1
ABCC10	50.350128623847	1.56463961965595e-11	2.10929067125819e-07
ABCC11	1.17747575840975	0.318766941016671	1
ABCC12	96.5411335146289	7.86577744225216e-16	1.06038545699001e-11
ABCC2	2.34922509976309	0.108810839624096	1
ABCC3	58.708972625389	1.7265199211901e-12	2.32752150575638e-08
ABCC4	24.8114547701622	1.11844017241029e-07	0.00150776919642632
ABCC5	12.1388227504411	7.96854024178851e-05	1
ABCC6	12.3154211462609	7.14891660628202e-05	0.963745447692879
ABCC8	30.115519928212	1.23348183998078e-08	0.000166285686847808
ABCC9	103.666427057553	2.46078817117542e-16	3.31738853356158e-12
ABCD2	0.931023305333334	0.402733352538526	1
ABCD3	5.49775935639369	0.00788140788088921	1
ABCD4	16.9548385623265	5.02862123010613e-06	0.0677908428030607
ABCE1	16.4030952559679	6.77022404207668e-06	0.0912693903112358
ABCF1	1.9343322077856	0.158136000389614	1
ABCF2	19.4002957446967	1.41772928620891e-06	0.0191124085073823
ABCF3	8.28536024039105	0.00100291078306421	1
ABCG4	64.2118670859435	4.58487888127418e-13	6.18087521984572e-09
ABCG5	7.48600219549406	0.00177203856850238	1
ABCG8	13.8221970648666	2.89980748811351e-05	0.390923047472582
ABHD1	10.2589751162734	0.00026310221335706	1
ABHD10	39.6897815639322	3.95242416057326e-10	5.32826301086881e-06
ABHD11	0.947282836281322	0.396534187163072	1
ABHD12	19.2424530700673	1.53470944774428e-06	0.0206894180650406
ABHD12B	34.6475820915897	2.24327795224293e-09	3.02416300741869e-05
ABHD13	22.7070671863544	2.88844429131596e-07	0.00389391174912305
ABHD14B	9.17206484499409	0.000543531856086306	1
ABHD15	3.57556829460982	0.0375148328319358	1
ABHD16A	13.5899996847714	3.32344153064763e-05	0.448033152746607
ABHD16B	2.65691918270253	0.0828403902510944	1
ABHD17A	64.5426236723272	4.24553753095063e-13	5.72340914547454e-09
ABHD17B	3.08645319386095	0.0569689456182926	1
ABHD17C	1.22528467013574	0.304729910663549	1
ABHD2	17.5191621762363	3.72697521163188e-06	0.0502433528280094
ABHD3	4.10357502005551	0.0241328205031252	1
ABHD4	21.1272268730212	6.07770931228545e-07	0.00819335992389202
ABHD5	16.2398354913257	7.39946317848745e-06	0.0997521631091893
ABHD6	15.3303922678717	1.22316991927072e-05	0.164895536816886
ABI1	10.3994775843495	0.000240012973390416	1
ABI2	105.641382835328	1.80449798890761e-16	2.43264373884634e-12
ABI3	2.14669159906004	0.130478841117895	1
ABL1	21.6893808438717	4.6490292547064e-07	0.0062673563382697
ABL2	27.5781579169219	3.43317092030046e-08	0.000462825771765705
ABLIM1	35.8306273839262	1.47178992716906e-09	1.9841200008166e-05
ABLIM2	27.9057795550508	2.99891885720404e-08	0.000404284251139677
ABLIM3	0.0396153187566362	0.961197733773191	1
ABR	6.36656176408853	0.00404827651654656	1
ABRA	1.2674935885607	0.292876997015656	1
ABTB1	66.5108652962428	2.70324397340315e-13	3.64424320054478e-09
ACAA1	77.9842951039317	2.35206400261064e-14	3.1708174819194e-10
ACAA2	10.9360953545319	0.000169664377724594	1
ACACA	0.11298627887125	0.893454197972509	1
ACACB	4.2635547452109	0.021154486880356	1
ACAD8	5.4411006747566	0.00823797408267416	1
