Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro
A1BG	0.93500155207325	0.0978489309262827	0.218435508392349
A1CF	0.274434760313976	0.469131421321268	0.65728130231054
A2M	-1.53154361952805	0.0190177497532134	0.0595397780824592
A2ML1	0.51982672525198	0.415933170655113	0.612005574503555
A3GALT2	-0.0386085828225525	0.0035115471269791	0.0143365132703832
A4GALT	-0.14895894822118	0.622201800083201	0.775289748753202
A4GNT	0.117039468714814	0.238892161891461	0.420761070611287
AAAS	-0.322374189927976	0.320404862393542	0.516116375902418
AACS	1.04850485512827	9.00175326048469e-05	0.000802066329838692
AADAC	-0.0276334280689838	0.0015376638666218	0.00704357682158629
AADACL2	-0.0276334280689838	0.0015376638666218	0.00704357682158629
AADACL3	-0.298887032238869	0.0160686651333688	0.0517490861593275
AADACL4	-0.0276334280689838	0.0015376638666218	0.00704357682158629
AADAT	-1.08501473507155	0.0316973342789586	0.0906858581100681
AAK1	-0.282622357052476	0.0137101765786292	0.0451899487668704
AAMP	1.39261633345251	0.012410517581896	0.0415461106336083
AANAT	-0.0331552453252943	0.000181436558708059	0.00145332516217668
AAR2	-1.14716048418391	0.0151991036218817	0.0493257380661019
AARD	-0.165282081821136	0.374374918923742	0.572551086453949
AARS	0.821780478676518	2.18980908250899e-06	2.88007963329792e-05
AARS2	0.235506813595675	0.418939241006744	0.614617467407979
AASDH	-0.414675466466465	0.220761274740917	0.396916877138211
AASDHPPT	-0.366043255709933	0.218447825980842	0.394282386135724
AASS	-0.446809571565116	0.040683774764835	0.109729019514872
AATF	1.85338018217325	1.58530655269828e-09	3.80953968572648e-08
AATK	0.639632484188199	0.00279063598112672	0.0117658562712079
ABAT	0.660867027136221	0.000171330955115012	0.00139728530302812
ABCA1	0.580320126520623	0.0358086715980557	0.0992468548136078
ABCA10	-5.26036768181455	0	0
ABCA12	0.12015862045668	0.787871941058093	0.886153881824335
ABCA13	-0.452291789089189	0.182665451690091	0.346539959785269
ABCA2	-0.623493883879673	0.00355187631770915	0.0144836190680693
ABCA3	0.0129867350513775	0.957134251670656	0.976991508046651
ABCA4	0.450617124128666	0.419773280552292	0.615640077798677
ABCA5	-0.281773639171501	0.129328656953525	0.269471348437476
ABCA6	0.0147882001681288	0.979749074569513	0.989169112352817
ABCA7	-0.461921803571536	0.437748773662132	0.630008293744029
ABCA8	0.0279464151342389	0.884087281685688	0.940083660230696
ABCA9	-0.564911657161393	0.146274713120603	0.295022353018978
ABCB11	0.076986920705076	0.717916410923779	0.841951381962894
ABCB4	0.280318829808047	0.5539145693407	0.725955973519859
ABCB5	-0.0112455144976973	0.961094894083017	0.979254800629821
ABCB6	-1.84807708491561	0.000492558740506466	0.00347108436004583
ABCB9	0.143014224862825	0.767220599740902	0.871935668951871
ABCC1	-0.735698557346033	0.171197675982153	0.329702267130772
ABCC10	-1.34410769494202	9.00318305019354e-07	1.2898183921324e-05
ABCC11	0.176061396686566	0.730999861487611	0.849759833362718
ABCC12	0.199830680536433	0.514996496690224	0.694478498557415
ABCC2	-2.67903527733438	3.90661976767959e-07	6.04768330135736e-06
ABCC3	-2.82291399596419	1.97113436684049e-10	5.44525868839685e-09
ABCC4	-0.299550748009533	0.671385068855795	0.809493078726856
ABCC5	0.394448846114687	0.00465138686658206	0.0183402592419985
ABCC6	0.0639842699075636	0.930841825099619	0.963356260108089
ABCC8	-0.248849774178787	0.629012467868709	0.781324710157382
ABCC9	2.70080147475119	0.000400224902713298	0.00289476444142383
ABCD2	0.372593833038493	0.531490454524457	0.708706510132958
ABCD3	0.492630633798485	0.065233807174027	0.159170489504626
ABCD4	0.524495578809393	0.00404230092182978	0.0162221183291057
ABCE1	-1.27463416923075	1.56065663747817e-06	2.11662093861602e-05
ABCF1	0.950712885187914	2.8412549518908e-05	0.000285629813619985
ABCF2	1.55838033229153	3.11772829775236e-12	1.18394634315492e-10
ABCF3	0.105077649033733	0.799201093756003	0.89211144695907
ABCG4	0.0631506887931328	0.906563962165528	0.951895690782263
ABCG5	-0.0276334280689838	0.0015376638666218	0.00704357682158629
ABCG8	-0.113497294750777	0.439054434255615	0.631210931359161
ABHD1	0.493410990957179	0.295866242236839	0.489014806039849
ABHD10	0.308504243659196	0.522275587745324	0.700437445124822
ABHD11	-0.00734301883642598	0.986909167449797	0.992578520321599
ABHD12	-0.585646384266585	0.0430587036470838	0.114763618795242
ABHD12B	-0.0976856091976475	0.880625644424061	0.93834255892544
ABHD13	0.136878355510421	0.738427987458635	0.85433811353672
