Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac
A1BG	1.64988993436421	0.00152769661205721	0.0058095565661899
A1CF	-0.0711575372758998	0.879306535146783	0.930157831160843
A2M	0.0925207766156632	0.898618356544033	0.941792277429069
A2ML1	1.38149853508682	0.00822434587715803	0.025365455678327
A3GALT2	-0.0144029875731399	0.158005699517665	0.266859788924785
A4GALT	0.570403019834975	0.0578339171431062	0.117489306360189
A4GNT	0.171036028126375	0.0562767578208205	0.114654219764619
AAAS	1.1558853032132	0.00027006798465834	0.0012417416443312
AACS	0.140020051754536	0.594673876972869	0.718286760637151
AADAC	-0.0175704087202202	0.0310947804706392	0.0697253385769606
AADACL2	-0.0175704087202202	0.0310947804706392	0.0697253385769606
AADACL3	-0.0175704087202202	0.0310947804706392	0.0697253385769606
AADACL4	-0.0175704087202202	0.0310947804706392	0.0697253385769606
AADAT	1.11945142898806	0.0220505356684793	0.0590628395284659
AAK1	-0.725454386617708	4.38019398529832e-10	5.44736117304489e-09
AAMP	1.3259362385272	0.00255112774909394	0.00911039819484382
AANAT	-0.0658960280174156	0.222255854369986	0.348319608643013
AAR2	-1.2219064517968	0.0190229160413511	0.0520706459194831
AARD	0.0702909683284493	0.355941513551981	0.497403083258449
AARS	1.17178675151439	4.32149871443244e-11	6.07488260367713e-10
AARS2	0.301498976257694	0.277406642011841	0.414052141381934
AASDH	-0.519229691026882	0.070821211493681	0.138448299135507
AASDHPPT	-0.449597416085838	0.138593596554474	0.240512439474873
AASS	0.664730970824326	0.00275615816488983	0.00976241939592219
AATF	0.443487591849898	0.217358341799154	0.342594154775447
AATK	0.742996127212509	0.00333413688043183	0.011569497885483
ABAT	0.729351681757046	5.9331934765039e-05	0.000315399768362575
ABCA1	-0.148553311477677	0.512266836240624	0.64468532667661
ABCA10	1.25719881396521	0.033470442417499	0.0740789745904291
ABCA12	0.782157075632378	0.0617007665964544	0.123888596140423
ABCA13	0.352230234202516	0.17962189385505	0.295122821579516
ABCA2	0.309370656613013	0.126659918602846	0.222969752244054
ABCA3	0.343885981372355	0.152735342507123	0.260933361087128
ABCA4	0.869976763675151	0.108964122944029	0.197704621993063
ABCA5	1.34375742736732	0	0
ABCA6	4.44762855532876	0	0
ABCA7	-3.27369398995773	1.17766623564108e-07	1.02558905185255e-06
ABCA8	-1.08083930339152	4.51909975662801e-07	3.5337577621289e-06
ABCA9	3.91894562458828	0	0
ABCB11	0.408788142853674	0.0491012784234242	0.10222924083802
ABCB4	-0.744446882102999	0.140499236857517	0.243172449874976
ABCB5	-0.142913955772696	0.475277059264712	0.612251317338518
ABCB6	-1.03120284878636	0.00668549957086362	0.021160257786007
ABCB9	1.05195036847953	0.0186465019337663	0.0512437615589385
ABCC1	0.0678240167659656	0.903737930083558	0.944521283540615
ABCC10	-1.08134742068372	7.93786728880974e-05	0.000410315908437286
ABCC11	0.795255469631182	0.119106351565871	0.212194096135788
ABCC12	0.486491478201068	0.0776138856668784	0.149494612469665
ABCC2	-1.23199506855019	0.0353688764470934	0.0775928109655437
ABCC3	-1.05467002683715	0.0480457758080508	0.100279471074212
ABCC4	-1.09326469947071	0.166695230991815	0.278569283376801
ABCC5	-0.341758721893026	0.0455510439834537	0.0958292172192476
ABCC6	1.00094011799519	0.0840215438376903	0.159624356324113
ABCC8	-0.804962164681922	0.194005971224354	0.31393524163672
ABCC9	2.28331411587379	0.0155458730722637	0.043880635445391
ABCD2	-0.128087590476092	0.837436280329497	0.90192921356472
ABCD3	-1.40814954903568	1.7396675959791e-06	1.23110020269786e-05
ABCD4	-1.91621416537048	0	0
ABCE1	-0.423888994500186	0.206072563355074	0.328998605706982
