Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	A1BG	0.93500155207325	0.0978489309262827	0.218435508392349	1.64988993436421	0.00152769661205721	0.0058095565661899	0.439041301062121	0.459318904436255	0.638091909063581	3.9570106856516	0.0306560308402285	1
2	A1CF	0.274434760313976	0.469131421321268	0.65728130231054	-0.0711575372758998	0.879306535146783	0.930157831160843	-0.219345050035309	0.542929870319281	0.665647090762795	0.877271223194676	0.427038048108292	1
3	A2M	-1.53154361952805	0.0190177497532134	0.0595397780824592	0.0925207766156632	0.898618356544033	0.941792277429069	1.12388117492475	0.274672434871502	0.440135396945527	1.52773643092172	0.234573198570156	1
4	A2ML1	0.51982672525198	0.415933170655113	0.612005574503555	1.38149853508682	0.00822434587715803	0.025365455678327	0.996413189663969	0.0151753803474648	0.0445221550520507	8.86526204684857	0.00104070091870192	1
5	A3GALT2	-0.0386085828225525	0.0035115471269791	0.0143365132703832	-0.0144029875731399	0.158005699517665	0.266859788924785	0.0272546268547435	0.116804147202448	0.231905258974404	6.99597731115562	0.00343468704881957	1
6	A4GALT	-0.14895894822118	0.622201800083201	0.775289748753202	0.570403019834975	0.0578339171431062	0.117489306360189	0.805764055097161	0.0548212046145224	0.1289781255512	3.79845957510902	0.034708725615082	1
7	A4GNT	0.117039468714814	0.238892161891461	0.420761070611287	0.171036028126375	0.0562767578208205	0.114654219764619	0.00422776104330407	0.557215890457543	0.665647090762795	0.37795605467324	0.688703631692598	1
8	AAAS	-0.322374189927976	0.320404862393542	0.516116375902418	1.1558853032132	0.00027006798465834	0.0012417416443312	1.43174788396746	1.11022302462516e-15	2.49865051668977e-14	8.63051973045619	0.00120245575980947	1
9	AACS	1.04850485512827	9.00175326048469e-05	0.000802066329838692	0.140020051754536	0.594673876972869	0.718286760637151	-0.789695597422681	0.0121493283976064	0.0367395908766559	3.61886810679673	0.0400037253280584	1
10	AADAC	-0.0276334280689838	0.0015376638666218	0.00704357682158629	-0.0175704087202202	0.0310947804706392	0.0697253385769606	0.00422776104330407	0.557215890457543	0.665647090762795	6.06202936253602	0.0064944807765164	1
11	AADACL2	-0.0276334280689838	0.0015376638666218	0.00704357682158629	-0.0175704087202202	0.0310947804706392	0.0697253385769606	0.00422776104330407	0.557215890457543	0.665647090762795	6.06202936253602	0.0064944807765164	1
12	AADACL3	-0.298887032238869	0.0160686651333688	0.0517490861593275	-0.0175704087202202	0.0310947804706392	0.0697253385769606	0.143113523387431	0.085105884651685	0.183275178309427	3.86835518620103	0.0328555260251324	1
13	AADACL4	-0.0276334280689838	0.0015376638666218	0.00704357682158629	-0.0175704087202202	0.0310947804706392	0.0697253385769606	0.00422776104330407	0.557215890457543	0.665647090762795	6.06202936253602	0.0064944807765164	1
14	AADAT	-1.08501473507155	0.0316973342789586	0.0906858581100681	1.11945142898806	0.0220505356684793	0.0590628395284659	1.66316488976898	8.53247465073537e-05	0.000457179216083321	7.88846004049433	0.00191769523295183	1
15	AAK1	-0.282622357052476	0.0137101765786292	0.0451899487668704	-0.725454386617708	4.38019398529832e-10	5.44736117304489e-09	-0.393700398503808	0.000189227080790166	0.000946205592037178	31.1465037652788	7.60422174822137e-08	0.00102512513387772
16	AAMP	1.39261633345251	0.012410517581896	0.0415461106336083	1.3259362385272	0.00255112774909394	0.00911039819484382	-0.536374042642043	0.419407423334604	0.597329770689091	2.22505903829683	0.126819051011832	1
