Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA2	-0.623493883879673	0.00355187631770915	0.0144836190680693	0.309370656613013	0.126659918602846	0.222969752244054	0.98101825655035	1.86717308281459e-12	3.02177194831014e-11	57.7031291075758	1.17019699690518e-10	1.57754257152788e-06
2	ABLIM3	-1.64267484766479	3.85846909978227e-12	1.44088703418739e-10	0.382637612118265	0.250303784680913	0.383632490701096	1.93407435212103	2.62766349434784e-06	1.88222803226904e-05	24.4597251983032	7.17308577779354e-07	0.00967003693704347
3	ABTB1	-1.62016695486568	0.00053998361263341	0.00377568417111566	0.822196143485801	0.0662897517961558	0.131361479342052	2.35371088021986	1.99561478453347e-10	2.60182620022203e-09	25.5928142991219	4.77708840079354e-07	0.00643999287310978
4	ADAT2	-1.86679703106891	0.000180753155506252	0.00145332516217668	0.837998357542112	0.131540248699337	0.230567428515896	2.44608523372744	5.04907227139029e-12	7.84176766020881e-11	22.2747034312385	1.62681554118058e-06	0.0219311003106555
5	ADD3	-0.652143678001243	1.74945579283214e-05	0.000184253230806017	0.227518780412871	0.17235552076583	0.28572611601625	0.903349177227103	0	0	22.6303733140331	1.41910219905376e-06	0.0191309167454438
6	AGPAT3	-0.878151935107358	1.60361064565073e-05	0.000170625691507636	-0.262759767846754	0.272098963555185	0.408481751412856	0.551032161380217	0.00621121325662988	0.0206290628018299	25.5855270722862	4.78941481925075e-07	0.00645661011783194
7	AGTRAP	-2.91348281410574	1.83897341798911e-12	7.29152960232682e-11	-0.230247988500661	0.555854579430787	0.683681762860506	3.03567783380761	0	0	63.8808146126145	3.67930425604224e-11	4.96007006757055e-07
8	AKAP3	-3.16008413023223	0	0	-0.522195242492456	0.215406188888353	0.340392783073952	2.61505272423561	9.86011272630094e-12	1.48352879088463e-10	52.4694122347912	3.38132379534097e-10	4.55836260849917e-06
9	ANKRD52	-0.802238590665914	5.4821040064601e-05	0.000518262581424184	-0.406277283433772	0.0972410619231123	0.180168517956703	0.424899261972477	0.00171071286339131	0.00674133882238474	35.6617728711488	2.00208000731399e-08	0.000269900405785999
10	ARG2	-3.33286823772327	3.4158675887852e-11	1.09785896775688e-09	0.443292630200353	0.39963825209778	0.540807395756894	3.63959681715811	0	0	36.4856462951856	1.59016289575958e-08	0.00021436985997735
11	ATMIN	-2.2175109962666	0	0	0.114094800871654	0.585109257087478	0.709658829941187	2.43731670891288	0	0	77.9573059733572	3.59405854154765e-12	4.84515031986039e-08
12	AVL9	-0.520000584241835	0.000993372556386207	0.00644139270449373	0.240465438779565	0.139160144212636	0.241195410662193	0.689983429239525	0.000194369272044526	0.000971197982369255	23.0008801024235	1.23260447218348e-06	0.0166167408895055
13	BACE1	-0.505632356216224	0.000718115684653631	0.00486478268583698	0.168180862816333	0.375021234585357	0.516410752139448	0.464788697889433	0.0170516930150797	0.0490345293379457	22.5977953606716	1.43689011658057e-06	0.0193707156616227
14	BDP1	-1.69663387357698	0	0	0.345530788068734	0.0761456639370375	0.147361426289865	2.13389103632818	1.28785870856518e-14	2.61470229671193e-13	54.2838625905285	2.31920630642734e-10	3.1265220216947e-06
15	BTBD11	-4.5196773972698	0	0	-0.0879534900252427	0.84867819236001	0.910040622908471	4.74801567936719	0	0	109.933808643662	5.50979386297875e-14	7.42775310668165e-10
16	C10orf90	-1.38357257318602	0	0	-0.260364384606478	0.0542012201920921	0.111012860742873	1.04623346162464	1.89947302331461e-09	2.18488019004303e-08	53.1589153997761	2.92644971923737e-10	3.9451468665039e-06
17	C2CD4A	-1.73300472539144	1.77635683940025e-15	1.03220114448081e-13	-0.144754632898764	0.425775085154228	0.567237268797722	1.57801829878568	0.000537825515366297	0.00240398732515022	38.3956911225982	9.45484631016712e-09	0.000127460783107363
18	C3orf20	-3.10897252189466	1.45054206424078e-08	2.87147688223641e-07	-0.868262791705049	0.148848666678863	0.255296294592589	2.8850246935912	1.48327810167714e-06	1.10414533896795e-05	30.9273786244008	8.14024329927724e-08	0.00109738619917556
19	CCS	-1.36604542320898	2.35145236615608e-13	1.0673376884899e-11	-0.501969452976002	0.0777054372224777	0.149649571313746	0.950546730566464	1.30816277965629e-06	9.82470330503977e-06	52.4592508457925	3.38856889052757e-10	4.56812972132022e-06
20	CD300A	-2.91274857082239	2.87863066716909e-11	9.35104096966422e-10	0.591658869366588	0.308039585310696	0.448066643242716	3.69339534611789	0	0	22.7508671367917	1.35533367608061e-06	0.0182712532872427
21	CD320	-1.49975239375964	2.98072769688851e-06	3.78729406991084e-05	0.50963897716098	0.220049526024384	0.345704190692777	1.91849242442856	0.00012467265459315	0.00064543473754618	21.391139763517	2.2975703098289e-06	0.0309735453468034
22	CD5L	-1.88538612490944	3.46294104502931e-11	1.10625374947962e-09	-0.0998192014460579	0.611213779543027	0.731657793140228	1.56325747579439	3.83509042301e-08	3.65377060018359e-07	24.404679389192	7.3183720660391e-07	0.00986589738222731
23	CDRT1	-1.10125860095583	3.44331757975436e-05	0.000339322838396699	-0.172466065212483	0.219256384345966	0.344980779337998	0.951764399093488	0.0116572329713298	0.0354944182556782	26.3990960719373	3.60237922116304e-07	0.00485636742804989
24	CILP	-4.24421185677185	0	0	0.4048116848212	0.453326615405477	0.592696741565439	4.80441172092891	0	0	75.3774212752257	5.35307115999629e-12	7.216475230791e-08
25	CLEC2D	-3.0368687505838	2.01590255599626e-09	4.73456138630412e-08	0.950561318352604	0.097958106884982	0.181148592443956	3.96324642986416	0	0	36.0673136960593	1.78662099479687e-08	0.000240854376308566
26	CNTNAP3	-3.62918216922101	2.53879584022343e-09	5.80093334272069e-08	-0.731649681882514	0.235601863842712	0.365662989461617	3.01669532530689	3.42392780794398e-13	6.00233690232677e-12	35.2975852001302	2.219389116046e-08	0.000299195846734162
27	COL11A2	-2.21310560862371	1.77452363914199e-09	4.22656416594932e-08	0.434399912154754	0.35614268888423	0.49756593981953	2.57176549365088	1.32423553012018e-07	1.17835110109242e-06	40.1963588355412	5.89129764770583e-09	7.94205835887223e-05
28	CREB3L3	-1.39796103772921	0.00030813770761462	0.00231937712805845	0.151853635654511	0.566827321474243	0.693254719696163	1.40415309657159	9.572013626169e-07	7.34853734022689e-06	20.4616766689059	3.33490027575833e-06	0.044957790617498
29	CREG2	-2.74522649391209	1.02210456027763e-05	0.000114299856323838	0.851315071604024	0.222053692004769	0.348319608643013	4.29141516449593	0	0	23.9988056497127	8.49206382837714e-07	0.0114481512470352
30	CRTC3	-1.18438724700335	4.26626699212562e-06	5.21901500189161e-05	-0.119544198137894	0.634810025191535	0.750559020312847	1.16346362512944	2.53908405412062e-09	2.87159329979867e-08	27.3250969280793	2.62299925435365e-07	0.00353606529479416
31	CRYGS	-2.15074861574527	2.94125690625258e-06	3.74420059992361e-05	0.0556927935261116	0.918366888955328	0.95447567882251	2.52883388639015	0	0	20.3470623016712	3.49412252238729e-06	0.047104265724303
