Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	AARS	0.821780478676518	2.18980908250899e-06	2.88007963329792e-05	1.17178675151439	4.32149871443244e-11	6.07488260367713e-10	0.463072234624426	0.105477590124654	0.214924938402427	23.1032178958179	1.18585181827895e-06	0.0159864683622186
2	ABCF2	1.55838033229153	3.11772829775236e-12	1.18394634315492e-10	0.911168256897927	9.28912611115607e-05	0.000473984515914061	-0.447917345491394	0.107026971477595	0.217195634877234	36.7676740715928	1.4708580683951e-08	0.000198286376200344
3	ABR	1.3881424113203	1.83468795711406e-11	6.10701934564311e-10	1.75930410298195	5.97966496762581e-07	4.59065281483847e-06	0.519515244663571	0.298214730101801	0.467305913809412	22.9098110084801	1.27587168414063e-06	0.0172000261738998
4	ACBD6	1.59166407065008	1.84077051490483e-06	2.46674227747833e-05	2.13324244628557	3.64264174379514e-12	5.75691129520542e-11	0.36567762131015	0.169841095512939	0.307250108509115	25.0380483522777	5.82048443834644e-07	0.00784659507133483
5	ACSL6	1.45693912280706	2.79512857304098e-10	7.5362256586331e-09	1.04250591430766	0.000622105352656943	0.00262650927923641	-0.309034255541402	0.369648257346835	0.544555584886098	34.4635093161391	2.8182821853549e-08	0.000379932621407695
6	ADAM20	2.59995406092773	8.02112949394029e-08	1.404322684517e-06	2.81552005771984	2.7275903002888e-07	2.21110311714932e-06	0.377404337412549	0.283345697852825	0.449566536163441	44.9426943966878	1.81874878635491e-09	2.45185523888506e-05
7	ADAMTS9	2.20633072585011	2.54154656114114e-05	0.000257613452561983	3.41908878314521	6.66133814775094e-16	1.55905381197622e-14	1.52999279105403	0.132477227639556	0.255205130867227	31.3366065861797	7.16978866018668e-08	0.000966559209279766
8	AGPAT4	1.13517025320807	1.54585233502758e-11	5.18398888768824e-10	1.06499067823481	1.82624022571076e-07	1.53297288186842e-06	-0.265602535802185	0.0500204411069658	0.119624900933654	25.941053650502	4.22590038484155e-07	0.00569693630880489
9	AIMP1	3.23978718740149	0	0	3.25632263320526	6.66133814775094e-16	1.55905381197622e-14	-0.0743143205616168	0.891207028869236	0.923613311514927	83.0409910343081	1.69207409137014e-12	2.28108508257608e-08
10	AK2	1.22016311497741	4.21884749357559e-15	2.35992875771339e-13	1.41544703250838	2.1094237467878e-14	4.17579170784821e-13	0.186076381444694	0.238602096627289	0.397355758447497	51.4936626229629	4.15913103643455e-10	5.60692455021741e-06
