Gene	Estimate_HsapVsPanTro	Pval_HsapVsPanTro	FDR_HsapVsPanTro	Estimate_HsapVsRheMac	Pval_HsapVsRheMac	FDR_HsapVsRheMac	Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac	Fstat_Species	Anova_Species	AnovaAdj_Species
1	ABCA7	-0.461921803571536	0.437748773662132	0.630008293744029	-3.27369398995773	1.17766623564108e-07	1.02558905185255e-06	-2.88000465722929	2.22044604925031e-16	5.20588403303365e-15	41.1620324919624	4.60075241781015e-09	6.20227433444987e-05
2	ABCA8	0.0279464151342389	0.884087281685688	0.940083660230696	-1.08083930339152	4.51909975662801e-07	3.5337577621289e-06	-1.14697360898226	3.10862446895044e-15	6.6414209930144e-14	33.6059885416895	3.61851411548824e-08	0.00048781188790897
3	ABCD3	0.492630633798485	0.065233807174027	0.159170489504626	-1.40814954903568	1.7396675959791e-06	1.23110020269786e-05	-2.00364115811968	7.61148921668564e-11	1.03646955687009e-09	31.7034903281475	6.40473769698566e-08	0.000863422688930636
4	ABHD14B	-0.304189914681048	0.404280069676719	0.600826768747862	-1.56590789981416	2.8260474639108e-05	0.00015973981493074	-1.19332997629007	0.0130310500890465	0.0390554882726624	33.1440188973047	4.14782160213295e-08	0.000559167830183543
5	ACSM5	1.12200461752979	0.0409309652804715	0.110313943012002	-5.28732856318901	0	0	-6.21942718351552	0	0	78.8028925984055	3.161777586689e-12	4.26239236461545e-08
6	ACTL7B	-0.0257687469059499	0.155349047613635	0.307888931325993	-1.36784430676061	4.99547758270324e-07	3.87257235724108e-06	-1.39957309650929	0.000675059464324335	0.00294277222482556	28.6318130195869	1.69636485096192e-07	0.00228686945558177
7	ADCY10	-0.159270285824195	0.714694703813532	0.839560761773286	-4.59840469908909	0	0	-4.46023278607967	0	0	101.033675910256	1.56402081454107e-13	2.10845646008282e-09
8	ADORA1	-0.279530399345844	0.374194873778303	0.572525376620736	-1.06672213411202	0.00138065037334179	0.00530877001797507	-0.733429850740063	9.01364522192249e-05	0.000479908970129294	40.126699434414	5.99833705537136e-09	8.08635818434613e-05
9	AFAP1L1	0.0442819376311939	0.932191730164762	0.963939304621551	-3.70541927182015	3.84476841475134e-08	3.62456804190649e-07	-3.91467830971407	0	0	34.8799497137591	2.50012655665812e-08	0.000337042061103082
10	AHCTF1	-0.199499462869501	0.415779681620189	0.611913306541678	-1.44859868105483	3.17967874252645e-13	5.62536077795263e-12	-1.3383339617496	0	0	29.347167773027	1.34382379105403e-07	0.00181160885271993
11	AIG1	-0.379019936929836	0.120192160912716	0.254365858911196	-1.52861809346169	3.6010019945909e-06	2.39847370993478e-05	-1.4036977615764	2.3019364192578e-11	3.34040956598648e-10	26.443072923154	3.54792514628158e-07	0.0047829578897022
12	AIM2	0.16443547777582	0.573995924821109	0.740411354177913	-2.00693434946719	1.17620983397515e-07	1.0249828553212e-06	-1.97107092293771	5.17681094369671e-06	3.51402760986784e-05	22.1178272550448	1.72858153017375e-06	0.0233030076082723
