Estimate_PanTroVsRheMac	Pval_PanTroVsRheMac	FDR_PanTroVsRheMac
A1BG	0.439041301062121	0.459318904436255	0.638091909063581
A1CF	-0.219345050035309	0.542929870319281	0.665647090762795
A2M	1.12388117492475	0.274672434871502	0.440135396945527
A2ML1	0.996413189663969	0.0151753803474648	0.0445221550520507
A3GALT2	0.0272546268547435	0.116804147202448	0.231905258974404
A4GALT	0.805764055097161	0.0548212046145224	0.1289781255512
A4GNT	0.00422776104330407	0.557215890457543	0.665647090762795
AAAS	1.43174788396746	1.11022302462516e-15	2.49865051668977e-14
AACS	-0.789695597422681	0.0121493283976064	0.0367395908766559
AADAC	0.00422776104330407	0.557215890457543	0.665647090762795
AADACL2	0.00422776104330407	0.557215890457543	0.665647090762795
AADACL3	0.143113523387431	0.085105884651685	0.183275178309427
AADACL4	0.00422776104330407	0.557215890457543	0.665647090762795
AADAT	1.66316488976898	8.53247465073537e-05	0.000457179216083321
AAK1	-0.393700398503808	0.000189227080790166	0.000946205592037178
AAMP	-0.536374042642043	0.419407423334604	0.597329770689091
AANAT	-0.0339243371495588	0.712690027630505	0.792197745917451
AAR2	-0.031206918960642	0.921403503955516	0.945099340852493
AARD	0.269496382769699	0.0932469138370353	0.19724802219317
AARS	0.463072234624426	0.105477590124654	0.214924938402427
AARS2	0.183638241459496	0.370913641524313	0.545249679884882
AASDH	-0.222439200342331	0.141418893884359	0.267988207542177
AASDHPPT	0.0988244522130011	0.69261469724663	0.777027825843011
AASS	0.922928891524704	5.44309279870703e-08	5.10991183978896e-07
AATF	-1.21373501994251	0.00414288057182222	0.0144952434437413
AATK	-0.0937382421776671	0.675682610965553	0.763847151230744
ABAT	0.175193522047125	0.446049862362286	0.625137560505872
ABCA1	-0.557484450657868	0.0205676747907912	0.0575135498557678
ABCA10	6.56060612248857	0	0
ABCA12	0.349488201364395	0.0670226414118291	0.151523097245157
ABCA13	0.235811948822727	0.541107946003617	0.665647090762795
ABCA2	0.98101825655035	1.86717308281459e-12	3.02177194831014e-11
ABCA3	0.285164951327736	0.419582596123877	0.597418675174954
ABCA4	0.49611433157449	0.0952568371428899	0.1998491859276
ABCA5	1.55567412641984	2.95272695183257e-11	4.22565945198035e-10
ABCA6	3.89140994304607	0	0
ABCA7	-2.88000465722929	2.22044604925031e-16	5.20588403303365e-15
ABCA8	-1.14697360898226	3.10862446895044e-15	6.6414209930144e-14
ABCA9	4.4327823084657	0	0
ABCB11	0.14389697055247	0.247792057026406	0.408222500399972
ABCB4	-0.965164090573016	0.031612663260455	0.0823381062587557
ABCB5	-0.00113938895404566	0.99399736878631	0.997103841700145
ABCB6	0.460959350732765	0.372630471145897	0.546797799229111
ABCB9	0.913840158910703	0.00365679880507641	0.0130072044040198
ABCC1	0.963154795202557	0.00278521568023304	0.0102757232033995
ABCC10	0.0576891612082055	0.659631078089504	0.751040713409487
ABCC11	0.207581022746897	0.617308561138178	0.719082062793034
ABCC12	0.201408328287598	0.218779541208297	0.372912756989386
