Fstat_Species	Anova_Species	AnovaAdj_Species
A1BG	3.9570106856516	0.0306560308402285	1
A1CF	0.877271223194676	0.427038048108292	1
A2M	1.52773643092172	0.234573198570156	1
A2ML1	8.86526204684857	0.00104070091870192	1
A3GALT2	6.99597731115562	0.00343468704881957	1
A4GALT	3.79845957510902	0.034708725615082	1
A4GNT	0.37795605467324	0.688703631692598	1
AAAS	8.63051973045619	0.00120245575980947	1
AACS	3.61886810679673	0.0400037253280584	1
AADAC	6.06202936253602	0.0064944807765164	1
AADACL2	6.06202936253602	0.0064944807765164	1
AADACL3	3.86835518620103	0.0328555260251324	1
AADACL4	6.06202936253602	0.0064944807765164	1
AADAT	7.88846004049433	0.00191769523295183	1
AAK1	31.1465037652788	7.60422174822137e-08	0.00102512513387772
AAMP	2.22505903829683	0.126819051011832	1
AANAT	1.10872102127212	0.344036617894085	1
AAR2	17.3672524728454	1.24486365027567e-05	0.167820068693663
AARD	1.43399872211531	0.255325423020275	1
AARS	23.1032178958179	1.18585181827895e-06	0.0159864683622186
AARS2	2.38309745429043	0.110725664273119	1
AASDH	2.36426223305238	0.112523303733851	1
AASDHPPT	1.47226912383485	0.246624573319087	1
AASS	8.44256058424447	0.00135138412247098	1
AATF	30.4414147889233	9.47899365199604e-08	0.00127786313422559
AATK	6.33395685111136	0.00537880664182682	1
ABAT	19.8561730016865	4.27427426960551e-06	0.0576214914285519
ABCA1	7.80652139565412	0.00202107771315709	1
ABCA10	93.8037636684909	3.88076704188529e-13	5.23166204916556e-09
ABCA12	1.46128821172443	0.249088132948147	1
ABCA13	3.078550526193	0.0618697519455555	1
ABCA2	57.7031291075758	1.17019699690518e-10	1.57754257152788e-06
ABCA3	9.49496049434449	0.00071145335529987	1
ABCA4	1.91988787739815	0.165436919051744	1
ABCA5	39.7275402945828	6.65326895319165e-09	8.96927187579767e-05
ABCA6	30.7583733956456	8.58128584552128e-08	0.00115684314483472
ABCA7	41.1620324919624	4.60075241781015e-09	6.20227433444987e-05
ABCA8	33.6059885416895	3.61851411548824e-08	0.00048781188790897
ABCA9	91.9439176269823	4.95140102556361e-13	6.6749837225623e-09
ABCB11	0.552995676520783	0.581378403499343	1
ABCB4	2.46656762718624	0.10312153046314	1
ABCB5	0.349504604797787	0.708069337663962	1
ABCB6	10.5652124161861	0.000381333680972831	1
ABCB9	5.07225870548545	0.0131875066706808	1
ABCC1	3.23088061422674	0.0546371291836789	1
ABCC10	46.7768699885941	1.18428404285851e-09	1.59653331817755e-05
ABCC11	0.400993344209343	0.673438907963916	1
ABCC12	1.01345697734634	0.375891622268224	1
ABCC2	21.8261732341557	1.93636220672359e-06	0.0261040989088407
ABCC3	11.7039338241905	0.000202207927227916	1
ABCC4	1.64479061265824	0.211162079181429	1
ABCC5	21.4776391195822	2.2203760549453e-06	0.0299328895967175
ABCC6	5.60304488478284	0.00897972463422492	1
ABCC8	3.05172715557907	0.0632463185356856	1
ABCC9	12.4602216714481	0.000134736048058421	1
ABCD2	1.32239779237487	0.282629985550492	1
ABCD3	31.7034903281475	6.40473769698566e-08	0.000863422688930636
ABCD4	153.947139567783	7.82304699560487e-16	1.05462496547749e-11
ABCE1	12.6046120289624	0.000124851992818123	1
ABCF1	11.2710220847069	0.000256491630003332	1
ABCF2	36.7676740715928	1.4708580683951e-08	0.000198286376200344
ABCF3	2.21651471996373	0.127757737111747	1
ABCG4	3.08027042941197	0.0617825890910594	1
ABCG5	6.06202936253602	0.0064944807765164	1
ABCG8	3.86689100844391	0.0328932408961809	1
ABHD1	10.0965770493123	0.000499364346653257	1
ABHD10	0.636489793741562	0.536630583446496	1
ABHD11	5.49366753843818	0.00971141984500247	1
ABHD12	16.5794143024404	1.77739607955092e-05	0.239610765484259
ABHD12B	4.76754186873096	0.0165230033808758	1
ABHD13	8.46719067286206	0.00133079053896231	1
ABHD14B	33.1440188973047	4.14782160213295e-08	0.000559167830183543
ABHD15	1.25546426914703	0.300494476001565	1
ABHD16A	12.8371004379352	0.000110533575342626	1
ABHD16B	6.06202936253602	0.0064944807765164	1
ABHD17A	10.6549974038594	0.000362345643035547	1
ABHD17B	13.3824942039481	8.34008424753478e-05	1
ABHD17C	0.828043481794739	0.447320278993114	1
ABHD2	4.96437648093675	0.0142775122875411	1
ABHD3	17.1519759626006	1.37086318215425e-05	0.184806065586215
ABHD4	14.5414761536883	4.66790992421558e-05	0.629280936883502
ABHD5	1.09965302517567	0.34694046072932	1
ABHD6	16.4714040117232	1.86766071562382e-05	0.251779341073247
ABI1	6.68135765172512	0.0042431254079494	1
ABI2	13.8988516115899	6.42072281974792e-05	0.865577643330217
ABI3	0.983089403703503	0.386699229015512	1
ABL1	28.6741576689432	1.67295051451878e-07	0.00225530458862277
ABL2	4.83774707358964	0.0156814796321424	1
ABLIM1	74.488310614671	6.15729336865907e-12	8.3006471902893e-08
ABLIM2	5.40542939148932	0.0103482497509919	1
